paper,edition
Effective Wrapper-Filter hybridization through GRASP Schemata.,"Proceedings of the Fourth International Workshop on Feature Selection in Data Mining, FSDM, held at PAKDD 2010, Hyderabad, India, June 21st, 2010"
Group Orthogonal Matching Pursuit for Logistic Regression.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Assessment of Cow's Body Condition Score Through Statistical Shape Analysis and Regression Machines.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Variational Relevance Vector Machine for Tabular Data.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Predictive Discretization during Model Selection.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Inspecting Sample Reusability for Active Learning.,"Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010"
Kernel Partial Least Squares is Universally Consistent.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
O-IPCAC and its Application to EEG Classification.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Particle Belief Propagation.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
No Internal Regret via Neighborhood Watch.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Factored 3-Way Restricted Boltzmann Machines For Modeling Natural Images.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Approximate inference for the loss-calibrated Bayesian.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Minimum Conditional Entropy Clustering: A Discriminative Framework for Clustering.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Large-Margin Structured Prediction via Linear Programming.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Gap Between Theory and Practice: Noise Sensitive Word Alignment in Machine Translation.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Markov Logic Mixtures of Gaussian Processes: Towards Machines Reading Regression Data.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Multi-armed Bandit Problems with History.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Local and global sparse Gaussian process approximations.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Locality Preserving Feature Learning.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Facial Expression Detection using Filtered Local Binary Pattern Features with ECOC Classifiers and Platt Scaling.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Deep Learning using Robust Interdependent Codes.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Distance Preserving Embeddings for General n-Dimensional Manifolds.,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Improving Policy Gradient Estimates with Influence Information.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Combining Predictors for Recommending Music: the False Positives' approach to KDD Cup track 2.,"Proceedings of KDD Cup 2011 competition, San Diego, CA, USA, 2011"
Generalized Optimal Reverse Prediction.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Deep Boltzmann Machines as Feed-Forward Hierarchies.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Approximate inference using conditional entropy decompositions.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Baseline Methods for Active Learning.,"Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010"
Nonlinear acyclic causal models.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Learning to Rank for Personalized News Article Retrieval.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
Learning equivalence classes of acyclic models with latent and selection variables from multiple datasets with overlapping variables.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Informative Priors for Markov Blanket Discovery.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Switch-Reset Models : Exact and Approximate Inference.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Active Learning as Non-Convex Optimization.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Information Theoretic Model Selection for Pattern Analysis.,"Unsupervised and Transfer Learning - Workshop held at ICML 2011, Bellevue, Washington, USA, July 2, 2011"
Learning mixtures of Gaussians with maximum-a-posteriori oracle.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
From Theories to Queries.,"Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010"
Learning Causal Structure from Overlapping Variable Sets.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Support Vector Machines Under Adversarial Label Noise.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Data dependent kernels in nearly-linear time.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Generative Models of Information Diffusion with Asynchronous Timedelay.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Maximum Likelihood vs. Sequential Normalized Maximum Likelihood in On-line Density Estimation.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Topographic Analysis of Correlated Components.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
On Bisubmodular Maximization.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Learning Low Density Separators.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Exploiting Covariate Similarity in Sparse Regression via the Pairwise Elastic Net.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
A Two-Graph Guided Multi-task Lasso Approach for eQTL Mapping.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Graphical Gaussian modelling of multivariate time series with latent variables.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Locally Minimax Optimal Predictive Modeling with Bayesian Networks.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Learning with Blocks: Composite Likelihood and Contrastive Divergence.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Learning Policy Improvements with Path Integrals.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Discriminative Topic Segmentation of Text and Speech.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
(Approximate) Subgradient Methods for Structured Prediction.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
A Combination of Boosting and Bagging for KDD Cup 2009 - Fast Scoring on a Large Database.,"Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
Towards Understanding Situated Natural Language.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Partial orientation and local structural learning of causal networks for prediction.,"Causation and Prediction Challenge at WCCI 2008, Hong Kong, June 1-6, 2008"
Hidden-Unit Conditional Random Fields.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Agnostic KWIK learning and efficient approximate reinforcement learning.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Mixture of Watson Distributions: A Generative Model for Hyperspherical Embeddings.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Learning the Switching Rate by Discretising Bernoulli Sources Online.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Machine Learning Markets.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
An EM Algorithm on BDDs with Order Encoding for Logic-based Probabilistic Models.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Classification of Imbalanced Marketing Data with Balanced Random Sets.,"Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
Ellipsoidal Support Vector Machines.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Multiclass Learnability and the ERM principle.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
A comparison of AUC estimators in small-sample studies.,"Proceedings of the third International Workshop on Machine Learning in Systems Biology, MLSB 2009, Ljubljana, Slovenia, September 5-6, 2009"
Fisher Consistency of Multicategory Support Vector Machines.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
On the Relationship Between Feature Selection and Classification Accuracy.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Mining Recurring Concept Drifts with Limited Labeled Streaming Data.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Supervised Dimension Reduction Using Bayesian Mixture Modeling.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Improved Regret Guarantees for Online Smooth Convex Optimization with Bandit Feedback.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Information Theoretical Clustering via Semidefinite Programming.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Maximum Entropy Density Estimation with Incomplete Presence-Only Data.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Hierarchical Cost-Sensitive Algorithms for Genome-Wide Gene Function Prediction.,"Proceedings of the third International Workshop on Machine Learning in Systems Biology, MLSB 2009, Ljubljana, Slovenia, September 5-6, 2009"
Chromatic PAC-Bayes Bounds for Non-IID Data.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Predicting customer behaviour: The University of Melbourne's KDD Cup report.,"Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
Nonlinear Online Classificatand Michion Algorithm with Probability Margin.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Application of Additive Groves Ensemble with Multiple Counts Feature Evaluation to KDD Cup'09 Small Data Set.,"Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
Online Passive-Aggressive Algorithms on a Budget.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Preface.,"Proceedings of the First Workshop on Applications of Pattern Analysis, WAPA 2010, Cumberland Lodge, Windsor, UK, September 1-3, 2010"
A Fast Algorithm for Recovery of Jointly Sparse Vectors based on the Alternating Direction Methods.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Learning for Larger Datasets with the Gaussian Process Latent Variable Model.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
"Discussion of ""The Neural Autoregressive Distribution Estimator"".","Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Active Boosted Learning (ActBoost).,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Performance Guarantees for Information Theoretic Active Inference.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Nonparametric prior for adaptive sparsity.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Beware of the DAG!,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
A generalization of the Multiple-try Metropolis algorithm for Bayesian estimation and model selection.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Neural conditional random fields.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Unsupervised Feature Selection for Pattern Discovery in Seismic Wavefields.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Efficient Collapsed Gibbs Sampling for Latent Dirichlet Allocation.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Hierarchical Convex NMF for Clustering Massive Data.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
Causal learning without DAGs.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Sequential Learning of Classifiers for Structured Prediction Problems.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Efficient Multioutput Gaussian Processes through Variational Inducing Kernels.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
The Laplacian Eigenmaps Latent Variable Model.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Yahoo! Learning to Rank Challenge Overview.,"Proceedings of the Yahoo! Learning to Rank Challenge, held at ICML 2010, Haifa, Israel, June 25, 2010"
Semi-Supervised Learning with Max-Margin Graph Cuts.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Exploiting Probabilistic Independence for Permutations.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Complexity-Based Approach to Calibration with Checking Rules.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Nonnegative Garrote Component Selection in Functional ANOVA models.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Managing Uncertainty within KTD.,"Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010"
Unsupervised Supervised Learning II: Margin-Based Classification without Labels.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Learning Markov Structure by Maximum Entropy Relaxation.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Network Completion and Survey Sampling.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
The Block Diagonal Infinite Hidden Markov Model.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Learning a Nonlinear Embedding by Preserving Class Neighbourhood Structure.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Evaluation of a Bayesian model-based approach in GA studies.,"Proceedings of the third International Workshop on Machine Learning in Systems Biology, MLSB 2009, Ljubljana, Slovenia, September 5-6, 2009"
A Framework for Probability Density Estimation.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Maximum-likelihood learning of cumulative distribution functions on graphs.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Generalized Non-metric Multidimensional Scaling.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Ultra-high Dimensional Multiple Output Learning With Simultaneous Orthogonal Matching Pursuit: Screening Approach.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Feature Selection for Text Classification Based on Gini Coefficient of Inequality.,"Proceedings of the Fourth International Workshop on Feature Selection in Data Mining, FSDM, held at PAKDD 2010, Hyderabad, India, June 21st, 2010"
KDD Cup 2009 @ Budapest: feature partitioning and boosting.,"Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
Dependent Hierarchical Beta Process for Image Interpolation and Denoising.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
The Feature Selection Path in Kernel Methods.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
A New Perspective for Information Theoretic Feature Selection.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Approximate Model Selection for Large Scale LSSVM.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
On NDCG Consistency of Listwise Ranking Methods.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Minimax Algorithm for Learning Rotations.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Statistical Optimization of Non-Negative Matrix Factorization.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Semi-Supervised Mean Fields.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Latent Wishart Processes for Relational Kernel Learning.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Large-Margin Classification in Banach Spaces.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Parametric Herding.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Relative Entropy Inverse Reinforcement Learning.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Learning Exercise Policies for American Options.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
The Rademacher Complexity of Co-Regularized Kernel Classes.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Online Learning of Search Heuristics.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Novelty detection: Unlabeled data definitely help.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Incremental Sparsification for Real-time Online Model Learning.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Robust Bayesian Matrix Factorisation.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Dynamic Factorization Tests: Applications to Multi-modal Data Association.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Bagged Structure Learning of Bayesian Network.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Efficient large margin semisupervised learning.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
"On the relation between universality, characteristic kernels and RKHS embedding of measures.","Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Finite-sample Analysis of Bellman Residual Minimization.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
A Boosting Algorithm for Label Covering in Multilabel Problems.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Semi-Supervised Affinity Propagation with Instance-Level Constraints.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Online Inference for the Infinite Topic-Cluster Model: Storylines from Streaming Text.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Regret Bounds for the Adaptive Control of Linear Quadratic Systems.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Feature Extraction for Machine Learning: Logic-Probabilistic Approach.,"Proceedings of the Fourth International Workshop on Feature Selection in Data Mining, FSDM, held at PAKDD 2010, Hyderabad, India, June 21st, 2010"
Variational Inference for the Indian Buffet Process.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Lightweight Implementations of Probabilistic Programming Languages Via Transformational Compilation.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Winning The Transfer Learning Track of Yahoo!'s Learning To Rank Challenge with YetiRank.,"Proceedings of the Yahoo! Learning to Rank Challenge, held at ICML 2010, Haifa, Israel, June 25, 2010"
Feature Selection using Multiple Streams.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
"Feature Selection, Association Rules Network and Theory Building.","Proceedings of the Fourth International Workshop on Feature Selection in Data Mining, FSDM, held at PAKDD 2010, Hyderabad, India, June 21st, 2010"
"AClass: A simple, online, parallelizable algorithm for probabilistic classification.","Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Data Biased Robust Counter Strategies.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Supervised Spectral Latent Variable Models.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
"Revisiting MAP Estimation, Message Passing and Perfect Graphs.","Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Causal Inference.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
SIGNET: Boolean Rile Deetermination for Abscisic Acid Signaling.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Semi-Supervised Learning via Generalized Maximum Entropy.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Approximate parameter inference in a stochastic reaction-diffusion model.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Multitask Learning for Brain-Computer Interfaces.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
