Keyword,Article_id
Random_tag_18,"{1538, 4098, 1018, 4618, 2578, 5138, 3098, 4638, 6178, 38, 1578, 2098, 58, 3658, 6738, 598, 1118, 1638, 3698, 6258, 118, 2678, 2178, 6278, 138, 2698, 1178, 6298, 158, 6138, 6318, 178, 5298, 1718, 4278, 3258, 3778, 2758, 218, 4318, 3298, 2298, 3838, 1278, 5378, 1818, 4378, 798, 818, 3378, 2878, 5438, 1858, 4418, 6978, 3398, 2378, 338, 5458, 1878, 4438, 3418, 1378, 3938, 6498, 4458, 2418, 3958, 378, 7038, 4498, 918, 3478, 1438, 2978, 7078, 4018, 7098, 3518, 458, 5578, 1998, 6098, 2518, 4058, 3038, 998, 2538, 5098, 5618, 3578}"
Random_tag_3,"{5123, 1543, 3083, 7183, 6163, 4123, 1023, 543, 3623, 43, 1583, 4143, 583, 6243, 103, 623, 2163, 2683, 643, 2183, 2703, 2203, 4763, 2223, 183, 4803, 3783, 6363, 1763, 4323, 4843, 5363, 4343, 1783, 5883, 763, 2303, 4363, 2323, 1303, 283, 4383, 6943, 3883, 6443, 5423, 823, 4923, 1343, 5443, 3923, 6483, 1883, 7003, 3423, 2423, 4983, 6523, 383, 5503, 903, 6023, 6543, 4503, 7063, 923, 1443, 4003, 6563, 943, 3503, 5043, 4023, 443, 6083, 2503, 6603, 3023, 5583, 2003, 4563, 6623, 483, 1003, 6123, 3583}"
Random_tag_5,"{3585, 5125, 5645, 2065, 4625, 6165, 3625, 45, 1585, 2105, 5705, 2125, 6225, 605, 4705, 3685, 4725, 5265, 2205, 1185, 3745, 4265, 685, 5805, 2225, 1205, 5305, 4285, 1225, 2765, 4825, 4325, 3305, 4845, 1265, 6385, 5365, 1785, 2305, 1285, 2825, 785, 2325, 5405, 1825, 305, 5425, 4405, 3385, 5945, 4425, 845, 3405, 2905, 3945, 365, 4465, 7025, 3445, 2425, 3965, 1925, 2445, 1425, 2965, 5525, 7065, 2985, 5045, 3005, 5565, 6105, 5085, 4065, 3045, 1005, 505, 3065}"
Random_tag_11,"{2051, 3591, 5131, 1551, 3091, 3611, 6171, 1571, 3111, 4651, 3631, 51, 2611, 1591, 1091, 3651, 91, 3171, 5731, 1131, 111, 4211, 631, 131, 5251, 4231, 6791, 3731, 6291, 2711, 1691, 5791, 2211, 171, 691, 3251, 5311, 711, 3791, 211, 6871, 3291, 231, 5871, 6391, 3831, 1271, 2811, 4351, 1791, 4371, 2331, 1311, 5411, 3371, 3891, 3391, 5951, 331, 6991, 1391, 6511, 5491, 7031, 891, 4991, 6531, 391, 911, 3471, 5011, 3491, 4011, 3511, 451, 7111, 5071, 5591, 4571, 991, 5091, 4071, 5611}"
Random_tag_14,"{3074, 2054, 4614, 3594, 2074, 6174, 6694, 554, 3634, 5174, 54, 2614, 2114, 1094, 6734, 3154, 4694, 6234, 94, 6754, 2154, 4714, 3694, 114, 634, 2174, 134, 1674, 654, 3734, 154, 1694, 674, 694, 5814, 1214, 3774, 1234, 214, 734, 1254, 754, 3314, 2294, 4854, 1274, 254, 4874, 794, 2334, 1314, 2854, 814, 4914, 1334, 314, 4414, 5954, 2894, 854, 2394, 354, 3454, 2434, 4994, 1414, 3974, 5514, 6034, 934, 3494, 2474, 6574, 2994, 5554, 4534, 7094, 954, 3514, 4034, 454, 3014, 1994, 4554, 7114, 3534, 1494, 3034, 5594, 994, 6114, 5114}"
Random_tag_17,"{517, 1037, 3597, 6157, 4117, 5657, 2077, 3117, 57, 2617, 5177, 4157, 2117, 1097, 1617, 2137, 6237, 97, 5217, 6757, 617, 3177, 1137, 3697, 117, 5237, 6777, 637, 2177, 4737, 137, 1677, 4237, 657, 5777, 4757, 5277, 4257, 677, 2237, 1217, 6337, 197, 6857, 2257, 3797, 217, 237, 5357, 4337, 6897, 757, 5877, 3837, 257, 6917, 777, 3337, 2317, 4877, 6417, 4897, 297, 2857, 1837, 1337, 3897, 6457, 4937, 3917, 337, 1377, 6497, 357, 2917, 1397, 5497, 1917, 2437, 1417, 3977, 397, 7057, 417, 3497, 5037, 1457, 437, 5557, 1977, 957, 3517, 3537, 1497, 477, 2017, 5097, 4077, 6637, 497, 5617, 4597, 6137, 5117}"
Random_tag_1,"{2561, 4101, 521, 2581, 5141, 1561, 541, 1061, 4141, 6701, 1081, 61, 5701, 2121, 4681, 1101, 4181, 601, 1641, 4201, 621, 1141, 5241, 141, 5781, 6821, 3241, 2221, 4781, 1201, 5821, 201, 4301, 6361, 221, 5341, 4841, 2801, 4341, 2301, 6921, 781, 5901, 2321, 4881, 3861, 5401, 1821, 801, 1321, 3881, 6441, 301, 5421, 821, 5941, 4421, 6981, 3401, 4941, 341, 2901, 1881, 5981, 3941, 361, 2921, 881, 3441, 3961, 381, 1921, 4481, 3461, 2441, 5001, 401, 5521, 3481, 2461, 6561, 941, 6061, 2481, 961, 4041, 2001, 6121, 4081, 2041}"
Random_tag_6,"{3086, 6166, 1566, 4126, 2606, 566, 66, 2626, 586, 1106, 3666, 86, 1626, 4186, 5726, 3186, 2166, 1146, 6266, 1666, 2186, 1166, 2706, 4246, 6306, 166, 2726, 5286, 4266, 3766, 186, 2746, 2246, 3786, 206, 2766, 4306, 1746, 6866, 4826, 1246, 3806, 226, 2786, 5866, 3826, 246, 2306, 3846, 2826, 5386, 1806, 6926, 5906, 4906, 1326, 3886, 2366, 4926, 3906, 5446, 6986, 4946, 1366, 7006, 866, 1906, 1406, 2946, 5506, 3466, 5006, 6046, 1446, 426, 7086, 3506, 1466, 446, 1986, 4546, 3526, 1486, 466, 3026, 5586, 2006, 3546, 4066, 6626, 486, 5106, 7166}"
Random_tag_9,"{7169, 2569, 4109, 529, 2069, 4629, 2089, 4649, 5169, 1589, 6209, 1609, 4689, 89, 5209, 1629, 4189, 6249, 2169, 1149, 129, 4749, 6829, 3249, 5809, 2229, 1209, 189, 2749, 4289, 209, 2769, 3289, 1249, 6369, 4329, 2289, 1269, 6909, 769, 3329, 1289, 3849, 2329, 4889, 6429, 5409, 3889, 6449, 2869, 4409, 3389, 2369, 3909, 329, 5969, 349, 2909, 7009, 869, 3429, 3949, 369, 1909, 7029, 3449, 889, 6009, 6029, 2449, 5009, 409, 4509, 3489, 1449, 429, 2989, 7089, 2489, 5049, 1469, 3009, 7109, 2509, 469, 2009, 3549, 2529, 4069, 489, 5609, 1009, 5629}"
Random_tag_10,"{1030, 6150, 5650, 1050, 6170, 4130, 6690, 550, 5670, 3630, 4150, 570, 3650, 2630, 3150, 5710, 2130, 3670, 6230, 90, 2650, 5210, 5730, 4710, 2670, 5230, 1650, 2170, 4730, 3710, 6270, 1670, 650, 3210, 5770, 2190, 1170, 3730, 150, 5270, 3230, 2210, 4770, 170, 2730, 5290, 4270, 4790, 3770, 190, 1730, 5830, 2250, 1230, 3790, 1750, 4310, 5850, 4830, 3810, 2790, 5350, 6890, 750, 4850, 250, 2310, 4870, 270, 2830, 1810, 290, 1830, 810, 2350, 1330, 310, 1850, 1350, 2890, 4430, 1870, 850, 3410, 2390, 4950, 6490, 5470, 1890, 4450, 7010, 5990, 2930, 4470, 6010, 2430, 1930, 7050, 5010, 1430, 3990, 5530, 2470, 5030, 1450, 430, 950, 5050, 4030, 6590, 450, 5570, 970, 5070, 1490, 6110, 1510, 3570, 510}"
