author_id,affiliation
Brenno C. Menezes,MARTIN LUTHER COLLEGE
Eduardo Camponogara,PLAZA COLLEGE
Leonardo Salsano de Assis,STEVENS-HENAGER COLLEGE
Javad Tajik,FERRUM COLLEGE
Mahsa Arabi,SH'OR YOSHUV RABBINICAL COLLEGE
Saeed Yaghoubi,MIDWESTERN BAPTIST THEOLOGICAL SEMINARY
Calum McIntosh,ST. JOHN VIANNEY COLLEGE SEMINARY
Cher H. Goey,MIDDLE TENNESSEE STATE UNIVERSITY
Cleo Kontoravdi,UNIVERSITY OF DAYTON
Elisa Correa,LAGUNA COLLEGE OF ART AND DESIGN
Oleksiy V. Klymenko,MORAVIAN COLLEGE
Panagiotis Demis,THE COLLEGE OF SAINT ROSE
Pavlos Kotidis,AVILA UNIVERSITY
Stefania Trepekli,INTERIOR DESIGNERS INSTITUTE
Hatim Djelassi,ROWAN UNIVERSITY
Preet Joy,CALIFORNIA STATE UNIVERSITY-SACRAMENTO
Javier Silvente,MARLBORO COLLEGE
Ala E. F. Bouaswaig,COLUMBIA THEOLOGICAL SEMINARY
Fernando Moreno Leira,GUIDANCE COLLEGE
Lars Imsland,UNITED TALMUDICAL SEMINARY
Matthias Roth,ANTIOCH UNIVERSITY-LOS ANGELES
Ouyang Wu,PENNSYLVANIA STATE UNIVERSITY-PENN STATE DUBOIS
Stefan Marco Schneider,HERZING UNIVERSITY-ORLANDO
Ranran Lu,ILLINOIS WESLEYAN UNIVERSITY
Shuaiwei Ding,KEAN UNIVERSITY
Shuoliang Wang,INSTITUTE OF WORLD POLITICS
Yi Xi,UNIVERSITY OF ARKANSAS SYSTEM EVERSITY
Yuping Wu,PENTECOSTAL THEOLOGICAL SEMINARY
William L. Luyben,WARNER UNIVERSITY
Andreas G. Boudouvis,EASTERN NAZARENE COLLEGE
Constantinos Theodoropoulos,MISSOURI BAPTIST UNIVERSITY
E. D. Koronaki,SETON HALL UNIVERSITY
Lars A. A. Beex,WESLEYAN UNIVERSITY
Pavlos A. Gkinis,DAEMEN COLLEGE
Stéphane P. A. Bordas,UNIVERSITY OF HOUSTON-VICTORIA
Haoshui Yu,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS
Matias Vikse,SOUTHERN CONNECTICUT STATE UNIVERSITY
Rahul Anantharaman,PRAIRIE VIEW A & M UNIVERSITY
Truls Gundersen,NORTHWEST COLLEGE OF ART & DESIGN
Aravind Devanand,SAINT MARTIN'S UNIVERSITY
Angel Xin Yee Mah,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON
Hon Huin Chin,WILLIAM PEACE UNIVERSITY
Jie Qi Neoh,FLORIDA INSTITUTE OF TECHNOLOGY
Nishanth G. Chemmangattuvalappil,HIGH POINT UNIVERSITY
Omar Anas Aboagwa,SEATTLE UNIVERSITY
Suchithra Thangalazhy-Gopakumar,ANNA MARIA COLLEGE
Rochish M. Thaokar,ST. JOHN'S COLLEGE
Roshan Patel,UNIVERSITY OF WASHINGTON-TACOMA CAMPUS
Vijay M. Naik,PENNSYLVANIA STATE UNIVERSITY-PENN STATE GREAT VALLEY
Vikky Anand,JOHN PATRICK UNIVERSITY OF HEALTH AND APPLIED SCIENCES
Vinay A. Juvekar,MENLO COLLEGE
F. Fenila,LIFE PACIFIC UNIVERSITY
Yogendra N. Shastri,ELMEZZI GRADUATE SCHOOL OF MOLECULAR MEDICINE
Cai Y. Ma,HAVERFORD COLLEGE
Kevin J. Roberts,WAYNE STATE UNIVERSITY
Mohaddeseh Roshan,STOCKTON UNIVERSITY
Reza Tavakkoli-Moghaddam,SHAW UNIVERSITY
Yaser Rahimi,BERKELEY COLLEGE-NEW YORK
Aminu Zakari Yusuf,UNION INSTITUTE & UNIVERSITY
Benjamin Olufemi Aderemi,ILIFF SCHOOL OF THEOLOGY
Yakubu Mandafiya John,MONTANA BIBLE COLLEGE
Mariano Asteasuain,ALVERNIA UNIVERSITY
Carsten Drechsler,SOUTHWEST UNIVERSITY OF VISUAL ARTS-ALBUQUERQUE
David W. Agar,UNITED STATES MILITARY ACADEMY
Daniel Rios,HERITAGE UNIVERSITY
Joshua Pulsipher,STRAYER UNIVERSITY-GEORGIA
Bjarne A. Grimstad,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SCHOOL OF LAW
Henrik Andersson,MISSISSIPPI VALLEY STATE UNIVERSITY
Chavalit Ratanatamskul,EAGLE GATE COLLEGE-BOISE CAMPUS
Lert Ruprakobkit,UNIVERSITY OF NORTH CAROLINA AT ASHEVILLE
Tam Ruprakobkit,LOURDES UNIVERSITY
Guillermo Jimeno,HIRAM COLLEGE
Xiong-Wei Ni,SAINT JOSEPH SEMINARY COLLEGE
Yeaw Chu Lee,NEW YORK CHIROPRACTIC COLLEGE
Neda Beheshti Asl,CONCORDIA UNIVERSITY-PORTLAND
S. A. MirHassani,UNIVERSITY OF PHOENIX-MICHIGAN
Christos Galanopoulos,ECUMENICAL THEOLOGICAL SEMINARY
Philipp Kenkel,LOMA LINDA UNIVERSITY
Apoorva M. Sampat,GEORGIAN COURT UNIVERSITY
Aurora del Carmen Munguía-López,WEST VIRGINIA UNIVERSITY AT PARKERSBURG
José María Ponce-Ortega,GONZAGA UNIVERSITY
Anton Ochoa Bique,UNIVERSITY OF THE PACIFIC
Fabio La Mantia,SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE
Leonardo K. K. Maia,CALIFORNIA STATE UNIVERSITY-CHICO
Sirkka-Liisa Jämsä Jounela,CAMPBELLSVILLE UNIVERSITY
José Antonio Caballero,PATHWAYS COLLEGE
Mauro A. S. S. Ravagnani,MONTSERRAT COLLEGE OF ART
Jianfei Dong,DALLAS BAPTIST UNIVERSITY
Sávio S. V. Vianna,PIEDMONT UNIVERSITY
Fakhrony S. Rohman,PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAMILY
Norashid Aziz,SOUTHERN UTAH UNIVERSITY
Suhairi Abdul Sata,WESTERN ILLINOIS UNIVERSITY
Ana Paula Meneguelo,WAYLAND BAPTIST UNIVERSITY
Leonardo Arrieche,ADLER GRADUATE SCHOOL
Marcelo Bacelos,CORNERSTONE UNIVERSITY
Samuel Amaral Junior,FULLER THEOLOGICAL SEMINARY
Andreas S. Bommarius,GRINNELL COLLEGE
Martha A. Grover,SANTA CLARA UNIVERSITY
Matthew A. McDonald,THE COLLEGE OF HEALTH CARE PROFESSIONS-DALLAS
Ronald W. Rousseau,MARIETTA COLLEGE
Leo H. Chiang,HARDIN-SIMMONS UNIVERSITY
Vassilis M. Charitopoulos,TALMUDIC COLLEGE OF FLORIDA
José Leandro Felix Salles,CEM COLLEGE-MAYAGUEZ
João G. Coelho Pena,UNIVERSITY OF NEBRASKA-LINCOLN
Valter B. de Oliveira Junior,CONWAY SCHOOL OF LANDSCAPE DESIGN
Anjan Kumar Tula,MONTANA STATE UNIVERSITY BILLINGS
Jian Du 0003,UNIVERSITY OF SOUTHERN MISSISSIPPI
Lei Zhang 0040,ALBANY MEDICAL COLLEGE
Linlin Liu,THE KING'S COLLEGE
Mario R. Eden,ERSKINE COLLEGE
Qilei Liu,GEORGE FOX UNIVERSITY
Rafiqul Gani,MISSOURI STATE UNIVERSITY-SPRINGFIELD
Hashem Alighardashi,MARTIN UNIVERSITY
Nabil Magbool Jan,UNIVERSITY OF CALIFORNIA-SAN DIEGO
Jiyao Gao,FRANCISCAN SCHOOL OF THEOLOGY
Fernando V. Lima,CALIFORNIA HEALTH SCIENCES UNIVERSITY
Xin He,MINNESOTA STATE UNIVERSITY-MANKATO
Zachary T. Wilson,CITY COLLEGE-FORT LAUDERDALE
Federico Lozano Santamaría,STRAYER UNIVERSITY-FLORIDA
Sandro Macchietto,UNIVERSITY OF VERMONT
Jannatun Nahar,UNIVERSITY OF CENTRAL OKLAHOMA
Sirish L. Shah,LAMAR UNIVERSITY
Arun Pankajakshan,HUMBOLDT STATE UNIVERSITY
Asterios Gavriilidis,AMERICAN COLLEGE OF THE BUILDING ARTS
Conor Waldron,ALABAMA STATE UNIVERSITY
Enhong Cao,NEW BRUNSWICK THEOLOGICAL SEMINARY
Eric S. Fraga,YESHIVA BAIS AHARON
Federico Galvanin,UNION COLLEGE
Marco Quaglio,HELLENIC COLLEGE-HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY
Dominik Bongartz,ESCUELA DE ARTES PLASTICAS Y DISENO DE PUERTO RICO
Jaromil Najman,TROY UNIVERSITY
Giancarlo Dalle Ave,CHAMBERLAIN UNIVERSITY-OHIO
Gábor Lente,W L BONNER COLLEGE
Joohyun Shin,UNIVERSITY OF ALASKA ANCHORAGE
Kuang-Hung Liu,FLORIDA GULF COAST UNIVERSITY
Thomas A. Badgwell,CUNY HUNTER COLLEGE
Abdollah Koolivand,CRANBROOK ACADEMY OF ART
Geng Tian,DINE COLLEGE
Nilou S. Arden,SUNY MORRISVILLE
Sau Lee,INTER AMERICAN UNIVERSITY OF PUERTO RICO-PONCE
Thomas O'Connor,ATHENAEUM OF OHIO
Jasper Kelly,MENLO COLLEGE
Haruku Shirahata,MANCHESTER UNIVERSITY
Hirokazu Sugiyama,STEVENS-HENAGER COLLEGE
Masahiko Hirao,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA
Behzad Behdani,CALIFORNIA WESTERN SCHOOL OF LAW
Zofia Lukszo,SOUTHERN NEW HAMPSHIRE UNIVERSITY
Antje C. Spiess,CHAMINADE UNIVERSITY OF HONOLULU
René Schenkendorf,SOUTHERN ADVENTIST UNIVERSITY
Ulrike Krewer,ADLER GRADUATE SCHOOL
Victor N. Emenike,TRIDENT UNIVERSITY INTERNATIONAL
Xiangzhong Xie,CITY COLLEGE-GAINESVILLE
Fernando P. Bernardo,STEVENS INSTITUTE OF TECHNOLOGY
Javier A. Arrieta-Escobar,PFEIFFER UNIVERSITY
Laure Morel,OLD DOMINION UNIVERSITY
Mauricio Camargo,TRUETT MCCONNELL UNIVERSITY
Julian Straus,SUNY POLYTECHNIC INSTITUTE
Caliane Bastos Borba Costa,FORT LEWIS COLLEGE
Leandro Vitor Pavão,POPE ST JOHN XXIII NATIONAL SEMINARY
Hadi Moradi,SOUTHEASTERN UNIVERSITY
Shahram Shadrokh,CLEAR CREEK BAPTIST BIBLE COLLEGE
Fredrik Gjertsen,EAST-WEST UNIVERSITY
Hanne Marie Kvamsdal,WHITTIER COLLEGE
Magne Hillestad,MORNINGSIDE COLLEGE
Nina Enaasen Flø,GREENVILLE UNIVERSITY
Svein Olaf Hauger,NICHOLLS STATE UNIVERSITY
Thor Mejdell,CAREERS UNLIMITED
Andreas Eibeck,CLARKS SUMMIT UNIVERSITY
Hossein Mostafaei,TEXAS SOUTHERN UNIVERSITY
Pedro M. Castro,MORAVIAN COLLEGE
Diane Thomas,OBERLIN COLLEGE
Guy De Weireld,JUDSON COLLEGE
Lionel Dubois,WILLIAM CAREY UNIVERSITY
Marie-Eve Duprez,TABOR COLLEGE
Sinda Laribi,BOSTON COLLEGE
Bo Shuang,CENTRAL COLLEGE
Carolyn Penstein Rosé,HERZING UNIVERSITY-ORLANDO
Satyajith Amaran,FLORIDA SOUTHERN COLLEGE
Tong Zhang,SUNY COLLEGE OF OPTOMETRY
Arun Joseph,UNIVERSITY OF THE CUMBERLANDS
Vasanthi Damodaran,SOUTH DAKOTA STATE UNIVERSITY
Amiya K. Jana,LUTHER COLLEGE
Gade Pandu Rangaiah,BRANDEIS UNIVERSITY
Sidharth Sankar Parhi,UNIVERSITY OF CALIFORNIA-DAVIS
Botond Szilágyi,CHAMBERLAIN UNIVERSITY-MICHIGAN
Zoltán K. Nagy,UTAH STATE UNIVERSITY
Carlos Garcia,INDIANA UNIVERSITY-EAST
David Rincón 0002,MGH INSTITUTE OF HEALTH PROFESSIONS
Zhe Wu 0004,UNIVERSITY OF CENTRAL MISSOURI
Zhihao Zhang,BENEDICT COLLEGE
Marco S. Reis,UNIVERSITY OF RICHMOND
Tiago J. Rato,UNIVERSITY OF DAYTON
Cristiana L. Lara,THE SANTA BARBARA AND VENTURA COLLEGES OF LAW AT VENTURA
David E. Bernal,INTER AMERICAN UNIVERSITY OF PUERTO RICO-GUAYAMA
Andrew S. Gibson,HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY
Richard S. Todd,EAST TENNESSEE STATE UNIVERSITY
Brandon Tolbert,FRONTIER NURSING UNIVERSITY
Brigham Hansen,FRIENDS UNIVERSITY
Cory Vernon,UNIVERSIDAD POLITECNICA DE PUERTO RICO
Hamid Ghaderi,CALVIN UNIVERSITY
Mir Saman Pishvaee,SOUTHWEST BAPTIST UNIVERSITY
Reza Babazadeh,DONNELLY COLLEGE
Haisheng Chen,MAINE COLLEGE OF ART
Kejin Huang,WOMEN'S INSTITUTE OF TORAH SEMINARY AND COLLEGE
Liang Zhang,WEST COAST UNIVERSITY-LOS ANGELES
Shaofeng Wang,DIVINE MERCY UNIVERSITY
Shengkun Jia,ROCKY MOUNTAIN COLLEGE OF ART AND DESIGN
Xing Qian,PACIFIC UNIVERSITY
Yang Yuan,MONTANA STATE UNIVERSITY BILLINGS
Ajay Ganesh,UTICA COLLEGE
Jun Xiong,WILLIAM & MARY
Richard J. Chalaturnyk,SPELMAN COLLEGE
Vinay Prasad,DRURY UNIVERSITY
Abigail Ondeck,THE JOHN MARSHALL LAW SCHOOL
Markus Drouven,UTA MESIVTA OF KIRYAS JOEL
Nathan Blandino,PACIFIC OAKS COLLEGE
Diana Iruretagoyena,EASTERN UNIVERSITY
Fabrizio Bezzo,SOUTHERN ARKANSAS UNIVERSITY MAIN CAMPUS
Federico d'Amore,SHENANDOAH UNIVERSITY
Nixon Sunny,WILLIAM JAMES COLLEGE
Joannah I. Otashu,HOBART WILLIAM SMITH COLLEGES
Jesus Alvarez,CHARTER OAK STATE COLLEGE
Luis Alvarez-Icaza,COVENANT COLLEGE
Ulises Badillo-Hernandez,SOUTH TEXAS COLLEGE OF LAW HOUSTON
Alejandro Marquez-Ruiz,FRIENDS UNIVERSITY
Carlos S. Méndez-Blanco,TEXAS A&M UNIVERSITY-TEXARKANA
Leyla Özkan,WESLEYAN UNIVERSITY
David Saleh,ERSKINE COLLEGE
Federico Rischawy,CAMPBELL UNIVERSITY
Julia Spitz,UNIVERSITY OF NEW HAMPSHIRE AT MANCHESTER
Simon Kluters,CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT
Stefan A. Oelmeier,YESHIVAH GEDOLAH RABBINICAL COLLEGE
Tobias Hahn,DAOIST TRADITIONS COLLEGE OF CHINESE MEDICAL ARTS
Bonchan Koo,RABBINICAL COLLEGE BOBOVER YESHIVA BNEI ZION
Dohyung Lee,YESHIVA GEDOLAH ZICHRON LEYMA
Taehyun Jo,SOUTH UNIVERSITY-TAMPA
Carlos Ariel Cardona Alzate,YESHIVAS EMEK HATORAH
Valentina Aristizábal-Marulanda,HAMPSHIRE COLLEGE
José A. Luceño,LITTLE PRIEST TRIBAL COLLEGE
Dewei Li 0001,CARIBBEAN UNIVERSITY-PONCE
Qun Wu,VALPARAISO UNIVERSITY
Yugeng Xi 0001,UNIVERSITY OF MAINE AT MACHIAS
Asmaa A. R. Awad,CHAMBERLAIN UNIVERSITY-NEVADA
Hedia Fgaier,ST CATHERINE UNIVERSITY
Ibrahim Mustafa,OAKLAND UNIVERSITY
Said S. E. H. Elnashaie,UNIVERSITY OF VERMONT
George Kokkoris,UNIVERSITY OF CALIFORNIA-SANTA BARBARA
Michail E. Kavousanakis,THE SOUTHERN BAPTIST THEOLOGICAL SEMINARY
Nikolaos Cheimarios,PFEIFFER UNIVERSITY
Chengcheng Xiang,LAMAR UNIVERSITY
Guangming Wu,GONZAGA UNIVERSITY
Haoran Zhang,UNIVERSITY OF WISCONSIN-STEVENS POINT
Rui Qiu,INTERDENOMINATIONAL THEOLOGICAL CENTER
Xiaohan Yan,THE UNIVERSITY OF TEXAS AT DALLAS
Xingyuan Zhou,UNIVERSITY OF THE PEOPLE
Yongtu Liang,BERGIN UNIVERSITY OF CANINE STUDIES
Qihong Feng,DINE COLLEGE
Ronald D. Haynes,SPELMAN COLLEGE
Xiang Wang,COLUMBIA THEOLOGICAL SEMINARY
Yanfeng He,UNIVERSITY OF SOUTH ALABAMA
Kyungseok Noh,YESHIVA ZICHRON ARYEH
Rodolfo G. Dondo,INSTITUTE FOR CLINICAL SOCIAL WORK
Morgan T. Kelley,NATIONAL AMERICAN UNIVERSITY-GEORGETOWN
Richard C. Pattison,VIRGINIA UNION UNIVERSITY
Ross Baldick,VIRGINIA BEACH THEOLOGICAL SEMINARY
Daison M. Yancy-Caballero,FORT HAYS STATE UNIVERSITY
Reginaldo Guirardello,YESHIVA OF OCEAN
Lanyu Li,FRANKLIN W OLIN COLLEGE OF ENGINEERING
Pei Liu 0002,SAINT CLOUD STATE UNIVERSITY
Xiaonan Wang 0002,GEORGE WASHINGTON UNIVERSITY
Zheng Li 0019,UNIVERSITY OF CHICAGO
B. Erik Ydstie,UNIVERSITY OF MOUNT OLIVE
Blake C. Rawlings,STRAYER UNIVERSITY-VIRGINIA
Prodromos Daoutidis,AUGUSTANA COLLEGE
Gaurav Mirlekar,TALMUDICAL SEMINARY OF BOBOV
Ghassan Al-Sinbol,TRI-STATE BIBLE COLLEGE
Mario G. Perhinschi,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE AND ART
Ajit Gopalakrishnan,BRITE DIVINITY SCHOOL
Irene Lotero,UNIVERSITY OF PHOENIX-WASHINGTON
Thierry Roba,SAINT VINCENT COLLEGE
Elena De Santis,SUFFOLK UNIVERSITY
Giordano Pola,NICHOLLS STATE UNIVERSITY
Maria Domenica Di Benedetto,SYRACUSE UNIVERSITY
Mohammad Fakhroleslam,LIFE PACIFIC UNIVERSITY
Ramin Bozorgmehry Boozarjomehry,SUNY COLLEGE AT PLATTSBURGH
Shohreh Fatemi,TALLADEGA COLLEGE
Chris A. Kieslich,AMERICAN SENTINEL UNIVERSITY
Melis Onel,FLORIDA POLYTECHNIC UNIVERSITY
Yannis A. Guzman,TEXAS WOMAN'S UNIVERSITY
D. Ian Wilson,PARDEE RAND GRADUATE SCHOOL
Riham Al Ismaili,AMERICAN INTERNATIONAL COLLEGE
Sai Darshan Adloor,FRANCISCAN MISSIONARIES OF OUR LADY UNIVERSITY
Alba Ruiz-Aguirre,NORTHERN ARIZONA UNIVERSITY
Guillermo Zaragoza,LUBBOCK CHRISTIAN UNIVERSITY
Juan D. Gil,SAN DIEGO STATE UNIVERSITY
Lidia Roca,DEVRY UNIVERSITY-ARIZONA
Manuel Berenguel,QUEENS UNIVERSITY OF CHARLOTTE
Bahman Naderi,LOCK HAVEN UNIVERSITY
Seyed Hamid Reza Pasandideh,ACADEMY FOR JEWISH RELIGION-CALIFORNIA
Zahra Rafie-Majd,EXCELSIOR COLLEGE
Bo Huang,CLARKE UNIVERSITY
Fuchen Wang,DRAGON RISES COLLEGE OF ORIENTAL MEDICINE
Rui Gao,NORTH PARK UNIVERSITY
Yang Li,UNIVERSITY OF LOUISVILLE
Yongfei Zuo,CLARKE UNIVERSITY
Zhenghua Dai,PLATT COLLEGE-AURORA
Daniel Vázquez,UNIVERSITY OF SAINT MARY OF THE LAKE
Laureano Jiménez,MANHATTANVILLE COLLEGE
Rubén Ruiz-Femenia,DUKE UNIVERSITY
Nishant Dige,MCDANIEL COLLEGE
Urmila M. Diwekar,ILLINOIS COLLEGE
Ghasem Rahpaima,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE
Mehri Imani,BAIS MEDRASH MAYAN HATORAH
Mohammad Nouri,TRINITY CHRISTIAN COLLEGE
Mojtaba Masoudi Nejad,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
Martino Trabuio,NOTRE DAME COLLEGE
Massimiliano Barolo,DIXIE STATE UNIVERSITY
Riccardo De Luca,UNIVERSITY OF PUERTO RICO-RIO PIEDRAS
Burcu Beykal,MIDDLE TENNESSEE STATE UNIVERSITY
Eduardo Gildin,ARKANSAS TECH UNIVERSITY
Hardikkumar Zalavadia,PONCE HEALTH SCIENCES UNIVERSITY-EAST
Nadav Sorek,ALMA COLLEGE
Chen Liu,PAIER COLLEGE OF ART INC
Hongwei Chen,EAST STROUDSBURG UNIVERSITY OF PENNSYLVANIA
Sen Wang,FLORIDA STATE UNIVERSITY
Wensheng Zhou,TENNESSEE STATE UNIVERSITY
Xianmin Zhang,MILES COLLEGE
Zhiyu Ma,MASSACHUSETTS MARITIME ACADEMY
Honglin Qu,CULINARY INSTITUTE OF AMERICA
Jialin Xu,HASTINGS COLLEGE
Qiang Xu 0003,SHERMAN COLLEGE OF CHIROPRACTIC
Sujing Wang,YESHIVAH GEDOLAH RABBINICAL COLLEGE
Amos E. Lu,HEBREW COLLEGE
J. Christopher Love,BET MEDRASH GADOL ATERET TORAH
Kristen A. Severson,ROCKEFELLER UNIVERSITY
Mo Jiang,SOUTHERN TECHNICAL COLLEGE
Moo Sun Hong,YESHIVA SHAAREI TORAH OF ROCKLAND
Bor-Yih Yu,COLUMBIA THEOLOGICAL SEMINARY
Chuan-Yi Chung,KANSAS STATE UNIVERSITY
I-Lung Chien,MARTIN METHODIST COLLEGE
Go Bong Choi,ALLEN COLLEGE
Jong Woo Kim,BLUEFIELD STATE COLLEGE
Ghochapon Mongkhonsiri,PENNSYLVANIA ACADEMY OF THE FINE ARTS
Pomthong Malakul,YESHIVA D'MONSEY RABBINICAL COLLEGE
Suttichai Assabumrungrat,ANTIOCH UNIVERSITY-NEW ENGLAND
Alberto Martínez,YESHIVAS EMEK HATORAH
Alexandru Tatulea-Codrean,HACKENSACK MERIDIAN SCHOOL OF MEDICINE
Clemens Lindscheid,NATIONAL AMERICAN UNIVERSITY-INDIANAPOLIS
Daniel Haßkerl,UNIVERSITY OF GUAM
Patrick Diewald,CHRIST MISSION COLLEGE
Sankaranarayanan Subramanian,NEW YORK FILM ACADEMY
César de Prada Moraga,AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE
Daniel Sarabia,WILLIAMSON CHRISTIAN COLLEGE
José Luis Pitarch,MOUNT SAINT JOSEPH UNIVERSITY
Tania Rodríguez-Blanco,EAST TEXAS BAPTIST UNIVERSITY
Alejandro G. Marchetti,LANGSTON UNIVERSITY
Dominique Bonvin,UNIVERSITY OF ST THOMAS
Martand Singhal,DALLAS BAPTIST UNIVERSITY
Timm Faulwasser,GALLAUDET UNIVERSITY
Damon Petersen,NEW JERSEY CITY UNIVERSITY
David Grimsman,BELMONT UNIVERSITY
Logan D. R. Beal,UNIVERSITY OF CENTRAL ARKANSAS
Sean Warnick,HAMPSHIRE COLLEGE
Chrysanthos E. Gounaris,CALIFORNIA INTERCONTINENTAL UNIVERSITY
Nikolaos H. Lappas,UNIVERSITY OF WISCONSIN-GREEN BAY
Berdouzi Fatine,BUENA VISTA UNIVERSITY
Gabas Nadine,SAINT PAUL SCHOOL OF THEOLOGY
Murillo Carlos,EDINBORO UNIVERSITY OF PENNSYLVANIA
Olivier-Maget Nelly,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE
Jian Gong,BEULAH HEIGHTS UNIVERSITY
Brage Rugstad Knudsen,PLATT COLLEGE-SAN DIEGO
Lars Rudi,TABOR COLLEGE
Magnus Stålhane,LINDENWOOD UNIVERSITY
Martin Naterstad Digernes,JACKSONVILLE STATE UNIVERSITY
Stein O. Wasbø,INSTITUTO DE BANCA Y COMERCIO INC
Ivan Kryven,GUSTAVUS ADOLPHUS COLLEGE
Piet D. Iedema,WHITMAN COLLEGE
Yuliia Orlova,YESHIVA OHR ELCHONON CHABAD WEST COAST TALMUDICAL SEMINARY
Siyuan Chen,HASTINGS COLLEGE
Zheng Guo,WESTERN MICHIGAN UNIVERSITY HOMER STRYKER M.D. SCHOOL OF MEDICINE
Maria Claudia Aguitoni,SAN JUAN BAUTISTA SCHOOL OF MEDICINE
Mauro Antonio da Silva Sa Ravagnani,CLEVELAND UNIVERSITY-KANSAS CITY
Paulo Henrique Siqueira,ILIFF SCHOOL OF THEOLOGY
Abhinav Narasingam,UNIVERSITY OF LOUISVILLE
Ishan Bajaj,KENTUCKY CHRISTIAN UNIVERSITY
M. M. Faruque Hasan,CALIFORNIA POLYTECHNIC STATE UNIVERSITY-SAN LUIS OBISPO
Shachit S. Iyer,RHODE ISLAND COLLEGE
Ernest Mwebaze,CRISWELL COLLEGE
John A. Quinn,INDIAN BIBLE COLLEGE
Hyokun Yun,APPALACHIAN STATE UNIVERSITY
S. V. N. Vishwanathan,PLATT COLLEGE-ANAHEIM
Aarti Singh,RASMUSSEN UNIVERSITY-NORTH DAKOTA
Alessandro Rinaldo,CAMBRIDGE COLLEGE
James Sharpnack,PACIFIC RIM CHRISTIAN UNIVERSITY
Christian Barillot,GOUCHER COLLEGE
Daniel García-Lorenzo,CENTRAL CONNECTICUT STATE UNIVERSITY
Florence Forbes,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT CHICAGO
Michel Dojat,MARTIN UNIVERSITY
Senan Doyle,ROBERTS WESLEYAN COLLEGE
Aaron C. Courville,SOUTHERN NAZARENE UNIVERSITY
James Bergstra,CORNELL COLLEGE
Yoshua Bengio,EUREKA COLLEGE
Andrew W. Moore 0001,CUNY GRADUATE SCHOOL AND UNIVERSITY CENTER
Geoffrey J. Gordon,MIDDLEBURY INSTITUTE OF INTERNATIONAL STUDIES AT MONTEREY
Sajid M. Siddiqi,UNIVERSITY OF MIAMI
Arnak S. Dalalyan,NATIONAL AMERICAN UNIVERSITY-KINGS BAY
Olivier Collier,ROCKHURST UNIVERSITY
Abhradeep Thakurta,MASSACHUSETTS COLLEGE OF ART AND DESIGN
Prateek Jain 0002,UNIVERSITY OF PHOENIX-MICHIGAN
Pravesh Kothari,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
Balaji Krishnapuram,MISSOURI BAPTIST UNIVERSITY
R. Bharat Rao,MARYVILLE COLLEGE
Rómer Rosales,WEBB INSTITUTE
Shipeng Yu,JAMES MADISON UNIVERSITY
Abdel-rahman Mohamed,ALLEGHENY COLLEGE
Yichuan Tang,ALVERNO COLLEGE
Brian Eriksson,THE CATHOLIC UNIVERSITY OF AMERICA
Laura Balzano,BETHUNE-COOKMAN UNIVERSITY
Robert D. Nowak,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA
Lehel Csató,WARREN WILSON COLLEGE
Zalán Bodó,SHAWNEE STATE UNIVERSITY
Zsolt Minier,PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE
Dor Kedem,SAM HOUSTON STATE UNIVERSITY
Kilian Q. Weinberger,INDIANA UNIVERSITY-SOUTH BEND
Minmin Chen,SIMMONS UNIVERSITY
Olivier Chapelle,LOYOLA UNIVERSITY CHICAGO
Zhixiang Eddie Xu,NEW YORK ACADEMY OF ART
Amos J. Storkey,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN
Felix V. Agakov,ST. MARY'S UNIVERSITY
Peter Orchard,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCATION
Naftali Tishby,SAN JOSE STATE UNIVERSITY
Ohad Shamir,UNIVERSITY OF SAN DIEGO
José M. Peña 0001,SOUTHERN OREGON UNIVERSITY
Marko Grobelnik,PACIFIC COLLEGE OF ORIENTAL MEDICINE-NEW YORK
Mitja Trampus,URSHAN GRADUATE SCHOOL OF THEOLOGY
Akihiro Koide,SAMUEL MERRITT UNIVERSITY
Hiroshi Motoda,PRINCIPIA COLLEGE
Kazumi Saito,CUNY LEHMAN COLLEGE
Kouzou Ohara,UNIVERSITY OF NORTHERN COLORADO
Masahiro Kimura,BIRMINGHAM-SOUTHERN COLLEGE
