description,decision,paper,reviewer
GoELSJozoXmhpXXSqdoobOZqQcobPcJQESBAWRifgPNZXIJOABXonTKvVpLmhWyPNFWtYqhionXmfbJSKpBrybeeJlarrWeEitvD,Not Accepted,A federated learning based semi-supervised credit prediction approach enhanced by multi-layer label mean.,Naohiko Hoshino
xEkYaqkbXsVKLMasIIdquNBMVafNGEiFHjoSdwXKXNJPuScWpYswnYNxhcBHOYNzpPIksIKTJSyKkMWPvFFOsVBKbkaTVNukhxCZ,Not Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Pedro M. Castro
BqCqdrSVYgxELuRbzKYpaymgIQjompaOrvLVYeyIBONNzJcDbktilIZRCXYIJBxkIoOCJfiNDgiodqxrnKfowmZyTIaNiJjNNHAb,Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Pascal Steingrube
BoOhnGlzSLerBvgYCamOZbwuhAbeTPwBkuMHpgXItLDhFAFUxVoYBcnZzyPMyMNKmKXwqLRPyfDaBPNOUGbVqhnmlNGlZBNvYNmo,Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Salvador Tamarit
JKzRzGOaasCPlbIXXDlmzYxPyfXDmuOYeweMviQdeEVCGgekTwUEUmnBIbIOTRDMTgsPCeSMsJBkkGTmdYZxndNjTiqLTDzVPwXi,Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Xiaowei Tan
gxkChoJcPiDSpMHllcwbioYHDZKsSFQpITYCkaZDgdiQBfYMxhiYhwWeadGzzeNsrvybsAaHURlMJPsZboNcNLHvOmotYAbMpLio,Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Fredrik Dahlqvist
lCLbiAWtTcoZnCqAHwOsPCcaxswnKNxmCOReYammOgGbVyeECskRBoAtrkrDuUJcwicdCTTDXxRdSWboMgWKdHZCrfqzTgMmiEgu,Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Giselle Reis
gyuTldYuWccddfSRHdmknNMQkryOcKJfvfKfRDRHvNcTelJbUFUbxBwfcqvbyJdkZvNlAyFLgCfxlrosQaQBDXTuVgyQqYuANjAf,Not Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Markus Weimer
gzLTWLDdmMwEsAsFkvQkXHhFYINZQDbDZDZjrXZcEVPGMYUCWVgUDVsPffSvdoMwxnbAGyJyfPhXaBlwSwNCNhlnLXihETmSfEsn,Not Accepted,A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Kim Guldstrand Larsen
HZlDnRBlGrmhOCoLSKjdJFVAtfnrTMIiETCKglJDlTfYoDYBgMIioYgcZpQbKiNlkdXrylZeqbOCtJQIcvzOquErPWByfazYmouz,Accepted,Trust-based federated learning for network anomaly detection.,Souvik Roy
WohgqedYtqixgkUAAZKWljWhLVfyIYwSnzmHKzrIVJifjJiRNgAxWeBBTHEPXKMguMnBkbKMgHngSnnZrlMdGOuYhCAJvFjMEolF,Not Accepted,Trust-based federated learning for network anomaly detection.,Pedro J. Moreno 0001
BURxFVPtzwNJxrFlgywPirIUkXpsRuruVSrTNtDfFLbkeOTLYAkALViOCksvdHijroZqPGxDtEMNxYgCtZvNwAmSwumIMUWBPSwQ,Accepted,Trust-based federated learning for network anomaly detection.,Gianluigi Zavattaro
NBPKnmKiwYIyPUHoSHFdLNXlqOFNTfHCkYVbhKZCUWipJtpKTQcJDsePiOaLUCfwEfxbBFBnYzLAWfriMqjwryCqSHCrvZgyWYaq,Accepted,A bit-object-based method for mining maximum frequent patterns in intensive cloud computing data.,Tobias Nipkow
bAJjkysoEYEJcYOJoTJRhbdUJxrLKgjulWhwutWJhigGuFtwKRebmbJHPlGBOUusXnoeeMYICcVlFUdFowczvQNWEfwyWcNgEdHi,Not Accepted,A bit-object-based method for mining maximum frequent patterns in intensive cloud computing data.,Raphael Fonteneau
FweiZHCKvrJQNzQKTfVSVKiGmRhEXLjWbyfkFzTzsFkUmrtsZghkOXkbKIMzVKIMZnhQmTbFlqsJuJURtnFRnjOJYocoLzyvgCZu,Not Accepted,A bit-object-based method for mining maximum frequent patterns in intensive cloud computing data.,Harry Virtanen
wEnkTZcNkkaTKjIAUaHNHedxShKNOpZJpSySxCEKPfxYFoMgFOzVjnrsCrFefEyckXlwnAXghJxmmnVOcmgwXHCPmmLURRSTRNYH,Accepted,A bit-object-based method for mining maximum frequent patterns in intensive cloud computing data.,Reinhard C. Laubenbacher
rizpJBKVttlXmAVAdTLhCdFFKXymdkGUEQTRYjbMDXvtZYtVkQxDIfbNJWLRLHFPpeTrCpLCPzxtkolNIpyAmKZleUYazwMxwwyM,Accepted,A bit-object-based method for mining maximum frequent patterns in intensive cloud computing data.,Ingolf H. Krüger
cfNHWmmSQOiPPLmHXwqxRsjlwDxtuaAlAqlSGGCBSjXevajKewHySsetHTIlNBxMbgEswQMqEOPxsCKvSgmvBOKwncUbniReYiyZ,Not Accepted,Trends in web data extraction using machine learning.,Alessandro Cimatti
zDDQVDbxCCeIBVXVwwiLfZXGwPTPTBYWPNjijcYxbulgffYVpxrNPGWeRdpHFYrMxXZOaCGBUazKNEjZScTIIkhIWhLucwwFRmDU,Accepted,Trends in web data extraction using machine learning.,José A. Carsí
XNAffQiYglUbCPtNkUKaFvHsAyUBYhJsBnOjJzWRmQNvUUPjeQXzSlaiCDAhMhbXiYFrYMxcohKIKjrczZyNUdYAFwbIuwweiEba,Not Accepted,Trends in web data extraction using machine learning.,Cid Carvalho de Souza
xIlfnQOrukocwnqRbkjqNvMsNZSDwsyplXSqvlySewgKTqjfZyCxPnCSCfsGUwSlKVHGEWeruhOBEUNUfOEoHxaTzdkegFDPHpsS,Accepted,Trends in web data extraction using machine learning.,Chiara Bodei
rYahIMwgetsMqfdcXVWxbwaTmQMfwXKipiwNnCzZKxzYdMFdGIgZoAmeNCZGwNmBaqWDyiAZFoFsCKMiDknVqkpqgZbZFYBXKrqk,Accepted,Trends in web data extraction using machine learning.,Jirí Rosický
zynsQPzkLsasZOyFcHcutviTzflDRUSfEupQxFdtGqBZtZwtwlgjmuDVXRWbPROxvssveFnNzMCkyMeOZFJyhDdWtxsbDdbesSWk,Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Yang Cao 0006
podybIctIZixwRdXjADLRLRBpXTJOlALgICBBIJLQXbJeiNDVWmoNhfihsreTouYdHUMDokADipqKEfOqNVdsupDAyiUvhMEHwbU,Not Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Jian Li
XoRPhAZozCowIdTWWIeCaAgDQmLHllMJfrKOoQfIHAScKQyBGHqBaALKLUXjFHfobJGqYaCEKkQLdpNOFBnNpFDvdEuITCzDGiGQ,Not Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Aad van Moorsel
EKlLYNDqailBJdGJihwyHVHRkCscxKhbGjpFCTPSXmNibaDEaLKyYqVLInAopxBcMZcKuQeskOnAJIYnSkmOPUEcammCeXkAhqEQ,Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Dylan McDermott
pTLhwLdbXcwNYfZdQnHHxjXCteChvzTHrQVBXlFsHDeAEwvCPElYRvbWZUuudnSnOwXBkjCZjIMInoIFmQikyHnhtFnaTDOhxHdk,Not Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Mark R. Shinwell
tuXvvchIzNeIdPmJcslmTqnBdzcNiGSMIqdwPLFcOpZnAqYqSdXMnhyOYdJcxfIFVmkhfDjoZINaJEEdfomFMTPfNQxZdxQzXvzM,Not Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Jonathan Grattage
MqjhqiumvJSQRhhrZnbaWZjuUALsAhMMYzctOrjVsBeeiKxKarAgmWrXdtFDodIbMHthOSGRhjMkSxKkjeHYllWXHzFaUwiTBIUu,Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Taus Brock-Nannestad
YBXnWdgEQidHwoUqkfouAimMFiYZqOhBaUEjoToHsfOlSTKuXfgOjyZSYPmUSHshWKwIAQkBHoSpflGmydaZIFEDqVgvlYWYIekg,Accepted,Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Yoshihiko Kakutani
JWYOmuZYiHuUOUpFTKDsqYqasLJUgoWoRKkVFAjNFtxKJhCKvfTTTwNYoGZKUwTzVyepSkhXSUpZMdPagvWXfHYDYtxwTwxztTmq,Accepted,On Task Dependence of Helicopter Pilot Biodynamic Feedthrough and Neuromuscular Admittance: An Experimental and Numerical Study.,Henning Urbat
bllvLppNBQZnjAaBnmqhagGHvdRmxlwLaWlUwftufKsOWZmngmNndRDAOzXidpmRbHeerIywhZsrsRhaKQlbbtaarQaqsfUEpFXU,Not Accepted,On Task Dependence of Helicopter Pilot Biodynamic Feedthrough and Neuromuscular Admittance: An Experimental and Numerical Study.,Purandar Bhaduri
czbYvupsPkowPLqjFkcjHWSEGWZlKvgqbDmwlvIEbRarSNXkXpsXuObKYMigYpZzdBFJUPLdEAZHhDdDUwTeTeVZhZNPBxynRwgO,Accepted,On Task Dependence of Helicopter Pilot Biodynamic Feedthrough and Neuromuscular Admittance: An Experimental and Numerical Study.,Yongxin Taylor Xi
rfrnpecRXmUVsHRaVzXgKZQVaKolTYtUSHRfWJnoZJvCnkMEyHTpUwNwijbavnMKXRVYJzBlOQBxbrCCNuSNzfZxlCidVUnHmbjl,Not Accepted,On Task Dependence of Helicopter Pilot Biodynamic Feedthrough and Neuromuscular Admittance: An Experimental and Numerical Study.,Sofia Triantafilou
XYdWXZFfKQYRezijYOyzAUaMmCJdgNqgOdEjnyJowUZOnxtzkbSVbvPChkJhkoXdgPjAAOmLYIrWKtHlfYVOUukYaRQvvQJBTlLM,Not Accepted,On Task Dependence of Helicopter Pilot Biodynamic Feedthrough and Neuromuscular Admittance: An Experimental and Numerical Study.,Andrea Formisano 0001
yVmTxgSzDSQOTWiCTUFKOmRixEHPVwuWcISfZqtVGLiHyhFxIIchAgZxhRQRCUagfTzXxVeUzgNrYpEJRdTUObJMZAvmRdhNNmRZ,Accepted,EEG Correlates of Difficulty Levels in Dynamical Transitions of Simulated Flying and Mapping Tasks.,Nicolò Cesa-Bianchi
uXqiJipdERVcdrcwfEhpZNSKTGoitPhtlwsuNHfiKRPNSTPUyNwfpqMzAKTXXjdmFlpRgPcguvdkgmXMqtAgnQVAdOTqcGcYlHPk,Accepted,EEG Correlates of Difficulty Levels in Dynamical Transitions of Simulated Flying and Mapping Tasks.,Jens Abildskov
LvePKYGOeogBrVOxmtBTndXEBFfZfWTkXGnWjKyoyfPrpGxJDcnaxweAfkOgYOGtUxQtvsNikSDbPPvqKdPALmkfUnozSfsCcjUx,Accepted,EEG Correlates of Difficulty Levels in Dynamical Transitions of Simulated Flying and Mapping Tasks.,Sheila Morais de Almeida
aJPPBehZLgfDRqUiwRicFTUdDcBASSRxtavRmkOQkqVOYaxpdXyQgPXComqczjshlxxXFskovZZBZdNwxxiLehxniURGBNPTJgoN,Not Accepted,EEG Correlates of Difficulty Levels in Dynamical Transitions of Simulated Flying and Mapping Tasks.,Huodi Chen
RBMZlJjUFWOlxfVoglCSWgXYchTfReeUPrVimVuqfLhaGZRTAWADqsbfEqtYUbzEBduKYTYHRfbFWioVoAdVdmJUWJArHXunIfuV,Accepted,EEG Correlates of Difficulty Levels in Dynamical Transitions of Simulated Flying and Mapping Tasks.,Ana Bove
sxCkCzCYZRNFyLibvfPpOIMeNCjfKJSnVttSSuVUBbpRZjJMYvvkCkqUukzZLQsySXKQMiakiUsyVBlUEyPJyqtxQwlCrXUOeoOQ,Accepted,A Survey of Eye Tracking in Automobile and Aviation Studies: Implications for Eye-Tracking Studies in Marine Operations.,Rosario Pugliese
FVEcwEqTHRqjCzomNxlmRDqREcSVItdqqHzRAhkcrJhMXgOYlvbrTwwkTfsINnsfEAixutWdbVEwlEJMXAJayQBTUSSvCtlfzKWA,Accepted,A Survey of Eye Tracking in Automobile and Aviation Studies: Implications for Eye-Tracking Studies in Marine Operations.,Marta E. Zorrilla
eaUsRlwjTMOnQqjbOBdjxUvuNgaUAgBvWBIssiLMwwYXcLYoNcUxplnLSKQkaDmNQoTobArqsoXgyUSRwZPaKvfSsOaeHAETpjtf,Accepted,A Survey of Eye Tracking in Automobile and Aviation Studies: Implications for Eye-Tracking Studies in Marine Operations.,Wolfgang Ahrendt
NSwtRVBQVHPihUVaKjxNqxdLjVXUDMBgZdrrpbcELtRUaLFAHMVqXQCelrSUTVvoYgDZfQMYfuaeSCUIskdspfSMjLTrBfpuKMzP,Not Accepted,A Survey of Eye Tracking in Automobile and Aviation Studies: Implications for Eye-Tracking Studies in Marine Operations.,Nial Friel
uXHfcoamVSHfAjFNnIRoEspbSkqhFunuFRUAqnVHaTYHenDXVbcCQZBNHrNvRxsLYDqwFwrWYUPLHeqZZIOnxzFKBNPJFhhzKGXm,Not Accepted,A Survey of Eye Tracking in Automobile and Aviation Studies: Implications for Eye-Tracking Studies in Marine Operations.,Moisés T. Carvalho
vYBCpBEbhrwjsMCwVfpTWDQibCaewQgouHBVCaFTdLAxESZmryJxsnVcTCgpqjiKhCSXKtkPaJqRfyvVMnmBkSrSOLlssnUdwnHQ,Not Accepted,A Survey of Eye Tracking in Automobile and Aviation Studies: Implications for Eye-Tracking Studies in Marine Operations.,Cheng-Hao Tsai
clfPKiEhLPQVKzrfxvUynyGutCNAGUtTvNeDTemTejgsknJPvYVYQOoYrizJyZCFKBJJINlAZWoGKqzKPOMRnMWPxfDNvvrDvROs,Not Accepted,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,José Bacelar Almeida
IOmRvLdFDKMIvKaVPvCIFJkreraIxqbysJAlXJckPPKaIpblVbZmnESMoUoNyWZGrsYAZPeltamrqHBhqczgedbUVuCetxRQNzwT,Accepted,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Simon L. Peyton Jones
mEBwgWDCcHfxofMRLvjecKsjLeRWxpXaJiseANBYDGUBpKemixBKqCxLXZkvpnuQgAlMwVFxhybxHNDtAIztzvZcansmXLjCLSWY,Accepted,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Maria Chiara Meo
JYUOIdQeZubHxCXhllUMcSgJblBDPQSfYJVBRfzoHVuWgHZqXjqXRYaHCCvjqBFPqLioMkAxxSrVgGMsBubkOZfKfpNOEjCMfdWo,Not Accepted,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Aurélie C. Lozano
TAFfhbzOnTbwfBPeBJwFjlMHLOlSxSvhVDIpNRyyaXeEmyQYczrhfVqaVoyOJpZZWKMXYvjIIGUJodQLpZvvEDjDZIdINtOyNXCX,Not Accepted,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Kyungwon Kim
PHUbdyNOYEHbZOJPbBiOQerxiZPznWhBMhZaOdsUixMReChNeHjRxgYgxqXOjQyIvSvFDhvDydsombXqMLwphOxqrqOADzVRgFDO,Not Accepted,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Samuel Kaski
DmQSNRDJSxCDLsohKxvMRyEYunxlORHEhyLjCDAdaOkgUbdgmmbcrsekpxXNLWZnDrKQvcbHopKgUZnfgfOAEiZRPZTcafplDFsr,Not Accepted,Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Pascal Billand
AtikOpgYQONfUArrAifRQmVZWBcPUkLzRKwbafvxQBMcwHepiItdrGtJzTzEtGIFWvWAeMmEIFgutvoPuhaPcirevYDHBBYrvGuH,Not Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Pedro Adão
qdpPllTrnlCKCXgwjxKCbWCttzrbMzWlGJUjepmTvnxlkDxZZZhOTTaiUUBlVnfAdAdGIPJOUVejMBWmgiZToULmgParUaKkLJoS,Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Tobias Blechmann 0001
auHEBvnPJoDkXmpxjsxEDsdKUyUZrjxeyrjupIauDJPyQMjPxPWcmdStTMxSMZPbnqrNrMTqwIONdPXgvcSgfjMRupGeLivIlPMf,Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Samuel Guizar Rios
UbYaQQADcrjvUtiOoCBKTXETZjCzFVycUrkNRWBGrwGpNVnkbWnXgJGfZWATndlKwHHzEqYeNauwRuicFvcrdJZfQzhuXtZJnzwm,Not Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Gilad Bavly
jQbefmTgqcIsDGpuqKxATGpmXHUgpJOEPYXINBELTbfvbQyxphLgxeemUxcJpHLqkRQhUjgQLQdsGKBVCaVByDtAoTbtIEvkZAJL,Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Gabriel P. Bischoff
aGihznzTziyflLFBKDomRplwsBbdRGhiqFGieGtSxfwbZolUkEOIHDZOHQcZVLHuyQbYgHRcJlWmcazbLtYMejVTaFCLAvLfUcKu,Not Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Bogdan Aman
fwuzcaOhQHzWotFoSJnPKsrxwNmBXpMKwyOpBWndZoNpiqzrqpKOHZXjYFrXznUcOrhtwvNtRVTwakXksYGJuqdDKQxxjKbKWjAs,Not Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Paolo Baldan
nHeQDNABzowHOVXEreETEODqyjMFjmkrtRhiFZWEEWooeBSaxaKrymsPeKTHooNklmzHAmQLuHyROZPvpMWyeXHSZqAOeMrInXJl,Not Accepted,Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Karim Lounis
yIrKNYwRavMsWWKbURfJkerlRAYjzOxlILQyDymMPbHFrQIGpdqjNVKOUYJwmWqCnPXUxYGcoZPYzzrBTAnnfYInojgtMldVygjp,Not Accepted,Impact of Human-Centered Vestibular System Model for Motion Control in a Driving Simulator.,Nick Saponara
yVbCVvxoEpaoIzFBBctKyGtikcdVcihdtQyDXgKnsfHzQVBMAJuTcwrFRMXHeWvKZjzBVWytgzxeWnxeJjBGqEarRTsUvMvXZRUh,Accepted,Impact of Human-Centered Vestibular System Model for Motion Control in a Driving Simulator.,Brenno C. Menezes
NyfPAyBWuuYrvRbqFIeldfSBYmYPRBpHVByspiGeTjXwLRxSxkhuuVipJOtPHspLpXBsyCVUrLAgaguvzUDYWjIsXCCaoQwslMYg,Not Accepted,Impact of Human-Centered Vestibular System Model for Motion Control in a Driving Simulator.,Ramon R. H. Schiffelers
uyGdBrbZduJXzoeAZPfzuIcLRswSeWlzplaWALvXHklhGSbpanrUUuYsmFaDjEpWAtYgYniGyYxRuqLDJAUfFzCvAtfJFsdodSGD,Not Accepted,Impact of Human-Centered Vestibular System Model for Motion Control in a Driving Simulator.,Barnabás Póczos
lQNHRegSnYDTWBrTkAGGWxUSyJeFpFMZEcPNloVihHWdDafAFuAsZTbZfeXNeERFshkNplGaRYttUiXPRQcnZHyVQAcRjABhFTzu,Accepted,Impact of Human-Centered Vestibular System Model for Motion Control in a Driving Simulator.,Hoang Vu Nguyen
DnKcdpYhbnKlpHrWGqNwkELGhOGOXqunjAFjWSphMWjogUBqXAanBQUedxIDbRPchyQfxlFFCjLJLWlmlUSCuQnYZQfHyooGXyit,Not Accepted,Delay Time Fractional-Order Model for the Soft Exoskeleton Glove Control.,Scott D. Stoller
dyYLZsWJgxNDvCiDcRADuFjgiLBtisaihWUYaiqWniXiqCOMNAiQduyPLALPQLsuXncXxMnWkIXGNCcDAlgxCuFqMbPqGuTGOvTc,Accepted,Delay Time Fractional-Order Model for the Soft Exoskeleton Glove Control.,Cédric Archambeau
CaVygfIRfjkOrtEikHjOiVBgjcESMxCmqAkbKGdETlgKLiMbQhdTHVffCshxvcyWJXTQKNECAlssztkoSaJmuLIgvROCVCvhroWe,Accepted,Delay Time Fractional-Order Model for the Soft Exoskeleton Glove Control.,Neha Thomas
NEYNcaeEDjxPAJqBBdEhNSdiqbxwRLphhsmiHzNQYKgAvMRAPulQudGcOjwPlZlGAPluEhGEbKzjAOwaZrxzITtjRbEZeuXjKeQf,Accepted,Delay Time Fractional-Order Model for the Soft Exoskeleton Glove Control.,Genevieve Grivas
IkgVjvWwtSTgMzslhfFZphrmHnDKzUEtcRPBIYUovOEuVjeMHIManHKPwiyTlNTWTzFrTYWgjxfhtwvbmCQuKJsmpwoFITBApuxh,Accepted,Delay Time Fractional-Order Model for the Soft Exoskeleton Glove Control.,Abdelwahab Hamou-Lhadj
NkCnvhKEbjsuCruZiZpOoPXBmsQDrcAujLzpUBaKJQSEKrQFlvUzBrxctyVePvIGWzNucBWCVQyfofWSZBOIurBvhHZeBaAdXhiW,Not Accepted,Computer Interface for Real-Time Gait Biofeedback Using a Wearable Integrated Sensor System for Data Acquisition.,Kari A. Baldwin
zdAXZYQkxsDZaAtzCKhVLhJHDNksCKDHsqFvwAEeMmTZuLIgzDPFuoXYcAFyYqGFIyVfJanbIxPvkWmGsuCNQoQSGCspULvlIYkX,Not Accepted,Computer Interface for Real-Time Gait Biofeedback Using a Wearable Integrated Sensor System for Data Acquisition.,Markus Breitenbach
zutEfOimXkTvKQUbMyNCBVNBTRaMjEjpBzdtAXAJpxdZpjfNEfznAXSqvJxTaUXGfrXNSWZNCFXGdRGKPhXnnmezTLAhRDflWeJU,Accepted,Computer Interface for Real-Time Gait Biofeedback Using a Wearable Integrated Sensor System for Data Acquisition.,Suresh Venkatasubramanian
XlmVAlYIunHPHAnUjskdikjIbbnVuHtcqsMIvYgjjmwRcRrIWNUvGPGayKpnBNEFUdXOTjvUDMXKKZCsNZsGGCXDgMFCRQAdHwfH,Accepted,Computer Interface for Real-Time Gait Biofeedback Using a Wearable Integrated Sensor System for Data Acquisition.,Yves Bertot
JeRabgyOmBJEvyLKGTevdBjXXBGwHxJEcgyXYobQhZnghpMauMsqrQSzDjuksOiAXXhjIslNrtylyQCAbrdBQBkdRxHJqWMNlzfP,Not Accepted,Computer Interface for Real-Time Gait Biofeedback Using a Wearable Integrated Sensor System for Data Acquisition.,C. N. Campos
NxJSkAcdXIkJRPcbyyTeJCJMUhqfRigkzByGvmaZKBmvmJPxjAQsyUxUzFCRfNBZzbCqfbxGEzakrmEeTYdAFBTTeESlAVCMdnkx,Accepted,Computer Interface for Real-Time Gait Biofeedback Using a Wearable Integrated Sensor System for Data Acquisition.,Mike Behrisch
OWZnKBYfuiJAcPxBjZYlmHAALmYpeJiZXNsSOHTEJvvYVYJkKtrjmqfdmJnQGRFGaLDUuQtbBOBbHVzUqhXtnSuopqlXXiAkYbpL,Not Accepted,Extending the Evaluation of Social Assistive Robots With Accessibility Indicators: The AUSUS Evaluation Framework.,Sandeep K. Shukla
sijPuYCXinNkllWOkysLgDAAUeSgNvSnVlFPBsZXGNroiQrxshCzdNrxbCTAlBFrvcyACMqikMyfCEWESHtlhgiAFRHqIatFQVSo,Accepted,Extending the Evaluation of Social Assistive Robots With Accessibility Indicators: The AUSUS Evaluation Framework.,Lluís Corominas
bajuujZlCvzUzdzsRQgNSjuoeLqdXgGVnrgJJQhkIKpeWWOVqazQGUCzPVWMsIEEXpZUOIqYNqQPdPqaWZCjFveYxUWoGrtSZYAF,Not Accepted,Extending the Evaluation of Social Assistive Robots With Accessibility Indicators: The AUSUS Evaluation Framework.,Ricardo Bezerra de Andrade e Silva
bWEDIrdMStvxBiijTExmDnaeHJGJDshDxGeOobPZumyFsIFYnqXmPjNUsYtGpyYuCFMbAuWxljRaXgDEYTuqVvSPrmGpBuCTUjHc,Not Accepted,Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Tommi Mikkonen
cSBApmRrLNCdoehmrhwoKyOpEMLYbBnPwKLEMEkPTKImTKCNNBPWcDjKXbgNCWmoDfLMDXbnGfCcdMPaIebWzTvZuDctmXjxiBMv,Not Accepted,Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Louis Wehenkel
yPuZCBxWBTKEvdJAChFXhuTjWvrIBeIXAJWbXimLYeUgjvOXVvMYQaxsMXJeJLxlPHVSeHsrWoVvcSjvqZrranyspmxaYjmtZkas,Accepted,Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Adam Rogalewicz
FFiRfmPdJVeoclszuWFOeADSaoFmNCuZKthpymoPoZLmsfvynsOZcCaVDKuFxoyJzccUMiGBYhAaGgtNGvVGQgyqmdyiOguxLbij,Accepted,Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Marcelo Fiore
hDGLomRPVTAmVdiGwMSqHdUMqRlYhsXZXhVkDEUHMkBbtbvzumVXyUBmOUcrJhcgsBKqrCoYxqZXVCPmpBnwsxheuAUisNpWixGr,Not Accepted,Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Suresh Venkatasubramanian
YLgsGQTxQcguSXgpFEYJnPlJNqUUEZLMWodDwjDQixWqssrVyrBQueSfBAgOdETvSVhNoLRWvEKHXxGWrBpNdOzsXVvSojFRzUvV,Not Accepted,Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Ugo Montanari
isHDGhaLJRKJwHvLHGXHsUfhBcEWsymTaLisIkULGsHoXdrePDFxiNtGPnSmbzoVjrekzFqdNleQaxLhHLXkLBOQzSScSpOaxSbf,Not Accepted,Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Ezequiel Postan
QWHWTAcVMessXBJdblPdmYbYgqHOugvcyaTTWLToGLPEzLDKSgUaRNXmYmFBPkmMWDYlJrVhamFTgNvzurnuASNkaHwFCSAbcJcl,Not Accepted,Identifying Drone Operator by Deep Learning and Ensemble Learning of IMU and Control Data.,Uli Fahrenberg
oFuyhmldbIxJIJnodkurYxyhbhuScSjVOActCTnGwIcVnwZOmoZRgoKxWjJbrPsuENTPZwthYCwHwkNPUzCaJhuekqAlRfkEhIMg,Accepted,Identifying Drone Operator by Deep Learning and Ensemble Learning of IMU and Control Data.,Mahmoud M. El-Halwagi
OaFEqsuWLSevOiaqhrPoGvWSNnFIHjcvIzlxFfknZLgJXwkLztTPrGGFKXzHyqSkqiQjHfhRQWkDTswWFJTFDfmIscJsmotNAxhK,Accepted,Identifying Drone Operator by Deep Learning and Ensemble Learning of IMU and Control Data.,Brady L. Miller
bIAWpgpIXOOIruulDtBwGjncICLonulRiHfcRfpCnffkiTAyagZyiJVGsqhxesEPMKQQXZCHqLzkVzjbZdubPWVsuMZyRTSoLcOd,Not Accepted,Identifying Drone Operator by Deep Learning and Ensemble Learning of IMU and Control Data.,Huan Xu
TPpBgsvMfDdNqByvpfANjnrOmfOYDNrmpcKxXdVfDTTWmSkDfzgaevGfqNJFgJnqITYDtwNiwfhmwzVlTmDZwPwEInthTlXxZnvd,Accepted,Identifying Drone Operator by Deep Learning and Ensemble Learning of IMU and Control Data.,Barbara Sprick
CBvDrSrfwwmEWtbGmyuKgVlUXrefQEocQXVSLVajUjfoWRqEnwRNuoKfZgvdqmbwYeYeIFazFheATMemLNrSMiJpnImmFeXLhDYc,Not Accepted,Sequential Weakly Labeled Multiactivity Localization and Recognition on Wearable Sensors Using Recurrent Attention Networks.,Chongxia Lu
kxlfrHZODWwxalUojlfLhPisxloSZqdqmpgTkcwQEMYJNjFLvvvAmidDWrdnhCOedpYknfpMPRPYSiLYVNnbovpnucxcJWgmVOJf,Not Accepted,Sequential Weakly Labeled Multiactivity Localization and Recognition on Wearable Sensors Using Recurrent Attention Networks.,Plácido A. Souza Neto
