paper,main_author
Inside Every Model of Abstract Stone Duality Lies an Arithmetic Universe.,Paul Taylor 0002
Survival of the Fattest: Evolutionary Trade-offs in Cellular Resource Storage.,Andrea Y. Weiße
Real-Time Maude: A Tool for Simulating and Analyzing Real-Time and Hybrid Systems.,José Meseguer 0001
Performance Analysis of Collective Adaptive Behaviour in Time and Space.,Cheng Feng 0004
Formal Semantics of OCL Messages.,Stephan Flake
Model Driven Development of Security Aspects.,Julia Reznik
Innermost Termination of Rewrite Systems by Labeling.,Aart Middeldorp
Continuous-Time Probabilistic KLAIM.,Alessandra Di Pierro
Performance of low density parity check codes as a function of actual and assumed noise levels.,Christopher P. Hesketh
Normalization by Evaluation and Algebraic Effects.,Danel Ahman
Discretization of Timed Automata in Timed mu.,Jan Friso Groote
"Relating Toy Models of Quantum Computation: Comprehension, Complementarity and Dagger Mix Autonomous Categories.",Dusko Pavlovic
"A Rule-Based, Integrated Modelling Approach for Object-Oriented Systems.",Benjamin Braatz
Quantitative Assessment of a Peer-to-peer Cooperative Infrastructure Using Stochastic Well-Formed Nets.,Carlo Bellettini
MASTERS: A General Sequence-based MultiAgent System for Protein TERtiary Structure Prediction.,Osmar Norberto de Souza
Equitable Total Chromatic Number of ,Anderson G. da Silva
Normalization by Evaluation for Martin-Löf Type Theory with One Universe.,Andreas Abel 0001
Local Module Checking for CTL Specifications.,Partha S. Roop
Modeling Component Connectors in Reo by Constraint Automata: (Extended Abstract).,Christel Baier
The Theory of Contexts for First Order and Higher Order Abstract Syntax.,Furio Honsell
Correlated Information: A Logic for Multi-Partite Quantum Systems.,Alexandru Baltag
Higher-Order Types and Meta-Programming for Global Computing.,Eugenio Moggi
A Class of Reversible Primitive Recursive Functions.,Luca Paolini
A Performance Study of Distributed Timed Automata Reachability Analysis.,Gerd Behrmann
Inferring Static Non-monotone Size-aware Types Through Testing.,Marko C. J. D. van Eekelen
Practical Program Extraction from Classical Proofs.,Yevgeniy Makarov
"Monitoring, Checking, and Steering of Real-Time Systems.",Insup Lee 0001
Modeling Pointer Redirection as Cyclic Term-graph Rewriting.,Dominique Duval
Stochastic Object-Based Graph Grammars.,Fernando Luís Dotti
Design for Testability for Highly Reconfigurable Component-Based Systems.,Andrea Baldini
PEF: Python Error Finder.,Andrés M. Bordese
Towards Common Exchange Formats for Graphs and Graph Transformation Systems.,Gabriele Taentzer
A WOWA-based Aggregation Technique on Trust Values Connected to Metadata.,Ernesto Damiani
Evaluating Semi-Exhaustive Verification Techniques for Bug Hunting.,Gila Kamhi
Characterizations of Supercontinuous Posets via Scott S-sets and the S-essential Topology.,Luoshan Xu
Investigating Reasoning with Constraint Diagrams.,Andrew Fish
Constructive Membership Predicates as Index Types.,James L. Caldwell
A Petri Net Model of Handshake Protocols.,Daniele Varacca
When Model-based Testing Fails.,Bernhard K. Aichernig
Reasoning About Interaction Protocols for Web Service Composition.,Alberto Martelli
An Action Semantics Integrated Development Environment.,Francisco Lima
Infinite Trace Equivalence.,Paul Blain Levy
T,Haoran Zhao
Derivation of a Scalable Lock-Free Stack Algorithm.,Lindsay Groves
Canonicity of Weak ω-groupoid Laws Using Parametricity Theory.,Marc Lasson
Graph Transformation in a Nutshell.,Reiko Heckel
A Generalization of ACP Using Belnap's Logic.,Alban Ponse
Coinduction in Control of Partially Observed Discrete-Event Systems.,Jan Komenda
Towards Behavioral Maude: Behavioral Membership Equational Logic.,Grigore Rosu
Iteration and Labelled Iteration.,Bram Geron
Correspondence Assertions for Process Synchronization in Concurrent Communications.,Adriana B. Compagnoni
Concurrent Java Test Generation as a Search Problem.,Yaniv Eytani
Exploiting Bayesian Networks for the Analysis of Combined Attack Trees.,Marco Gribaudo
Using kinds to type partially-polymorphic methods.,Daniel Bonniot
Class and Capsule Refinement in UML for Real Time.,Alexandre Mota 0001
History-Preserving Bisimilarity for Higher-Dimensional Automata via Open Maps.,Axel Legay
Implementing Nominal Unification.,Christophe Calvès
Formal Techniques for Analysing Scenarios using Message Sequence Charts.,Girish Keshav Palshikar
Soft Constraints for Security.,Giampaolo Bella
An Equivalence Based Method for Compositional Verification of the Linear Temporal Logic of Constraint Automata.,Ali Movaghar-Rahimabadi
Macros for Interaction Nets: A Conservative Extension of Interaction Nets.,François-Régis Sinot
Prototyping SOS Meta-theory in Maude.,Michel A. Reniers
From Cut-free Calculi to Automated Deduction: The Case of Bounded Contraction.,Agata Ciabattoni
Lessons from a Bibliography Program's Reimplementation.,Jean-Michel Hufflen
A Calculus of Terms for Coalgebras of Polynomial Functors.,Robert Goldblatt
Self Management and the Future of Software Design.,Peter Van Roy
Bousi~Prolog: a Prolog Extension Language for Flexible Query Answering.,Clemente Rubio-Manzano
A Logic with Temporal Glue for Mixed Specifications.,Fabrice Barbier
An Isomorph-Free SEM-Like Enumeration of Models.,Prakash Countcham
Lexicalized Syntax and Topology for Non-projective Dependency Grammar.,Denys Duchier
Classes of Timed Automata and the Undecidability of Universality.,Arnaldo V. Moura
Combining Decision Procedures by (Model-)Equality Propagation.,David Déharbe
Pathway Logic: Executable Models of Biological Networks.,Carolyn L. Talcott
OCL 2.0 - Implementing the Standard for Multiple Metamodels.,David H. Akehurst
Type Soundness for Path Polymorphism.,Andrés Viso
Cooperation-based Invariants for OO Languages.,Cornelis Huizing
Towards a Quantitative Analysis of Security Protocols.,Luca Viganò 0001
From Concurrency to Algebraic Topology.,Philippe Gaucher
On Logical and Concurrent Equivalences.,Julian C. Bradfield
Continuous Testing in Eclipse.,David Saff
Axiomatizing a Fragment of PAFAS.,Lars Jenner
Adjunction Models For Call-By-Push-Value With Stacks.,Paul Blain Levy
Theoretical Foundations of Value Withdrawal Explanations for Domain Reduction.,Alexandre Tessier
Experimental Evaluation of Numerical Domains for Inferring Ranges.,Gianluca Amato
Web Accessibility Evaluation Tools: A Survey and Some Improvements.,Carlos Delgado Kloos
Performance Evaluation of a Real-time Simulation Architecture using Probabilistic Model Checking.,Jeremie Bonte
Manipulating Tree Tuple Languages by Transforming Logic Programs.,Gernot Salzer
Towards Merging PlatOmega and PGIP.,Christoph Lüth
Narrowing and Rewriting Logic: from Foundations to Applications.,José Meseguer 0001
Alloy as a Refactoring Checker?,H.-Christian Estler
Digital straightness.,Azriel Rosenfeld
A Non-Topological View of Dcpos as Convergence Spaces (Extended Abstract).,Reinhold Heckmann
The Amsterdam Toolkit for Language Archaeology.,Ralf Lämmel
Non-Uniform Hypercoherences.,Pierre Boudes
An Algebraic Baseline for Automatic Transformations in MDA.,Artur Boronat
Near Distributive Laws.,Ernie Manes
Formal Checklists for Remote Agent Dependability.,Carolyn L. Talcott
Parameterized Theories and Views in Full Maude 2.0.,Francisco Durán 0001
V for Virtual.,Andrew D. Gordon 0001
A Proposal for Disequality Constraints in Curry.,Emilio Jesús Gallego Arias
"Specifying Services with UML and UML-RT: Foundations, Challenges and Limitations.",Ingolf Krüger
Abstract Regular Tree Model Checking.,Adam Rogalewicz
Bisimulation for Feller-Dynkin Processes.,Florence Clerc
Leveraging UML Profiles to Generate Plugins From Visual Model Transformations.,Dirk Janssens
Relational Analysis and Precision via Probabilistic Abstract Interpretation.,Alessandra Di Pierro
Building Components from Functions.,Bernhard Schäz
Steps in Modular Specifications for Concurrent Modules (Invited Tutorial Paper).,Pedro da Rocha Pinto
Exact and Portable Profiling for the JVM Using Bytecode Instruction Counting.,Jarle Hulaas
Characterizing Non-Zenoness on Real-Time Processes.,Insup Lee 0001
IoT sensors in sea water environment: Ahoy! Experiences from a short summer trial.,Chrysanthi Tziortzioti
A Case Study in Parallel Verification of Component-Based Systems.,Barbora Zimmerová
ZEUS: A Distributed Timed Model-Checker Based on KRONOS.,Alfredo Olivero
The Shuffle Quasimonad and Modules with Differentiation and Integration.,J. Robin B. Cockett
Termination Criteria for DPO Transformations with Injective Matches.,Hartmut Ehrig
Modeling A Certified Email Protocol using I/O Automata.,Anna Lisa Ferrara
Relating Natural Deduction and Sequent Calculus for Intuitionistic Non-Commutative Linear Logic.,Frank Pfenning
Verification of Quantum Protocols with a Probabilistic Model-Checker.,Ali A. Babaei-Brojeny
Validating Behavioral Component Interfaces in Rewriting Logic.,Arild B. Torjusen
Bifibrational Functorial Semantics of Parametric Polymorphism.,Federico Orsanigo
Topology Control in Cooperative Ad Hoc Wireless Networks.,Jacir Luiz Bordim
Sharing Implementations of Graph Rewriting Systems.,Stefano Guerrini
Probabilistic Logic over Paths.,Evan Tzanis
A Higher-Order Calculus for Graph Transformation.,Ian Mackie
Multivariate Normal Approximation for the Stochastic Simulation Algorithm: Limit Theorem and Applications.,Anne Siegel
Checking Overlaps of Nominal Rewriting Rules.,Ana Cristina Rocha Oliveira
A Hybridization of Irreflexive Modal Logics.,Katsuhiko Sano
Quality of Service Conflict During Web Service Monitoring: A Case Study.,Cecília M. F. Rubira
The Coinductive Resumption Monad.,Jeremy Gibbons
From Comodels to Coalgebras: State and Arrays.,A. John Power
A Model of Guarded Recursion With Clock Synchronisation.,Ales Bizjak
Lazy Logical Semantics.,Luca Paolini
A Short Introduction to Clones.,Friedrich Martin Schneider
From Reversible to Irreversible Computations.,Alexander S. Green
An Effective Tietze-Urysohn Theorem for QCB-Spaces: (Extended Abstract).,Matthias Schröder 0001
On Monotone Determined Spaces.,Shu-Zhen Luo
From Functional Programs to Interaction Nets via the Rewriting Calculus.,François-Régis Sinot
Mixed Rational Assessments of Possibility and Probability Measures.,Enrico Marchioni
Generalized Parsing and Term Rewriting: Semantics Driven Disambiguation.,Jurgen J. Vinju
Automated Composition of Module Chains.,Stavros Tripakis
ESUIF: An Open Esterel Compiler.,Stephen Edwards
Exploiting Target Enlargement and Dynamic Abstraction within Mixed BDD and SAT Invariant Checking.,Gabriel P. Bischoff
Flexible Bytecode for Linking in .NET.,Alex Buckley
Default Theories Over Monadic Languages: (Extended Abstract).,Julia Mosin
Visual Design of Software Architecture and Evolution based on Graph Transformation.,Claudia Ermel
Ensuring the Correctness of Lightweight Tactics for JavaCard Dynamic Logic.,Andreas Roth 0002
Dynamic Slicing Techniques for Petri Nets.,Germán Vidal
On the omega-language Expressive Power of Extended Petri Nets.,Alain Finkel
The variety of variables in computer-aided real-time programming.,Colin J. Fidge
Model Based Testing in Practice at Microsoft.,Keith Stobie
Towards a Hybrid Dynamic Logic for Hybrid Dynamic Systems.,André Platzer
Model Checking Quantitative Linear Time Logic.,Axel Legay
A Call Abstraction for Component Coordination.,Michael Jackson 0001
Verifying Concurrent Data Structures by Simulation.,Lindsay Groves
Self-Test Components for Highly Reconfigurable Systems.,Giovanni Denaro
Characterizing Consistent Smyth Powerdomains by FS-∧,Hui Kou
lambda-calculus and Quantitative Program Analysis: (Extended Abstract).,Chris Hankin
Interactive Behaviour Between the Dynamic Arrival Process of Complex Traffic Source and a Bottleneck Queue.,Lin Guan
Modeling Hybrid Systems in SIMTHESys.,Enrico Barbierato
TSAT++: an Open Platform for Satisfiability Modulo Theories.,Alessandro Armando
Iterated Duals of Certain Topological Spaces.,Bruce S. Burdick
On the way to certify Computer Algebra Systems.,Daniel Hirschkoff
Pattern-Based Verification of Programs with Extended Linear Linked Data Structures.,Milan Ceska 0001
XRT- Exploring Runtime for .NET Architecture and Applications.,Nikolai Tillmann
A Symbolic Semantics for a Calculus for Service-Oriented Computing.,Francesco Tiezzi 0001
Classifying and Formally Verifying Integer Constant Folding.,Jan Olaf Blech
Decomposing Split Graphs into Locally Irregular Graphs.,Carla Negri Lintzmayer
An Algebraic Approach to Shadowed Sets.,Davide Ciucci
An Account of Implementing Applicative Term Rewriting.,Muck van Weerdenburg
Alias verification for Fortran code optimization.,François Irigoin
Semi-Automated Component-Based Development of Formally Verified Software.,David Hemer
A Coalgebraic View of Infinite Trees and Iteration.,Jirí Adámek
Foundations for Designing Secure Architectures.,Jan Jürjens
A Scalable Evidence Based Self-Managing Framework for Trust Management.,Ian Willers
Projections for Infinitary Rewriting.,Alejandro Ríos 0001
Monadic Second-Order Logic and Transitive Closure Logics over Trees.,Hans-Jörg Tiede
SAT-based Induction for Temporal Safety Properties.,Limor Fix
Ambient Petri nets.,David de Frutos-Escrig
The Recursion Scheme from the Cofree Recursive Comonad.,Tarmo Uustalu
Typing the Behavior of Objects and Component Using Session Types.,Antonio Vallecillo
Symbolic Input-Output Conformance Checking for Model-Based Mutation Testing.,Bernhard K. Aichernig
Electronic Purse Applet Certification: extended abstract.,Guy Zanon
A Priviledge Management Scheme for Mobile Agent Systems.,Wayne A. Jansen
Developing the Method of Server Controlled Outcomes Management and Variance Analysis.,Ai Kawamura
On the Decidability of Fragments of the Asynchronous pi-Calculus.,Charles Meyssonnier
Bounded Model Checking with Parametric Data Structures.,Bernd Becker 0001
Bridging the Web Accessibility Divide.,Faisal Ahmed 0001
Measuring and Reducing Clutter in Euler Diagrams.,Chris John
Formal Model Merging Applied to Class Diagram Integration.,Artur Boronat
Reasoning About Imperative Quantum Programs.,Amílcar Sernadas
Fair Pi.,Catuscia Palamidessi
Visual Specification of Metrics for Domain Specific Visual Languages.,Esther Guerra
Applications = Components + GLoo.,Markus Lumpe
Computing Invariants with Transformers: Experimental Scalability and Accuracy.,François Irigoin
"Notes on Coalgebras, Cofibrations and Concurrency.",Alexander Kurz 0001
An Overview of QML With a Concrete Implementation in Haskell.,Jonathan Grattage
Deconstructing Reo.,Alexander Lazovik
Efficient Reduction Techniques for Systems with Many Components.,E. Allen Emerson
The Implication Problem of Functional Dependencies in Complex-value Databases.,Sebastian Link
Modeling and Verification of CAN Bus with Application Layer using UPPAAL.,Can Pan
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,Alberto Policriti
Meta-metric Evaluation of E-Commerce-related Metrics.,Antonia Stefani
Local Reasoning About Tree Update.,Philippa Gardner
An Abstract Decision Procedure for Satisfiability in the Theory of Recursive Data Types.,Cesare Tinelli
Simple canonical representation of rational numbers.,Yves Bertot
Component Substitutability via Equivalencies of Component-Interaction Automata.,Barbora Zimmerová
The Sequent Calculus of Skew Monoidal Categories.,Niccolò Veltri
Bigraphical Semantics of Higher-Order Mobile Embedded Resources with Local Names.,Mikkel Bundgaard
Strategies for Source-to-Source Constant Progagation.,Eelco Visser
A Case Study in Periodic Timetabling.,Christian Liebchen
Towards Test Purpose Generation from CTL Properties for Reactive Systems.,Daniel Aguiar da Silva
"A Generalisation of Stationary Distributions, and Probabilistic Program Algebra.",Annabelle McIver
Action Control by Term Rewriting.,Clara Bertolissi
Typed behavioural equivalences for processes in the presence of subtyping.,Julian Rathke
A Single Proof of Classical Behaviour in da Costa's C,José Abel Castellanos
Interactive Programming of Reactive Systems.,Florence Plateau
Model Checking Biological Oscillators.,Emanuela Merelli
Fresh O'Caml: Nominal Abstract Syntax for the Masses.,Mark R. Shinwell
Believing the Integrity of a System: (Invited Talk).,Simon N. Foley
"Communication Attitudes: A Formal Approach to Ostensible Intentions, and Individual and Group Opinions.",Felix A. Fischer
Heuristics for Faster Error Detection With Automated Black Box Testing.,Antti Kervinen
On Tuza's Conjecture for Triangulations and Graphs with Small Treewidth.,Cristina G. Fernandes
Towards an awareness-based semantics for security protocol analysis.,David A. Basin
JHAVÉ - More Visualizers (and Visualizations) Needed.,Guido Rößling
Reducing Symmetries to Generate Easier SAT Instances.,Jian Zhang
A Cappable Almost Everywhere Dominating Computably Enumerable Degree.,Antonio Montalbán
"Applying a Stochastic Model to a Dynamic, QoS Enabled Web Services Hosting Environment.",Charles Kubicek
On Equators in Asynchronous Name-passing Calculi without Matching.,Massimo Merro
Specifying Graph-like Diagrams with DIAGEN.,Mark Minas
Monadic Second Order Logic And Its Fragments.,Giacomo Lenzi
On Functional Dependencies in Advanced Data Models.,Sebastian Link
CVM - A Verified Framework for Microkernel Programmers.,Alexandra Tsyban
Handling Relations over Finite Domains in the Rule-Based System ELAN.,Christophe Ringeissen
Using CafeOBJ to Mechanise Refactoring Proofs and Application.,Antonio Carvalho Júnior
Modelling Parallel Quantum Computing Using Transactional Memory.,André Rauber Du Bois
Proof Checking Technology for Satisfiability Modulo Theories.,Aaron Stump
Circular Reference Attributed Grammars - Their Evaluation and Applications.,Eva Magnusson
Angelic Nondeterminism and Unifying Theories of Programming.,Ana Cavalcanti 0001
A Learning Algorithm for Deterministic Finite Automata using JFLAP.,Mikel Alecha
Improving the Security of Downloadable Java Applications With Static Analysis.,Cuihtlauac Alvarado
Combining OCL and Programming Languages for UML Model Processing.,Jari Peltonen
Translating Mobile Ambients into P Systems.,Bogdan Aman
Predicate and Relation Lifting for Parametric Algebraic Specifications.,Hendrik Tews
A Concrete Categorical Semantics of Lambda-S.,Alejandro Díaz-Caro
A Tutorial on Specifying Data Structures in Maude.,Alberto Verdejo
Tissue P Systems and (Mem)Brane Systems with Mate and Drip Operations Working on Strings.,Marion Oswald
Foreword.,Alain Girault
Distributed timed automata.,Padmanabhan Krishnan
Monads and Adjunctions for Global Exceptions.,Paul Blain Levy
Liveness Checking as Safety Checking for Infinite State Spaces.,Armin Biere
SGCCS: A Graphical Language for Real-time Coordination.,David Safránek
Runtime Verification of Concurrent Haskell Programs.,Frank Huch
Comparing models of higher type computation.,Giuseppe Rosolini
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,Leonardo B. Vana
SOL: A Verifiable Synchronous Language for Reactive Systems.,Ramesh Bharadwaj
Implementing X.,Jayshan Raghunandan
Debugging and Testing Optimizers through Comparison Checking.,Clara Jaramillo
A Graphical Fusion Calculus.,Ivan Lanese
Rule-based Programs Describing Internet Security Protocols.,Laurent Vigneron
Formal Analysis of Oscillatory Behaviors in Biological Regulatory Networks: An Alternative Approach.,Antonio Cerone
A Multi-Adjoint Approach to Similarity-Based Unification.,Jesús Medina 0001
Reactive Concurrent Programming Revisited.,Frédéric Boussinot
Causality Versus True-Concurrency.,Sibylle B. Fröschle
Computational Effects and Operations: An Overview.,A. John Power
Moving from Weakly Endochronous Systems to Delay-Insensitive Circuits.,Alexandre Yakovlev
PMG: Multi-core Metabolite Identification.,Frank S. de Boer
Coordinating Aspects and Objects.,Joni Helin
T-homotopy and Refinement of Observation (I): Introduction.,Philippe Gaucher
Checking and Correcting Behaviors of Java Programs at Runtime with Java-MOP.,Feng Chen 0006
Parametrized quotation and self-reference.,C. M. W. Little
A Hierarchical Framework for Component-based Real-time Systems.,Giacomo Guidi
An Improvement of Software Architecture Verification.,Jing Liu 0012
The Second Rewrite Engines Competition.,Eelco Visser
"General Refinement, Part Two: Flexible Refinement.",David Streader
Component Identification Through Program Slicing.,Luís Soares Barbosa
On the Expressiveness of Movement in Pure Mobile Ambients.,Gianluigi Zavattaro
Case Analysis of Higher-Order Data.,Brigitte Pientka
"From Global to Local State, Coalgebraically and Compositionally.",Jim Laird
Two-dimensional linear algebra.,John Power
Impossibility Results in the Equational Logic of Processes.,Luca Aceto
Visual Modeling of Distributed Object Systems by Graph Transformation.,Gabriele Taentzer
Typechecking Safe Process Synchronization.,Adriana B. Compagnoni
General Reversibility.,Jean Krivine
On the Complexity of the Extended Euclidean Algorithm (extended abstract).,George Havas
SAXO-RT: Interpreting Esterel Semantic on a Sequential Execution Structure.,Daniel Weil
Efficient Constraint/Generator Removal from Double Description of Polyhedra.,Enea Zaffanella
Design and Implementation of the L+C Modeling Language.,Przemyslaw Prusinkiewicz
Static Validation of a Voting Protocol.,Christoffer Rosenkilde Nielsen
A Graph-based Semantics For Object-oriented Programming Constructs.,Ana Paula Lüdtke Ferreira
Testing XML constraint satisfiability.,Dario Colazzo
Fluid Performability Analysis of Nested Automata Models.,Jane Hillston
Topological (Bi-)Simulation.,Michel A. Reniers
Systematic Model-Based Testing of Embedded Automotive Software.,Ines Fey
Modelling Node Connectivity in Dynamically Evolving Networks.,Lorenzo Bettini
Methods for Proving Termination of Rewriting-based Programming Languages by Transformation.,Francisco Durán 0001
A Categorical Theory of Patches.,Cinzia Di Giusto
A Petri Net Based Method for Refining Object Oriented System Specifications.,K. O. Chow
Global Coordination Policies for Services.,Daniele Strollo
Collaborative Development of Interactive Language Processing Tools.,Paul Klint
Into the Loops: Practical Issues in Translation Validation for Optimizing Compilers.,Benjamin Goldberg
Model-Based Debugging - State of the Art And Future Challenges.,Markus Stumptner
Comonadic Notions of Computation.,Tarmo Uustalu
Model-based Engineering of Embedded Systems Using the Hybrid Process Algebra Chi.,Dirk A. van Beek
"Coinduction for recursive data types: partial orders, metric spaces and Omega-categories.",James Worrell 0001
"A practical, globally optimal algorithm for geometric matching under uncertainty.",Thomas M. Breuel
Scalable System-level CTI Testing through Lightweight Coarse-grained Coordination.,Bernhard Steffen
Exact Acceleration of Real-Time Model Checking.,Kim Guldstrand Larsen
Game Semantics for Quantum Stores.,Prakash Panangaden
Language-Oriented Formal Analysis: a Case Study on Protocols and Distributed Systems.,Carlos Bazílio
Kick-Start Activation to Novice Programming - A Visualization-Based Approach.,Essi Lahtinen
De-linearizing Linearity: Projective Quantum Axiomatics From Strong Compact Closure.,Bob Coecke
Grammatical Specification in ASL: Germanic Dependent Clause Order.,Michael Newton
Modelling Biological Compartments in Bio-PEPA.,Federica Ciocchetta
Data Store Models are Different Than Data Interchange Models.,Michael R. Blaha
Towards component based systems: refining connectors.,Asuman Sünbül
Policy-based Coordination in PAGODA: A Case Study.,Carolyn L. Talcott
Aspects as Modular Language Extensions.,Eric Van Wyk
A Quantum Game Semantics for the Measurement Calculus.,Yannick Delbecque
Parameterized Transformation Units.,Sabine Kuske
Time Domain Verification of Oscillator Circuit Properties.,Bruce H. Krogh
Petri Nets With Persistence.,Federico Crazzolara
A Process Calculus of Atomic Commit.,Laura Bocchi
TEXmacs as Authoring Tool for Formal Developments.,Laurence Rideau
A Coalgebraic Approach to Kleene Algebra with Tests.,Hubie Chen
Foundations of Vagueness : a Category-theoretic Approach.,Mihir K. Chakraborty
Expansion: the Crucial Mechanism for Type Inference with Intersection Types: A Survey and Explanation.,J. B. Wells
OverView: A Framework for Generic Online Visualization of Distributed Systems.,Abe Stephens
Monitoring Bounded LTL Properties Using Interval Analysis.,Alexandre Goldsztejn
A Functional Perspective on SSA Optimisation Algorithms.,Gabriele Keller
Spatial pattern discovering by learning the isomorphic subgraph from multiple attributed relation graphs.,Pengyu Hong
Towards a Double Pushout Transformation of Algebras.,Francesc Rosselló
Symbolic Model Checking for Channel-based Component Connectors.,Christel Baier
A Compiler for Mapping a Rule-Based Event-Triggered Program to a Hardware Engine.,Andreas C. Döring
Enabling Synchronous and Asynchronous Communications in CSP for SOC.,Abeer S. Al-Humaimeedy
A Metamodel for Dynamic Information Generated from Object-Oriented Systems.,Abdelwahab Hamou-Lhadj
Multi-Clock Latency-Insensitive Architecture and Wrapper Synthesis.,Ankur Agiwal
k-Valued Non-Associative Lambek Grammars are Learnable from Function-Argument Structures.,Annie Foret
Xor-Implications and E-Implications: Classes of Fuzzy Implications Based on Fuzzy Xor.,Benjamín R. C. Bedregal
MBase: Representing mathematical knowledge in a relational data base.,Andreas Franke 0001
A Complete Model of the Deutsche Bahn - Prosim and Beyond.,Frank Wagner 0001
Formal Analysis of Streaming Downloading Protocol for System Upgrading.,Dang Van Hung
Security Policies as Membranes in Systems for Global Computing.,Daniele Gorla
Impact of Evolution of Concerns in the Model-Driven Architecture Design Approach.,Bedir Tekinerdogan
Model checking Erlang programs - abstracting the context-free structure.,Frank Huch
A Framework for Engineering Interactions in Java-based Component Systems.,Alessandro Ricci
Towards a Readable Formalisation of Category Theory.,Greg O'Keefe
Simulation Reduction as Constraint.,Alberto Policriti
Bounds and Fixed-Parameter Algorithms for Weighted Improper Coloring.,Bjarki Agust Gudmundsson
An Abstract Equivalence Notion for Object Models.,Paulo Borba
Heuristics for railway infrastructure saturation.,Joaquin Rodriguez
Interfaces: A Game-Theoretic Framework for Reasoning About Component-Based Systems.,Luca de Alfaro
Quantifier-free logic for multialgebraic theories.,Michal Walicki
Probabilistic Guarded Commands Mechanized in ,Annabelle McIver
A Mathematical Model of Dialog.,Mark W. Johnson
"(Omega, Xi)-Logic: On the Algebraic Extension of Coalgebraic Specifications.",Alexander Kurz 0001
On Regular Paths with Counting and Data Tests.,Edgard Benítez-Guerrero
A Calculus for Team Automata.,Dirk Janssens
On the Expressiveness of Timed Coordination via Shared Dataspaces.,Isabelle Linden
Visual Patterns Associated to Abstract Trees.,Carsten Schmidt 0002
"Induction, Coinduction, and Adjoints.",J. Robin B. Cockett
Formal Synthesis of Real-Time Embedded Software by Time-Memory Scheduling of Colored Time Petri Nets.,Chuen-Hau Gao
Strategies for Solving Constraints in Type and Effect Systems.,Bastiaan Heeren
Interactions Between PVS and Maple in Symbolic Analysis of Control Systems.,Ruth Hardy
The Algebra of Partial Equivalence Relations.,Fabio Zanasi
Transformations of Petri Nets.,Hartmut Ehrig
Correct Microkernel Primitives.,Alexandra Tsyban
CTL-Property Transformations Along an Incremental Design Process.,Cécile Braunstein
Families of Induced Trees and Their Intersection Graphs.,Pablo De Caria
Extending Timed Automata for Compositional Modeling Healthy Timed Systems.,Alfredo Olivero
Strongly Semicontinuous Lattices.,Luoshan Xu
Mothers of Pipelines.,John O'Leary
An Integer Programming Approach for the 2-class Single-group Classification Problem.,Ivo Koch
A Verifier for Region-Annotated Java Bytecodes.,Radu Rugina
Specification and Runtime Verification of Java Card Programs.,Anamaria Martins Moreira
Model Transformation From VisualOCL to OCL Using Graph Transformation.,Jessica Winkelmann
Computing the Clique-width of Cactus Graphs.,J. Leonardo González-Ruiz
Bisimulation and Simulation Relations for Markov Chains.,Christel Baier
Recursive Coalgebras from Comonads.,Tarmo Uustalu
Practical Datatype Specializations with Phantom Types and Recursion Schemes.,Matthew Fluet
Theoretical Aspects of Communication-Centred Programming.,Kohei Honda 0001
Modal Predicates and Co-equations.,Alexander Kurz 0001
Design of Architectures for Proximity-aware Services: Experiments in Context-based Authentication with Subjective Logic.,Gabriele Lenzini
Relational Concurrent Refinement with Internal Operations.,Eerke A. Boiten
Process Algebra as Modelling.,Chris M. N. Tofts
A Quantified Logic of Evidence.,Melvin Fitting
Coordination by Timers for Channel-Based Anonymous Communications.,Cristian Prisacariu
An Adaptation-based Approach to Incrementally Build Component Systems.,Gwen Salaün
A Library for Self-Adjusting Computation.,Guy E. Blelloch
j-POST: a Java Toolchain for Property-Oriented Software Testing.,Jean-Claude Fernandez
"Extensions of Standard Weak Bisimulation Machinery: Finite-state General Processes, Refinable Actions, Maximal-progress and Time.",Mario Bravetti
Non Truth-Functional Many-Valuedness.,Jean-Yves Béziau
A Formal Approach to Service Specification and Matching based on Graph Transformation.,Alexey Cherchago
Solving Equations by Graph Transformation.,Annegret Habel
Validating Component Integration with C-TILCO: A Case Study.,Davide Rogai
A Predicate/State Transformer Semantics for Bayesian Learning.,Bart Jacobs 0001
Formal Verification of the IEEE 802.1D Spanning Tree Protocol Using Extended ,Hootan Nakhost
Enhancements of a clock-controlled running key generator.,Milan Vojvoda
Closure of Tree Automata Languages under Innermost Rewriting.,Adrià Gascón
EufDpll - A Tool to Check Satisfiability of Equality Logic Formulas.,Olga Tveretina
Specifying and verifying reactive systems in a multi-language environment.,Agathe Merceron
Multi-paradigm Models as Source for Automated Test Construction.,Victor V. Kuliamin
Model Checking Temporal Aspects of Inconsistent Concurrent Systems Based on Paraconsistent Logic.,Donghuo Chen
Towards a Rigorous Approach to UML-Based Development.,Jifeng He 0001
A Formal Approach for the Evaluation of Network Security Mechanisms Based on RBAC Policies.,Abdelmalek Benzekri
An Illustrative Use Case of the DIVERSITY Platform based on UML Interaction Scenarios.,Arnault Lapitre
Applying Light-Weight Theorem Proving to Debugging and Verifying Pointer Programs.,David Déharbe
The Approximate Correctness of Systems Based on δ-bisimulation.,Haiyu Pan
Deriving Event-Based Document Transformers from Tree-Based Specifications.,Keisuke Nakano 0001
Encoding Catalytic P Systems in pi@.,Cristian Versari
