paper,co_author
Loop Corrected Belief Propagation.,Bert Kappen
Loop Corrected Belief Propagation.,Joris M. Mooij
Loop Corrected Belief Propagation.,Tommaso Rizzo
Analogical Reasoning with Relational Bayesian Sets.,Ricardo Bezerra de Andrade e Silva
Analogical Reasoning with Relational Bayesian Sets.,Zoubin Ghahramani
Recall Systems: Effcient Learning and Use of Category Indices.,Mohammad R. Salavatipour
Recall Systems: Effcient Learning and Use of Category Indices.,Omid Madani
Recall Systems: Effcient Learning and Use of Category Indices.,Wiley Greiner
A Hierarchical Nonparametric Bayesian Approach to Statistical Language Model Domain Adaptation.,Yee Whye Teh
Estimating Tree-Structured Covariance Matrices via Mixed-Integer Programming.,Héctor Corrada Bravo
Estimating Tree-Structured Covariance Matrices via Mixed-Integer Programming.,Kevin H. Eng
Estimating Tree-Structured Covariance Matrices via Mixed-Integer Programming.,Stephen J. Wright 0001
Estimating Tree-Structured Covariance Matrices via Mixed-Integer Programming.,Sündüz Keles
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Christian Buck
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Christian Oberdörfer
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Jens Forster
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Johannes Laudenberg
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Michael Kramp
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Niklas Hoppe
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Pascal Steingrube
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Patrick Doetsch
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Pavlo Golik
A Bayesian Divergence Prior for Classiffier Adaptation.,Xiao Li 0006
On Partitioning Rules for Bipartite Ranking.,Stéphan Clémençon
Metric Learning for Kernel Regression.,Kilian Q. Weinberger
Tractable Search for Learning Exponential Models of Rankings.,Marina Meila
Hash Kernels.,Alexander L. Strehl
Hash Kernels.,Gideon Dror
Hash Kernels.,James Petterson
Hash Kernels.,John Langford 0001
Hash Kernels.,Qinfeng Shi
Hash Kernels.,Vishy Vishwanathan
Kernel Multi-task Learning using Task-specific Features.,Edwin V. Bonilla
Kernel Multi-task Learning using Task-specific Features.,Felix V. Agakov
Sleeping Experts and Bandits with Stochastic Action Availability and Adversarial Rewards.,H. Brendan McMahan
Sleeping Experts and Bandits with Stochastic Action Availability and Adversarial Rewards.,Varun Kanade
Inverse Optimal Heuristic Control for Imitation Learning.,Brian D. Ziebart
Inverse Optimal Heuristic Control for Imitation Learning.,J. Andrew Bagnell
Inverse Optimal Heuristic Control for Imitation Learning.,Kevin M. Peterson
Inverse Optimal Heuristic Control for Imitation Learning.,Martial Hebert
Inverse Optimal Heuristic Control for Imitation Learning.,Nathan D. Ratliff
Inverse Optimal Heuristic Control for Imitation Learning.,Siddhartha S. Srinivasa
Covariance Operator Based Dimensionality Reduction with Extension to Semi-Supervised Settings.,Vladimir Pavlovic 0001
Markov Topic Models.,Chong Wang 0002
Markov Topic Models.,Christopher Meek
Markov Topic Models.,David M. Blei
Nonlinear Dimensionality Reduction as Information Retrieval.,Samuel Kaski
Multi-Manifold Semi-Supervised Learning.,Andrew B. Goldberg
Multi-Manifold Semi-Supervised Learning.,Robert D. Nowak
Multi-Manifold Semi-Supervised Learning.,Xiaojin Zhu 0001
Multi-Manifold Semi-Supervised Learning.,Zhiting Xu 0001
Learning Nearest-Neighbor Quantizers from Labeled Data by Information Loss Minimization.,Svetlana Lazebnik
Quality assessment of nonlinear dimensionality reduction based on K-ary neighborhoods.,Michel Verleysen
Handling Sparsity via the Horseshoe.,James G. Scott
Handling Sparsity via the Horseshoe.,Nicholas G. Polson
Tractable Bayesian Inference of Time-Series Dependence Structure.,Michael Siracusa
Deep Boltzmann Machines.,Ruslan Salakhutdinov
Tree-Based Inference for Dirichlet Process Mixtures.,Yang Xu 0023
Tree-Based Inference for Dirichlet Process Mixtures.,Zoubin Ghahramani
Margin based Transductive Graph Cuts using Linear Programming.,Johan A. K. Suykens
Margin based Transductive Graph Cuts using Linear Programming.,John Shawe-Taylor
Margin based Transductive Graph Cuts using Linear Programming.,Kristiaan Pelckmans
An Information Geometry Approach for Distance Metric Learning.,Shijun Wang
A kernel method for unsupervised structured network inference.,Karsten M. Borgwardt
A kernel method for unsupervised structured network inference.,Oliver Stegle
A kernel method for unsupervised structured network inference.,Zoubin Ghahramani
Varieties and Covarieties of Languages (Extended Abstract).,Enric Cosme-Llópez
Varieties and Covarieties of Languages (Extended Abstract).,Jan Rutten
Structuring Optimizing Transformations and Proving Them Sound.,Amitabha Sanyal
Structuring Optimizing Transformations and Proving Them Sound.,Uday P. Khedker
Some Applications of the Formalization of the Pumping Lemma for Context-Free Languages.,Marcus V. M. Ramos
Some Applications of the Formalization of the Pumping Lemma for Context-Free Languages.,Nelma Moreira
Some Applications of the Formalization of the Pumping Lemma for Context-Free Languages.,Ruy J. G. B. de Queiroz
Case Study: Simulation of a LAN.,Serge Demeyer
Case Study: Simulation of a LAN.,Tom Mens
A Simplified Account of the Metatheory of Linear LF.,Karl Crary
Extensionality of Spatial Observations in Distributed Systems.,Luís Caires
Adaptive Latency Insensitive Protocols and Elastic Circuits with Early Evaluation: A Comparative Analysis.,Mario R. Casu
Some Characterization Results for Permutation Algebras.,Marino Miculan
Some Characterization Results for Permutation Algebras.,Ugo Montanari
Quantifier Elimination over Algebraically Closed Fields in a Proof Assistant using a Computer Algebra System.,Micaela Mayero
Formal Modeling Of Middleware-based Distributed Systems.,Rance Cleaveland
Web Services as a New Approach to Distributing and Coordinating Semantics-Based Veri cation Toolkits.,Jesper Bengtson
Web Services as a New Approach to Distributing and Coordinating Semantics-Based Veri cation Toolkits.,Michael Baldamus
Web Services as a New Approach to Distributing and Coordinating Semantics-Based Veri cation Toolkits.,Roberto Raggi
Only the Best Can Make It: Optimal Component Selection.,Sabine Glesner
The Descriptive Complexity of Decision Problems through Logics with Relational Fixed-Point and Capturing Results.,Francicleber Martins Ferreira
The Descriptive Complexity of Decision Problems through Logics with Relational Fixed-Point and Capturing Results.,Márcia Farias
Modular Checkpointing for Atomicity.,Philip Schatz
Modular Checkpointing for Atomicity.,Suresh Jagannathan
Performance Models For Master/Slave Parallel Programs.,Leonardo Brenner
Performance Models For Master/Slave Parallel Programs.,Lucas Baldo
Performance Models For Master/Slave Parallel Programs.,Luiz Gustavo Fernandes
Performance Models For Master/Slave Parallel Programs.,Paulo Fernandes 0001
Engineering of An Assertion-based PSL,Jun Chen
Engineering of An Assertion-based PSL,Naiyong Jin
Engineering of An Assertion-based PSL,Taoyong Ni
Silver: an Extensible Attribute Grammar System.,Eric Van Wyk
Silver: an Extensible Attribute Grammar System.,Jimin Gao
Silver: an Extensible Attribute Grammar System.,Lijesh Krishnan
The Category Theoretic Understanding of Universal Algebra: Lawvere Theories and Monads.,Martin Hyland
Visualizations in Preparing for Programming Exercise Sessions.,Tuukka Ahoniemi
On the Serializability of Transactions in JavaSpaces.,Nadia Busi
A Graph Abstract Machine Describing Event Structure Composition.,Mauro Piccolo
A Software Architecture-Based Approach for Formalising Middleware Behaviour.,Paulo Roberto Freire Cunha
On linguistic aspects of integration of computer mathematical knowledge.,Marina Morokovets
A Logic for Application Level QoS.,Dan Hirsch
A Logic for Application Level QoS.,Emilio Tuosto
A Coding Rule Conformance Checker Integrated into GCC.,Juan José Moreno-Navarro
A Coding Rule Conformance Checker Integrated into GCC.,Julio Mariño
A Coding Rule Conformance Checker Integrated into GCC.,Lars-Åke Fredlund
A Coding Rule Conformance Checker Integrated into GCC.,Manuel Carro
A Coding Rule Conformance Checker Integrated into GCC.,Álvaro Polo
A Coding Rule Conformance Checker Integrated into GCC.,Ángel Herranz-Nieva
Integrating Textual and Graphical Modelling Languages.,Mark van den Brand
Pullback rewriting and applications.,Michel Bauderon
Pullback rewriting and applications.,Renate Klempien-Hinrichs
Provably Correct Code Generation: A Case Study.,Qian Wang 0024
A Metrized Duality Theorem for Markov Processes.,Prakash Panangaden
A Metrized Duality Theorem for Markov Processes.,Radu Mardare
A GRASP for the Convex Recoloring Problem in Graphs.,Cid Carvalho de Souza
A GRASP for the Convex Recoloring Problem in Graphs.,Zanoni Dias
Compilation of Interaction Nets.,Ian Mackie
Compilation of Interaction Nets.,Shinya Sato
"Automatic, Model-Based Software Performance Improvement for Component-based Software Designs.",Heiko Koziolek
Using Matrix Graph Grammars for the Analysis of Behavioural Specifications: Sequential and Parallel Independence.,Pedro Pablo Pérez Velasco
Remote Attestation on Legacy Operating Systems With Trusted Platform Modules.,Brecht Wyseur
Remote Attestation on Legacy Operating Systems With Trusted Platform Modules.,Dries Schellekens
Comparing Under and Over-Approximations of LTL Properties for Model Checking.,María-del-Mar Gallardo
Comparing Under and Over-Approximations of LTL Properties for Model Checking.,Pedro Merino 0001
Synchronized Regular Expressions.,Enrico Tronci
Synchronized Regular Expressions.,Giuseppe Della Penna
Synchronized Regular Expressions.,Marisa Venturini Zilli
Some algebraic laws for spans.,Roberto Bruni
An elementary algorithm for digital arc segmentation.,Jean-Pierre Reveillès
An elementary algorithm for digital arc segmentation.,Laure Tougne
An elementary algorithm for digital arc segmentation.,Yan Gérard
"Imprecise Exceptions, Co-Inductively.",Simon L. Peyton Jones
"Imprecise Exceptions, Co-Inductively.",Søren B. Lassen
A Bidirectional Refinement Type System for LF.,William Lovas
Multiple Concern Adaptation for Run-time Composition in Context-Aware Systems.,Gwen Salaün
Multiple Concern Adaptation for Run-time Composition in Context-Aware Systems.,Javier Cámara
Model-based Runtime Verification Framework for Self-optimizing Systems.,Martin Kardos
Model-based Runtime Verification Framework for Self-optimizing Systems.,Simon Oberthür
Model-based Runtime Verification Framework for Self-optimizing Systems.,Yuhong Zhao 0001
Refinement Patterns for UML.,Kelly Androutsopoulos
Refinement Patterns for UML.,Kevin Lano
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Andries Stam
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Bernhard K. Aichernig
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Christel Baier
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Einar Broch Johnsen
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Frank S. de Boer
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Immo Grabe
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Joachim Klein 0001
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Liang Xuedong
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Marcel Kyas
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Martin Steffen
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Mohammad Mahdi Jaghoori
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Rudolf Schlatte
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Sascha Klüppelholz
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Simon Tschirner
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Tobias Blechmann 0001
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Wang Yi 0001
Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.,Wolfgang Leister
Algebraic Semantics for Coalgebraic Logics.,Clemens Kupke
Algebraic Semantics for Coalgebraic Logics.,Dirk Pattinson
Pseudo-commutative Monads.,Martin Hyland
Mechanizing Focused Linear Logic in Coq.,Carlos Olarte
Mechanizing Focused Linear Logic in Coq.,Giselle Reis
Mechanizing Focused Linear Logic in Coq.,Vivek Nigam
Variants of Online Chain Partition Problem of Posets.,Piotr Micek
Interaction in Normative Multi-Agent Systems.,Joris Hulstijn
Interaction in Normative Multi-Agent Systems.,Leendert W. N. van der Torre
"Java Bytecode Transformations for Efficient, Portable CPU Accounting.",Walter Binder
Combining Local and Global Model Checking.,Edmund M. Clarke
Combining Local and Global Model Checking.,Yunshan Zhu
Using Graphviz as a Low-cost Option to Facilitate the Understanding of Unix Process System Calls.,Marián D. Fondón
Using Graphviz as a Low-cost Option to Facilitate the Understanding of Unix Process System Calls.,Miguel Riesco
A True-Concurrent Interpretation of Behavioural Scenarios.,Paul J. Krause
A True-Concurrent Interpretation of Behavioural Scenarios.,Sotiris Moschoyiannis
On the Use of Functional Test Generation in Diagnostic Test Generation for Synchronous Sequential Circuits.,Sudhakar M. Reddy
Concepts and Techniques simplifying the Assembly Process for Component Instances.,Ursula Scheben
A Z Approach in Validating ORA-SS Data Models.,Jing Sun 0002
A Z Approach in Validating ORA-SS Data Models.,Scott Uk-Jin Lee
A Z Approach in Validating ORA-SS Data Models.,Yuan-Fang Li
Experiments in Theorem Proving for Topological Hybrid Logic.,Dmitry Sustretov
Experiments in Theorem Proving for Topological Hybrid Logic.,Guillaume Hoffmann 0001
Experiments in Theorem Proving for Topological Hybrid Logic.,Patrick Blackburn
Constraint Functional Logic Programming Revisited.,Mario Rodríguez-Artalejo
Constraint Functional Logic Programming Revisited.,Rafael del Vado Vírseda
On the Observable Behaviour of Composite Components.,Rolf Hennicker
On the Observable Behaviour of Composite Components.,Stephan Janisch
Formalization and Verification of Behavioral Correctness of Dynamic Software Updates.,Kokichi Futatsugi
Formalization and Verification of Behavioral Correctness of Dynamic Software Updates.,Min Zhang 0002
Modeling and Model Checking Web Services.,Bernd-Holger Schlingloff
Modeling and Model Checking Web Services.,Karsten Schmidt 0004
jHoles: A Tool for Understanding Biological Complex Networks via Clique Weight Rank Persistent Homology.,Francesco Vaccarino
jHoles: A Tool for Understanding Biological Complex Networks via Clique Weight Rank Persistent Homology.,Giovanni Petri
jHoles: A Tool for Understanding Biological Complex Networks via Clique Weight Rank Persistent Homology.,Jacopo Binchi
jHoles: A Tool for Understanding Biological Complex Networks via Clique Weight Rank Persistent Homology.,Matteo Rucco
A List-machine Benchmark for Mechanized Metatheory: (Extended Abstract).,Xavier Leroy
What You Lose is What You Leak: Information Leakage in Declassification Policies.,Isabella Mastroeni
What You Lose is What You Leak: Information Leakage in Declassification Policies.,Roberto Giacobazzi
Modular Structural Operational Semantics with Strategies.,Christiano Braga
An Evolutionary Trust and Distrust Model.,Javier López 0001
An Evolutionary Trust and Distrust Model.,M. Carmen Fernández Gago
Shared Hash Tables in Parallel Model Checking.,Petr Rockai
Privacy in Real-Time Systems.,Ruggero Lanotte
Privacy in Real-Time Systems.,Simone Tini
Survival of the Fattest: Evolutionary Trade-offs in Cellular Resource Storage.,Andreea Beica
Survival of the Fattest: Evolutionary Trade-offs in Cellular Resource Storage.,Guillaume Terradot
Survival of the Fattest: Evolutionary Trade-offs in Cellular Resource Storage.,Vincent Danos
Real-Time Maude: A Tool for Simulating and Analyzing Real-Time and Hybrid Systems.,Peter Csaba Ölveczky
Performance Analysis of Collective Adaptive Behaviour in Time and Space.,Jane Hillston
Performance Analysis of Collective Adaptive Behaviour in Time and Space.,Marco Gribaudo
Formal Semantics of OCL Messages.,Wolfgang Müller 0003
Model Driven Development of Security Aspects.,Rudolf Schreiner
Model Driven Development of Security Aspects.,Tom Ritter
Model Driven Development of Security Aspects.,Ulrich Lang 0001
Innermost Termination of Rewrite Systems by Labeling.,René Thiemann
Continuous-Time Probabilistic KLAIM.,Chris Hankin
Continuous-Time Probabilistic KLAIM.,Herbert Wiklicky
Performance of low density parity check codes as a function of actual and assumed noise levels.,David J. C. MacKay
Normalization by Evaluation and Algebraic Effects.,Sam Staton
Discretization of Timed Automata in Timed mu.,Michel A. Reniers
Discretization of Timed Automata in Timed mu.,Yaroslav S. Usenko
Quantitative Assessment of a Peer-to-peer Cooperative Infrastructure Using Stochastic Well-Formed Nets.,Lorenzo Capra
Quantitative Assessment of a Peer-to-peer Cooperative Infrastructure Using Stochastic Well-Formed Nets.,Mattia Monga
MASTERS: A General Sequence-based MultiAgent System for Protein TERtiary Structure Prediction.,Thiago Lipinski-Paes
Equitable Total Chromatic Number of ,Diana Sasaki
Equitable Total Chromatic Number of ,Simone Dantas
Normalization by Evaluation for Martin-Löf Type Theory with One Universe.,Klaus Aehlig
Normalization by Evaluation for Martin-Löf Type Theory with One Universe.,Peter Dybjer
Local Module Checking for CTL Specifications.,Roopak Sinha
Local Module Checking for CTL Specifications.,Samik Basu 0001
Modeling Component Connectors in Reo by Constraint Automata: (Extended Abstract).,Farhad Arbab
Modeling Component Connectors in Reo by Constraint Automata: (Extended Abstract).,Jan J. M. M. Rutten
Modeling Component Connectors in Reo by Constraint Automata: (Extended Abstract).,Marjan Sirjani
The Theory of Contexts for First Order and Higher Order Abstract Syntax.,Ivan Scagnetto
The Theory of Contexts for First Order and Higher Order Abstract Syntax.,Marino Miculan
Correlated Information: A Logic for Multi-Partite Quantum Systems.,Sonja Smets
Higher-Order Types and Meta-Programming for Global Computing.,Gian-Luigi Ferrari 0002
Higher-Order Types and Meta-Programming for Global Computing.,Rosario Pugliese
A Class of Reversible Primitive Recursive Functions.,Luca Roversi
A Class of Reversible Primitive Recursive Functions.,Mauro Piccolo
Inferring Static Non-monotone Size-aware Types Through Testing.,Olha Shkaravska
Inferring Static Non-monotone Size-aware Types Through Testing.,Ron van Kesteren
"Monitoring, Checking, and Steering of Real-Time Systems.",Jangwoo Shin
"Monitoring, Checking, and Steering of Real-Time Systems.",Moonjoo Kim 0001
"Monitoring, Checking, and Steering of Real-Time Systems.",Oleg Sokolsky
"Monitoring, Checking, and Steering of Real-Time Systems.",Usa Sammapun
Modeling Pointer Redirection as Cyclic Term-graph Rewriting.,Frédéric Prost
Modeling Pointer Redirection as Cyclic Term-graph Rewriting.,Rachid Echahed
Stochastic Object-Based Graph Grammars.,Leila Ribeiro 0001
Stochastic Object-Based Graph Grammars.,Odorico Machado Mendizabal
Design for Testability for Highly Reconfigurable Component-Based Systems.,Giovanni Denaro
Design for Testability for Highly Reconfigurable Component-Based Systems.,Mauro Pezzè
Design for Testability for Highly Reconfigurable Component-Based Systems.,Paolo Prinetto
PEF: Python Error Finder.,Damián Barsotti
PEF: Python Error Finder.,Tomás Hayes
A WOWA-based Aggregation Technique on Trust Values Connected to Metadata.,Marco Viviani 0001
A WOWA-based Aggregation Technique on Trust Values Connected to Metadata.,Pierangela Samarati
A WOWA-based Aggregation Technique on Trust Values Connected to Metadata.,Sabrina De Capitani di Vimercati
Evaluating Semi-Exhaustive Verification Techniques for Bug Hunting.,Limor Fix
Evaluating Semi-Exhaustive Verification Techniques for Bug Hunting.,Moshe Y. Vardi
Evaluating Semi-Exhaustive Verification Techniques for Bug Hunting.,Ranan Fraer
Characterizations of Supercontinuous Posets via Scott S-sets and the S-essential Topology.,Xuxin Mao
Investigating Reasoning with Constraint Diagrams.,Jean Flower
Constructive Membership Predicates as Index Types.,Josef Pohl
A Petri Net Model of Handshake Protocols.,Luca Fossati
When Model-based Testing Fails.,Chris George
Reasoning About Interaction Protocols for Web Service Composition.,Cristina Baroglio
Reasoning About Interaction Protocols for Web Service Composition.,Matteo Baldoni
Reasoning About Interaction Protocols for Web Service Composition.,Viviana Patti
An Action Semantics Integrated Development Environment.,Hermano Perrelli de Moura
An Action Semantics Integrated Development Environment.,Leonardo Ribeiro 0002
An Action Semantics Integrated Development Environment.,Luis Carlos de Sousa Menezes
An Action Semantics Integrated Development Environment.,Wanderley Cansanção
T,Hui Kou
Derivation of a Scalable Lock-Free Stack Algorithm.,Robert Colvin
A Generalization of ACP Using Belnap's Logic.,Mark van der Zwaag
Towards Behavioral Maude: Behavioral Membership Equational Logic.,José Meseguer 0001
Iteration and Labelled Iteration.,Paul Blain Levy
Correspondence Assertions for Process Synchronization in Concurrent Communications.,Eduardo Bonelli
Correspondence Assertions for Process Synchronization in Concurrent Communications.,Elsa L. Gunter
Exploiting Bayesian Networks for the Analysis of Combined Attack Trees.,Mauro Iacono
Exploiting Bayesian Networks for the Analysis of Combined Attack Trees.,Stefano Marrone 0001
Class and Capsule Refinement in UML for Real Time.,Augusto Sampaio
Class and Capsule Refinement in UML for Real Time.,Rodrigo Ramos
History-Preserving Bisimilarity for Higher-Dimensional Automata via Open Maps.,Uli Fahrenberg
Implementing Nominal Unification.,Maribel Fernández
Formal Techniques for Analysing Scenarios using Message Sequence Charts.,Purandar Bhaduri
Formal Techniques for Analysing Scenarios using Message Sequence Charts.,R. Venkatesh
Soft Constraints for Security.,Simon N. Foley
Soft Constraints for Security.,Stefano Bistarelli
An Equivalence Based Method for Compositional Verification of the Linear Temporal Logic of Constraint Automata.,Mohammad Izadi
Macros for Interaction Nets: A Conservative Extension of Interaction Nets.,Ian Mackie
Prototyping SOS Meta-theory in Maude.,Mohammad Reza Mousavi 0001
From Cut-free Calculi to Automated Deduction: The Case of Bounded Contraction.,Björn Lellmann
From Cut-free Calculi to Automated Deduction: The Case of Bounded Contraction.,Carlos Olarte
From Cut-free Calculi to Automated Deduction: The Case of Bounded Contraction.,Elaine Pimentel
Bousi~Prolog: a Prolog Extension Language for Flexible Query Answering.,Juan Gallardo-Casero
Bousi~Prolog: a Prolog Extension Language for Flexible Query Answering.,Pascual Julián Iranzo
A Logic with Temporal Glue for Mixed Specifications.,Marc Aiguier
A Logic with Temporal Glue for Mixed Specifications.,Pascal Poizat
An Isomorph-Free SEM-Like Enumeration of Models.,Thierry Boy de la Tour
Classes of Timed Automata and the Undecidability of Universality.,Guilherme A. Pinto
Combining Decision Procedures by (Model-)Equality Propagation.,Diego Caminha Barbosa De Oliveira
Combining Decision Procedures by (Model-)Equality Propagation.,Pascal Fontaine
Pathway Logic: Executable Models of Biological Networks.,Keith Laderoute
Pathway Logic: Executable Models of Biological Networks.,Merrill Knapp
Pathway Logic: Executable Models of Biological Networks.,Patrick Lincoln
Pathway Logic: Executable Models of Biological Networks.,Steven Eker
OCL 2.0 - Implementing the Standard for Multiple Metamodels.,Octavian Patrascoiu
Type Soundness for Path Polymorphism.,Eduardo Bonelli
Type Soundness for Path Polymorphism.,Mauricio Ayala-Rincón
Cooperation-based Invariants for OO Languages.,Erik J. Luit
Cooperation-based Invariants for OO Languages.,Ronald Middelkoop
Cooperation-based Invariants for OO Languages.,Ruurd Kuiper 0001
Towards a Quantitative Analysis of Security Protocols.,Paulo Mateus
Towards a Quantitative Analysis of Security Protocols.,Pedro Adão
Towards a Quantitative Analysis of Security Protocols.,Tiago Reis
On Logical and Concurrent Equivalences.,Sibylle B. Fröschle
Continuous Testing in Eclipse.,Michael D. Ernst
Axiomatizing a Fragment of PAFAS.,Walter Vogler
Theoretical Foundations of Value Withdrawal Explanations for Domain Reduction.,Gérard Ferrand
Theoretical Foundations of Value Withdrawal Explanations for Domain Reduction.,Willy Lesaint
Experimental Evaluation of Numerical Domains for Inferring Ranges.,Marco Rubino
Web Accessibility Evaluation Tools: A Survey and Some Improvements.,Jesús Arias-Fisteus
Web Accessibility Evaluation Tools: A Survey and Some Improvements.,Luis Álvarez Álvarez
Web Accessibility Evaluation Tools: A Survey and Some Improvements.,Vicente Luque Centeno
Performance Evaluation of a Real-time Simulation Architecture using Probabilistic Model Checking.,Nil Geisweiller
Manipulating Tree Tuple Languages by Transforming Logic Programs.,Sébastien Limet
Towards Merging PlatOmega and PGIP.,David Aspinall 0001
Towards Merging PlatOmega and PGIP.,Marc Wagner 0001
Towards Merging PlatOmega and PGIP.,Serge Autexier
Narrowing and Rewriting Logic: from Foundations to Applications.,Prasanna Thati
Narrowing and Rewriting Logic: from Foundations to Applications.,Santiago Escobar 0001
Alloy as a Refactoring Checker?,Heike Wehrheim
Digital straightness.,Reinhard Klette
An Algebraic Baseline for Automatic Transformations in MDA.,Isidro Ramos
An Algebraic Baseline for Automatic Transformations in MDA.,José A. Carsí
Near Distributive Laws.,Philip S. Mulry
Formal Checklists for Remote Agent Dependability.,Grit Denker
Parameterized Theories and Views in Full Maude 2.0.,José Meseguer 0001
A Proposal for Disequality Constraints in Curry.,José María Rey Poza
A Proposal for Disequality Constraints in Curry.,Julio Mariño-Carballo
Abstract Regular Tree Model Checking.,Ahmed Bouajjani
Abstract Regular Tree Model Checking.,Peter Habermehl
Abstract Regular Tree Model Checking.,Tomás Vojnar
Bisimulation for Feller-Dynkin Processes.,Linan Chen
Bisimulation for Feller-Dynkin Processes.,Prakash Panangaden
Leveraging UML Profiles to Generate Plugins From Visual Model Transformations.,Hans Schippers
Leveraging UML Profiles to Generate Plugins From Visual Model Transformations.,Pieter Van Gorp
Relational Analysis and Precision via Probabilistic Abstract Interpretation.,Herbert Wiklicky
Relational Analysis and Precision via Probabilistic Abstract Interpretation.,Pascal Sotin
Steps in Modular Specifications for Concurrent Modules (Invited Tutorial Paper).,Philippa Gardner
Steps in Modular Specifications for Concurrent Modules (Invited Tutorial Paper).,Thomas Dinsdale-Young
Exact and Portable Profiling for the JVM Using Bytecode Instruction Counting.,Walter Binder
Characterizing Non-Zenoness on Real-Time Processes.,Jitka Stríbrná
IoT sensors in sea water environment: Ahoy! Experiences from a short summer trial.,Dimitrios Amaxilatis
IoT sensors in sea water environment: Ahoy! Experiences from a short summer trial.,Ioannis Chatzigiannakis
IoT sensors in sea water environment: Ahoy! Experiences from a short summer trial.,Irene Mavrommati
A Case Study in Parallel Verification of Component-Based Systems.,Ivana Cerná
A Case Study in Parallel Verification of Component-Based Systems.,Jiri Sochor
A Case Study in Parallel Verification of Component-Based Systems.,Nikola Benes
A Case Study in Parallel Verification of Component-Based Systems.,Pavlína Vareková
ZEUS: A Distributed Timed Model-Checker Based on KRONOS.,Fernando Schapachnik
ZEUS: A Distributed Timed Model-Checker Based on KRONOS.,Víctor A. Braberman
The Shuffle Quasimonad and Modules with Differentiation and Integration.,J. S. Lemay
The Shuffle Quasimonad and Modules with Differentiation and Integration.,Marc Bagnol
The Shuffle Quasimonad and Modules with Differentiation and Integration.,Richard Blute
Termination Criteria for DPO Transformations with Injective Matches.,Tihamer Levendovszky
Termination Criteria for DPO Transformations with Injective Matches.,Ulrike Prange
Modeling A Certified Email Protocol using I/O Automata.,Carlo Blundo
Modeling A Certified Email Protocol using I/O Automata.,Roberto De Prisco
Modeling A Certified Email Protocol using I/O Automata.,Stelvio Cimato
Relating Natural Deduction and Sequent Calculus for Intuitionistic Non-Commutative Linear Logic.,J. Polokow
Verification of Quantum Protocols with a Probabilistic Model-Checker.,Amir M. Tavala
Verification of Quantum Protocols with a Probabilistic Model-Checker.,Soroosh Nazem
Validating Behavioral Component Interfaces in Rewriting Logic.,Einar Broch Johnsen
Validating Behavioral Component Interfaces in Rewriting Logic.,Olaf Owe
Bifibrational Functorial Semantics of Parametric Polymorphism.,Fredrik Nordvall Forsberg
Bifibrational Functorial Semantics of Parametric Polymorphism.,Neil Ghani
Bifibrational Functorial Semantics of Parametric Polymorphism.,Patricia Johann
Bifibrational Functorial Semantics of Parametric Polymorphism.,Tim Revell
Topology Control in Cooperative Ad Hoc Wireless Networks.,Thiago F. Neves
Probabilistic Logic over Paths.,Robin Hirsch
A Higher-Order Calculus for Graph Transformation.,Jorge Sousa Pinto
A Higher-Order Calculus for Graph Transformation.,Maribel Fernández
Multivariate Normal Approximation for the Stochastic Simulation Algorithm: Limit Theorem and Applications.,Jérémie Bourdon
Multivariate Normal Approximation for the Stochastic Simulation Algorithm: Limit Theorem and Applications.,Vincent Picard
Checking Overlaps of Nominal Rewriting Rules.,Maribel Fernández
Checking Overlaps of Nominal Rewriting Rules.,Mauricio Ayala-Rincón
Checking Overlaps of Nominal Rewriting Rules.,Murdoch James Gabbay
