paper,volume
Ein merkwürdiger graphischer Punkt im Dreieck,TUM M 9202
Introduction to the parallel and distributed programming language ParMod-C,TUM I 9139
Lokal endliche Quasikörper,TUM M 9007
Failures semantics of Petri nets and the refinement of places and transitions,TUM I 9003
Die Generierung einer stabilen Raumdarstellung,FKI 161 91
Modal checking for the modal mu-calculus using Gauss elimination,TUM I 9325
Proof schemata in propositional calculi,FKI 144 90
Schnellere Berechnung klassischer Matrix-Multiplikationen,TUM I 9032
The combination techniques for the sparse grid solution of PDE's on multiprocessor machines,TUM I 9121
Consistency checking of legal contracts using a temporal model,FKI 130 90
On the V-cycle of the fully adaptive multigrid method,TUM-I-9215
Artificial life: Eine Einführung,FKI 152 91
A neural trajectory storage,FKI 182 93
"Non-deterministic computing, transactions, and recursive atomicity",TUM I 9105
Modular functional modelling of Petri nets with individual tokems,TUM I 9035
Generalized OM-bisimulation,TUM I 9113
Classical negation in logic programming,FKI 123 89
Splitting as a source of parallelism in disjunctive logic programs,TUM I 9126
Leistungsfähigkeit von Parallelrechnern,FKI 102 89
Sorts are nothing but functions: an equational approach to sorts for logic programming,FKI 89 88
Connection tableaux and their relation with linear resolution,FKI 169 92
Feature selection with exception handling using adaptive distance measures: an example from phonetics,FKI 178 93
On the treatment of singularities in the finite element method,TUM I 9220
Identification as programming language principle,TUM I 9223
A knowledge-based aproach for design and analysis in mechanical engineering,FKI 109 89
Finding maximum cliques in arbitrary and in special graphs,TUM M 9008
An adaptive poisson solver using hierarchical bases and sparse grids,TUM I 9130
Parallel programming with modules,TUM I 8516
Simulationsmodelle für den Verkehr in Rechensystemen,TUM I 9029
The owner concept for PRAMs,TUM I 9028
ATLAS: a typed language for algebraic specification,TUM I 9330
Parallel algorithms for slicing based final placement,TUM I 9209
Systematische Entwicklung einer Rechenstruktur für Listenverarbeitung,TUM I 7815
Towards parallelism in a rational database system,TUM I 9115
Auf der Suche nach Parallelität: ein Sprachvergleich ParMod-PM,TUM I 9016
Faster sorting and routing on grids with diagonals,TUM I 9313
"Random competition: a simple, but efficient method for parallelizing inference systems",TUM I 9050
Action selection and learning in multi-agent environments,FKI 170 92
Backpropagation with temperature parameter and random pattern presentation,FKI 114 89
"Extrapolation, combination, and sparse grid techniques for elliptic boundary value problems",TUM I 9213
Recovery and transaction management in write optimized database systems,TUM I 9340
Database support for problematic knowledge,TUM I 9109
Towards compositional learning with dynamic neural networks,FKI 129 90
Transformation und Komposition von P/T-Netzen unter Erhaltung wesentlicher Eigenschaften,TUM I 9108
A simple toy example of a distributed system : on the design of a connecting switch,TUM I 9138
Topological methods for algebraic specification,TUM I 9331
A simple calculus for program transformations,TUM I 8409
Grid- and point-oriented multilevel algorithms,TUM I 9224
A graphical user interface for SETHEO: proposal,FKI 173 92
Divide and conquer algorithms on the hypercube,TUM I 9322
A survey of virtually shared memory schemes,TUM I 9056
The efficient solution of fluid dynamics problems by the combination technique,TUM I 9301
On constructive specifications of abstract data types using temporal logic,TUM I 9146
Heuristic coloring of weighted graphs and the maximum weight clique problem,TUM M 9107
On local refinement higher order methods for elliptic partial differential equations,TUM I 9034
PARTHEO: a high performance parallel theorem prover,TUM I 9009
On the design and verification of a simple distributed spanning tree algorithm,TUM I 9046
Utterance generation without choice,FKI 92 88
A parallelizable and vectorizable multi-level-algorithm on sparse grids,TUM I 9039
Bisimulation and action refinement,TUM I 9020
"Equations, order-sortedness and inheritance in logic programming",FKI 110 89
Gauss' adaptive relaxation for the multilevel solution of partial differential equations on sparse grids,TUM I 9327
Task level programming of manipulators: A case study,TUM I 9001
Functional modelling of operating sytem [system] structures by timed higher order stream processing functions,TUM I 9042
The distributed C development environment,TUM I 9324
A definition of efficiency of parallel programs in multi tasking environments,TUM I 9308
FHCL - functions in Horn Clause logic,FKI 86 88
Two contributions to the theory of Marzukiewicz traces,TUM I 9036
Entwicklung einer bildorientierten Benutzeroberfläche für wissensbasierte Dialogsysteme,FKI 134 90
Software specification methods from the viewpoint of reusability,FKI 133 90
Numerical simulation of two-dimensional flows by the free Lagrangian method,TUM M 9105
Learning to control fast-weight memories: an alternative to dynamic recurrent networks,FKI 147 91
Dataflow semantics for Petri nets,TUM I 9107
Default connections in a model planning framework,FKI 108 89
Unambiguous simulations of auxiliary pushdown automata and circuits,TUM I 9054
Parallelism algebras: a link between process algebras and abstract relation algebras?,TUM I 9123
On the polynomial transparency of resolution,FKI 172 92
"The 1995 SQL Reunion: People, Project, and Politics, May 29, 1995.",SRC1997-018
Normalized Data Base Structure: A Brief Tutorial.,RJ935
Relational Completeness of Data Base Sublanguages.,RJ987
DB&LP: A WWW Bibliography on Databases and Logic Programming,
Interactive Support for Non-Programmers: The Relational and Network Approaches.,RJ1400
Data Base Sublanguage Founded on the Relational Calculus.,RJ893
Catchment classification by runoff behaviour with self-organizing maps (SOM),15
Common Subexpression Identification in General Algebraic Systems.,
Further Normalization of the Data Base Relational Model.,RJ909
"Derivability, Redundancy and Consistency of Relations Stored in Large Data Banks.",RJ599
Principles of Distributed Object Database Languages.,248
The Capabilities of Relational Database Management Systems.,RJ3132
Analysis of projected hydrological behavior of catchments based on signature indices,16
An Ethics of the System: Talking to Scientists About Research Integrity.,25
The Acceptability and the Tolerability of Societal Risks: A Capabilities-based Approach.,14
"Computational Goals, Values and Decision-Making.",26
"Neuroscience, Ethics and Legal Responsibility: The Problem of the Insanity Defense - Commentary on ""The Ethics of Neuroscience and the Neuroscience of Ethics: A Phenomenological-Existential Approach"".",18
The Rule of Virtue: A Confucian Response to the Ethical Challenges of Technocracy.,27
Pragmatism and Care in Engineering Ethics.,26
"Reflection on the Fazlul Sarkar versus PubPeer (""John Doe"") Case.",24
A Social Responsibility Guide for Engineering Students and Professionals of all Faith Traditions: An Overview.,24
On Genies and Bottles: Scientists' Moral Responsibility and Dangerous Technology R&D.,16
Teaching Virtue: Pedagogical Implications of Moral Psychology.,16
Mandatory Publications: An Approach to Kill 'Lack of Will' or 'Lack of Skill'?,24
Ethical Research in Delirium: Arguments for Including Decisionally Incapacitated Subjects.,16
Ethical Issues in Communicating Science.,13
A Multi-level Review of Engineering Ethics Education: Towards a Socio-technical Orientation of Engineering Education for Ethics.,27
Fraud and Understanding the Moral Mind: Need for Implementation of Organizational Characteristics into Behavioral Ethics.,26
"University Teachers During the First Lockdown Due to SARS-CoV-2 in Italy: Stress, Issues and Perceptions of Misconduct.",28
Human-Animal Chimera: A Neuro Driven Discussion? Comparison of Three Leading European Research Countries.,21
Mega-Sized Concerns from the Nano-Sized World: The Intersection of Nano- and Environmental Ethics.,19
Distinguishing Characteristics of Corruption Risks in Iranian Construction Projects: A Weighted Correlation Network Analysis.,26
Tech Ethics Through Trust Auditing.,28
Facilitating Ethical Reflection Among Scientists Using the Ethical Matrix.,17
Applying a Social Constructivist Approach to an Online Course on Ethics of Research.,27
Training STEM Ph.D. Students to Deal with Moral Dilemmas.,26
Science and Engineering Ethics Enters its Third Decade.,20
Italian Adagio: Every Law has Its Loophole.,25
Developing a Framework for Assessing Responsible Conduct of Research Education Programs.,16
Editors' Overview: Neuroethics: Many Voices and Many Stories.,18
Human Participants in Engineering Research: Notes from a Fledgling Ethics Committee.,21
The Central Importance of Laboratories for Reducing Waste in Biomedical Research.,22
Aspects of Morality and Law Enforcement in Today's Science in Post-Soviet Countries.,24
Whither the University? Universities of Technology and the Problem of Institutional Purpose.,25
Does Studying 'Ethics' Improve Engineering Students' Meta-Moral Cognitive Skills?,25
Philosophy of Technology and Macro-ethics in Engineering.,14
Print Me an Organ? Ethical and Regulatory Issues Emerging from 3D Bioprinting in Medicine.,24
Analyzing the Publish-or-Perish Paradigm with Game Theory: The Prisoner's Dilemma and a Possible Escape.,22
Re-skilling the Social Practices: Open Source and Life-Towards a Commons-Based Peer Production in Agro-biotechnology?,19
Toward a Responsibility-Catering Prioritarian Ethical Theory of Risk.,25
"Scientific Self-Regulation - So Good, How Can it Fail?",15
Connecting Past with Present: A Mixed-Methods Science Ethics Course and its Evaluation.,22
The Why and How of Enabling the Integration of Social and Ethical Aspects in Research and Development.,19
"Conflicts of Interest, Selective Inertia, and Research Malpractice in Randomized Clinical Trials: An Unholy Trinity.",21
Research Ethics in the Age of Digital Platforms.,29
Do we Need a Special Ethics for Research?,17
The Three Rs of Animal Research: What they Mean for the Institutional Animal Care and Use Committee and Why.,22
Ethics Consultation and Autonomy.,14
Authorship Issues When Articles are Retracted Due to Research Misconduct and Then Resubmitted.,28
Nonhuman Value: A Survey of the Intrinsic Valuation of Natural and Artificial Nonhuman Entities.,28
Agreeing in Ignorance: Mapping the Routinisation of Consent in ICT-Services.,20
Basing Science Ethics on Respect for Human Dignity.,22
Incidence of Data Duplications in a Randomly Selected Pool of Life Science Publications.,22
Responsibility for Crashes of Autonomous Vehicles: An Ethical Analysis.,21
An Analysis of Medical Laboratory Technology Journals' Instructions for Authors.,22
Standardising Responsibility? The Significance of Interstitial Spaces.,21
Misconduct and Misbehavior Related to Authorship Disagreements in Collaborative Science.,26
Temporal Limits on What Engineers Can Plan.,25
Deliberate Microbial Infection Research Reveals Limitations to Current Safety Protections of Healthy Human Subjects.,21
An Empirical Study on Construction Process Corruption Susceptibility: A Vignette of International Expertise.,26
Startup Ethics: Ethically Responsible Conduct of Scientists and Engineers at Theranos.,28
Press Self-Regulation in Britain: A Critique.,21
Acclimating International Graduate Students to Professional Engineering Ethics.,17
"Correction to: Mark Coeckelbergh, AI Ethics, Mit Press, 2021.",27
"A Survey of Expectations About the Role of Robots in Robot-Assisted Therapy for Children with ASD: Ethical Acceptability, Trust, Sociability, Appearance, and Attachment.",22
Values in Time Discounting.,23
"This ""Ethical Trap"" Is for Roboticists, Not Robots: On the Issue of Artificial Agent Ethical Decision-Making.",23
Text Recycling in Scientific Writing.,25
Relationships Between the Survey of Organizational Research Climate (SORC) and Self-Reported Research Practices.,19
What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,29
Authorship Policies at U.S. Doctoral Universities: A Review and Recommendations for Future Policies.,26
"On Identifying Plausibility and Deliberative Public Policy - Commentary on: ""Negotiating Plausibility: Intervening in the Future of Nanotechnology"".",17
AMICAI: A Method Based on Risk Analysis to Integrate Responsible Research and Innovation into the Work of Research and Innovation Practitioners.,26
A Systematic Approach to Engineering Ethics Education.,18
Researcher Views About Funding Sources and Conflicts of Interest in Nanotechnology.,18
Biological Indeterminacy.,18
Patent Ethics: The Misalignment of Views Between the Patent System and the Wider Society.,24
Empowering Engineering Students in Ethical Risk Management: An Experimental Study.,25
Ethical Design in the Internet of Things.,24
Is the Non-rivalrousness of Intellectual Objects a Problem for the Moral Justification of Economic Rights to Intellectual Property?,21
Ethical Design of Intelligent Assistive Technologies for Dementia: A Descriptive Review.,24
E-Government Attempts in Small Island Developing States: The Rate of Corruption with Virtualization.,23
Holistic Assessment and Ethical Disputation on a New Trend in Solid Biofuels.,23
Some Ethical Concerns About Human Induced Pluripotent Stem Cells.,22
Uncovering a New Moral Dilemma of Economic Optimization in Biotechnological Processing.,24
"""Ethics When You Least Expect It"": A Modular Approach to Short Course Data Ethics Instruction.",26
Attributing Agency to Automated Systems: Reflections on Human-Robot Collaborations and Responsibility-Loci.,24
Publisher Correction to: Text Recycling in Scientific Writing.,25
Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,29
Framework for the Analysis of Nanotechnologies' Impacts and Ethical Acceptability: Basis of an Interdisciplinary Approach to Assessing Novel Technologies.,21
How to Weigh Values in Value Sensitive Design: A Best Worst Method Approach for the Case of Smart Metering.,26
The Role of Professional Knowledge in Case-Based Reasoning in Practical Ethics.,21
Between Same-Sex Marriages and the Large Hadron Collider : Making Sense of the Precautionary Principle.,16
Overview: Underserved Areas of Education in the Responsible Conduct of Research: Authorship.,17
Self-Driving Cars and Engineering Ethics: The Need for a System Level Analysis.,25
"Letter to the editor on ethics of expertise, informed consent, and hormesis.",13
The Disaster of the Impact Factor.,21
Engineering with Uncertainty: Monitoring Air Bag Performance.,14
The Moral Dimensions of Infrastructure.,22
Biosecurity and Open-Source Biology: The Promise and Peril of Distributed Synthetic Biological Technologies.,21
The Ugly Truth About Ourselves and Our Robot Creations: The Problem of Bias and Social Inequity.,24
Darurah (Necessity) and Its Application in Islamic Ethical Assessment of Medical Applications: A Review on Malaysian Fatwa.,22
The Need for a Code of Conduct for Research Funders.,25
"Methods for Practising Ethics in Research and Innovation: A Literature Review, Critical Analysis and Recommendations.",24
"Daniel A. Vallero, P. Aarne Vesilind, Socially Responsible Engineering: Justice in Risk Management.",16
The Limits of Empowerment: How to Reframe the Role of mHealth Tools in the Healthcare Ecosystem.,26
Using Participatory Design to Inform the Connected and Open Research Ethics (CORE) Commons.,26
Do You Ignore Information Security in Your Journal Website?,23
Scientific Integrity Principles and Best Practices: Recommendations from a Scientific Integrity Consortium.,25
Transforming Scientists' Understanding of Science-Society Relations. Stimulating Double-Loop Learning when Teaching RRI.,26
"Ensuring the Quality, Fairness, and Integrity of Journal Peer Review: A Possible Role of Editors.",22
Protecting Ideas: Ethical and Legal Considerations When a Grant's Principal Investigator Changes.,22
Towards a Theory of Digital Well-Being: Reimagining Online Life After Lockdown.,27
A Buddhist Perspective on Industrial Engineering and the Design of Work.,20
Public Lab: Community-Based Approaches to Urban and Environmental Health and Justice.,24
A Systematic Literature Review of US Engineering Ethics Interventions.,24
"Artificial Intelligence and the 'Good Society': the US, EU, and UK approach.",24
Viva Delay.,23
"Sustainable Development as a Challenge for Undergraduate Students: The Module ""Science Bears Responsibility"" in the Leuphana Bachelor's Programme - Commentary on ""A Case Study of Teaching Social Responsibility to Doctoral Students in the Climate Sciences"".",19
SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,29
Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,28
"An Experiential, Game-Theoretic Pedagogy for Sustainability Ethics.",19
May Stakeholders be Involved in Design Without Informed Consent? The Case of Hidden Design.,23
Engineering Ethics and Identity: Emerging Initiatives in Comparative Perspective.,13
"Are the Votes of Ethics Committees in Germany for the Protection of Clinical Study Trial Subjects ""Sovereign Acts?"".",19
Prior Publication and Redundancy in Contemporary Science: Are Authors and Editors at the Crossroads?,21
Biobanks and Individual Health Related Findings: from an Obstacle to an Incentive.,27
Exploring Human Values in the Design of a Web-Based QoL-Instrument for People with Mental Health Problems: A Value Sensitive Design Approach.,26
Informed Consent in Implantable BCI Research: Identifying Risks and Exploring Meaning.,22
"Gene Editing, Enhancing and Women's Role.",25
Software Piracy in Research: A Moral Analysis.,21
The Slippery Slope Argument in the Ethical Debate on Genetic Engineering of Humans.,23
"Looking Back, Looking Forward: Review of A. Briggle, P. Brey and E. Spence (eds.): The Good Life in a Technological Age - Routledge, New York, 2012, 358 pp, ISBN: 978-0-415-89126-4.",21
Authorship: Few Myths and Misconceptions.,22
How Do Chemistry Faculty and Graduate Students Engage in Decision Making on Issues Related to Ethical and Responsible Conduct of Research Including Authorship?,28
Purple Dragons and Yellow Toadstools a Versatile Exercise for Introducing Students to Negotiated Consensus.,25
"Kristin Shrader-Frechette: Taking Action, Saving Lives: Our Duties to Protect Environmental and Public Health - Oxford University Press, New York, NY, 2007, 299 pp, $29.99 (USD) Hardback, ISBN 978-0-19532546-1.",18
What Rights Do Authors Have?,23
Is Diversity Good? Six Possible Conceptions of Diversity and Six Possible Answers.,14
E-commerce Review System to Detect False Reviews.,24
"US Common Rule and Informed Consent for Clinical Trials: ""Promises only Bind Those Who Believe in Them"".",26
The Game Between a Biased Reviewer and His Editor.,25
Models with Men and Women: Representing Gender in Dynamic Modeling of Social Systems.,24
Correctable Myths About Research Misconduct in the Biomedical Sciences.,25
Connecting to the Heart: Teaching Value-Based Professional Ethics.,26
"Definition of Research Misconduct: Problem on ""Definition"" or ""User""?",20
Publishers: Save Authors' Time.,24
The Future Ethics of Artificial Intelligence in Medicine: Making Sense of Collaborative Models.,28
Teaching Engineering Ethics to PhD Students: A Berkeley-Delft Initiative.,25
A Broader Discussion of Authorship.,17
A Room with a View of Integrity and Professionalism: Personal Reflections on Teaching Responsible Conduct of Research in the Neurosciences.,21
Reengineering Biomedical Translational Research with Engineering Ethics.,21
A Framework to Move Forward on the Path to Eco-innovation in the Construction Industry: Implications to Improve Firms' Sustainable Orientation.,21
Conference Wolves in Sheep's Clothing.,23
How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,29
Why Tu Youyou Makes Less Money Than Zhang Ziyi?,23
Experiments on Socio-Technical Systems: The Problem of Control.,22
"""Broader Impacts"" or ""Responsible Research and Innovation""? A Comparison of Two Criteria for Funding Research in Science and Engineering.",20
Epistemic and Non-epistemic Values in Earthquake Engineering.,29
Responsible Authorship in Engineering Fields: An Overview of Current Ethical Challenges.,17
Defining Financial Conflicts and Managing Research Relationships: An Analysis of University Conflict of Interest Committee Decisions.,13
"Ethical Decision Making in the Conduct of Research: Role of Individual, Contextual and Organizational Factors - Commentary on ""Science, Human Nature, and a New Paradigm for Ethics Education"".",18
Designing Robots for Care: Care Centered Value-Sensitive Design.,19
Liberty to Decide on Dual Use Biomedical Research: An Acknowledged Necessity.,16
Open Centres for Journalology in Universities and Institutions.,25
Institutional Approaches to Research Integrity in Ghana.,26
"Rogelio Daniel Acevedo and Jesús Martínez Frías (eds.): Geoethics in Latin America - The Latin American Studies Book Series, Springer, 2018, 205 pp, ISBN: 978-3-319-75372-0.",25
Honor Killing: Where Pride Defeats Reason.,22
Research Integrity and Everyday Practice of Science.,19
A Mobilising Concept? Unpacking Academic Representations of Responsible Research and Innovation.,23
Engineering Good: How Engineering Metaphors Help us to Understand the Moral Life and Change Society.,16
A Tale of Two Perspectives: Regulation Versus Self-Regulation. A Financial Reporting Approach (from Sarbanes-Oxley) for Research Ethics.,18
Living-Donor Kidney Transplantation in Developing Countries: Walking Sometimes the Tightrope Without a Net...,24
"Ethics ""Upfront"": Generating an Organizational Framework for a New University of Technology.",25
Scientists Admitting to Plagiarism: A Meta-analysis of Surveys.,21
Correction to: Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,28
Incidental Finding of Tumor While Investigating Subarachnoid Hemorrhage: Ethical Considerations and Practical Strategies.,19
Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,29
Research Misconduct in the Croatian Scientific Community: A Survey Assessing the Forms and Characteristics of Research Misconduct.,23
A Troubled Solution: Medical Student Struggles with Evidence and Industry Bias.,21
Understanding Engineering Professionalism: A Reflection on the Rights of Engineers.,17
The Good Engineer: Giving Virtue its Due in Engineering Ethics.,14
Energy Constraints.,19
Second-Guessing Scientists and Engineers: Post Hoc Criticism and the Reform of Practice in Green Chemistry and Engineering.,21
The Human Side of Artificial Intelligence.,26
Ethics as a Beneficial Trojan Horse in a Technological Society.,19
Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,29
"Unleashing the Constructive Potential of Emotions: Some Critical Comments on Risk, Technology and Moral Emotions by Sabine Roeser.",26
A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,29
Does the Cover Letter Really Matter?,21
Organizing a Collaborative Development of Technological Design Requirements Using a Constructive Dialogue on Value Profiles: A Case in Automated Vehicle Development.,24
Engineers and Active Responsibility.,21
Editors' Overview: The Emergence of Ecological Ethics.,14
Actionable Principles for Artificial Intelligence Policy: Three Pathways.,27
Molecular Tumor Boards: Ethical Issues in the New Era of Data Medicine.,24
Two Levels of Ethical Issues in Academic Publishing.,25
Guiding Engineering Student Teams' Ethics Discussions with Peer Advising.,26
Blame-Laden Moral Rebukes and the Morally Competent Robot: A Confucian Ethical Perspective.,26
"Reordering the ""World of Things"": The Sociotechnical Imaginary of RFID Tagging and New Geographies of Responsibility.",25
"Teaching Science, Technology, and Society to Engineering Students: A Sixteen Year Journey.",19
The Ethics of 'Deathbots'.,28
Engineering Ethics Education: A Comparative Study of Japan and Malaysia.,25
The Perverse Effects of Competition on Scientists' Work and Relationships.,13
Effectiveness of a responsible conduct of research course: a preliminary study.,13
Facing up to Complexity: Implications for Our Social Experiments.,22
Professional Ethics of Software Engineers: An Ethical Framework.,22
"In Memoriam: Edmund Pellegrino (June 22, 1920-June 13, 2013).",20
An Ethical Framework for Evaluating Experimental Technology.,22
Is Ignorance of Climate Change Culpable?,23
Authorship Matrix: A Rational Approach to Quantify Individual Contributions and Responsibilities in Multi-Author Scientific Articles.,20
"Professionalism in Science: Competence, Autonomy, and Service.",26
Societal and Ethical Implications of Anti-Spoofing Technologies in Biometrics.,20
Experimenting with Engagement - Commentary on: Taking Our Own Medicine: On an Experiment in Science Communication.,17
Using Ethical Reasoning to Amplify the Reach and Resonance of Professional Codes of Conduct in Training Big Data Scientists.,21
Fully Autonomous AI.,26
Teaching Science and Ethics to Undergraduates: A Multidisciplinary Approach.,19
Moral Values Congruence and Miners' Policy Following Behavior: The Role of Supervisor Morality.,23
Case Study of R-1234yf Refrigerant: Implications for the Framework for Responsible Innovation.,21
"Information and Communication Technologies, Genes, and Peer-Production of Knowledge to Empower Citizens' Health.",24
Hype and Public Trust in Science.,19
Image Manipulation as Research Misconduct.,15
"Safety, Risk Acceptability, and Morality.",14
Correction to: Synthetic Biology and the Translational Imperative.,25
Agrarian Philosophy and Ecological Ethics.,14
Critiquing the Concept of BCI Illiteracy.,25
Handling Anomalous Data in the Lab: Students' Perspectives on Deleting and Discarding.,26
Educating Engineers for the Public Good Through International Internships: Evidence from a Case Study at Universitat Politècnica de València.,25
Governance Experiments in Water Management: From Interests to Building Blocks.,22
Using Insights from Applied Moral Psychology to Promote Ethical Behavior Among Engineering Students and Professional Engineers.,22
Enabling Posthumous Medical Data Donation: An Appeal for the Ethical Utilisation of Personal Health Data.,25
"Redefining Ecological Ethics: Science, Policy, and Philosophy at Cape Horn.",14
"How are Editors Selected, Recruited and Approved?",23
Scientific Forensics: How the Office of Research Integrity can Assist Institutional Investigations of Research Misconduct During Oversight Review.,16
The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,29
Correction to: Research Misconduct in the Fields of Ethics and Philosophy: Researchers' Perceptions in Spain.,27
Is it Suitable for a Journal to Bid for Publishing a Review That is Likely to be Highly Cited?,25
Plagiarism in Student Research: Responsibility of the Supervisors and Suggestions to Ensure Plagiarism Free Research.,23
Variations in Scientific Data Production: What Can We Learn from #Overlyhonestmethods?,21
Assessing the Moral Coherence and Moral Robustness of Social Systems: Proof of Concept for a Graphical Models Approach.,22
Gene Editing and the Slippery Slope Argument: Should We Fix the Enhancement/Therapy Distinction as the Definitive Boundary?,25
Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,29
Researchers' Perceptions of Ethical Authorship Distribution in Collaborative Research Teams.,26
Interlocking Editorships in Scientific Journals.,24
Correctness and Completeness of Programming Instructions for Traffic Circulation.,27
Towards Transparency by Design for Artificial Intelligence.,26
Can Blockchain Solve the Dilemma in the Ethics of Genomic Biobanks?,27
Online-Based Approaches to Identify Real Journals and Publishers from Hijacked Ones.,23
Causal Factors Implicated in Research Misconduct: Evidence from ORI Case Files.,13
The Emergence and Development of Animal Research Ethics: A Review with a Focus on Nonhuman Primates.,26
Faculty Members' Perceptions of Advising Versus Mentoring: Does the Name Matter?,19
Using an Ecological Ethics Framework to Make Decisions about the Relocation of Wildlife.,14
Attitudes Toward Pre-implantation Genetic Diagnosis (PGD) for Genetic Disorders Among Potential Users in Malaysia.,22
Standards of Scientific Conduct: Disciplinary Differences.,21
Technologies of Democracy: Experiments and Demonstrations.,17
The Scientific Self: Reclaiming Its Place in the History of Research Ethics.,24
Collegial Ethics: Supporting Our Colleagues.,19
"Science, Technology and Innovation as Social Goods for Development: Rethinking Research Capacity Building from Sen's Capabilities Approach.",25
The Ethics of Doing Ethics.,23
Converging Technologies: A Critical Analysis of Cognitive Enhancement for Public Policy Application.,19
"A Taxonomy of Ethical, Legal and Social Implications of Wearable Robots: An Expert Perspective.",26
"Knowledge, Attitudes, and Practices of Plagiarism as Reported by Participants Completing the AuthorAID MOOC on Research Writing.",26
Survival Ethics in the Real World: The Research University and Sustainable Development.,20
Towards Establishing Criteria for the Ethical Analysis of Artificial Intelligence.,26
Fake Identities in Social Network Research: To Be Disclosed?,20
The Engineering and Science Issues Test (ESIT): A Discipline-Specific Approach to Assessing Moral Judgment.,16
Subsidies to Increase Remote Pollution?,24
Can Ethics be Based on Science?,26
A Meta-analytic Comparison of Face-to-Face and Online Delivery in Ethics Instruction: The Case for a Hybrid Approach.,23
"Gaming, Texting, Learning? Teaching Engineering Ethics Through Students' Lived Experiences With Technology.",19
Interdisciplinary Confusion and Resolution in the Context of Moral Machines.,28
Engineers' Moral Responsibility: A Confucian Perspective.,26
Has Emergency Medicine Research Benefited Patients? An Ethical Question.,13
Autonomy and Fear of Synthetic Biology: How Can Patients' Autonomy Be Enhanced in the Field of Synthetic Biology? A Qualitative Study with Stable Patients.,23
Exploring Ethical Pharmacy Practice in Jordan.,26
Editors' Overview: Topics in the Responsible Management of Research Data.,16
Some Opinions on the Review Process of Research Papers Destined for Publication.,21
"Ethical Considerations Associated with ""Humanitarian Drones"": A Scoping Literature Review.",27
Metrics-Based Assessments of Research: Incentives for 'Institutional Plagiarism'?,19
Relationship Between Declarations of Conflict of Interests and Reporting Positive Outcomes in Iranian Dental Journals.,25
Gain-of-Function Research: Ethical Analysis.,22
The Dawning of the Ethics of Environmental Robots.,24
The Peñalosa Principle of Transportation Democracy: Lessons from Bogotá on the Morality of Urban Mobility.,23
Effect of Unprofessional Supervision on Durability of Buildings.,24
"Taking biology seriously: what biology can and cannot tell us about moral and public policy issues by Immaculada de Melo-Martìn - Rowman and Littlefield Publishers, Inc., New York; 2005, cloth (ISBN 0-7425-4920-8) 60.00; 2005, ",13
Correction to: Biobanks and Individual Health Related Findings: from an Obstacle to an Incentive.,27
Patenting and Licensing of University Research: Promoting Innovation or Undermining Academic Values?,17
Informing Public Perceptions About Climate Change: A 'Mental Models' Approach.,23
"States of Uncertainty, Risk-Benefit Assessment and Early Clinical Research: A Conceptual Investigation.",28
The Social Construction of Copyright Ethics and Values.,16
Debunking (the) Retribution (Gap).,26
Electronic Monitoring of Offenders: An Ethical Review.,20
"""An Ethics of Commitment for Engineers"".",28
Abortion of Fetus with Down's Syndrome: India Joins the Worldwide Controversy Surrounding Abortion Laws.,24
The Wisdom of Caution: Genetic Enhancement and Future Children.,15
On Cheating.,19
"Two Genealogies of Human Values: Nietzsche Versus Edward O. Wilson on the Consilience of Philosophy, Science and Technology.",26
When Should We Use Care Robots? The Nature-of-Activities Approach.,22
Why Should Nanoscience Students be Taught to be Ethically Competent?,20
Distributing Responsibility in the Debate on Sustainable Biofuels.,15
Climate Change and Professional Responsibility: A Declaration of Helsinki for Engineers.,23
Can Artificial Intelligences Suffer from Mental Illness? A Philosophical Matter to Consider.,23
Will CRISPR Germline Engineering Close the Door to an Open Future?,25
Developing a System for Processing Health Data of Children Using Digitalized Toys: Ethical and Privacy Concerns for the Internet of Things Paradigm.,24
Shifting Perspectives.,26
Bankruptcy Prevention: New Effort to Reflect on Legal and Social Changes.,24
Incorporating Global Components into Ethics Education.,19
"Lotte Asveld and Sabine Roeser (eds), The Ethics of Technological Risk.",15
Smarter Regulations.,15
Navigating Bioethical Waters: Two Pilot Projects in Problem-Based Learning for Future Bioscience and Biotechnology Professionals.,22
"Defining Nano, Nanotechnology and Nanomedicine: Why Should It Matter?",22
Obstacles to Widening Biosample Research.,25
The Relevance of Social Theory in the Practice of Environmental Management.,22
Geoengineering as Collective Experimentation.,22
Ethical and Social Aspects of Neurorobotics.,26
