paper,cites
Inherent Kinematic Features of Dynamic Bimanual Path Following Tasks.,Sparsity Preserving Algorithms for Octagons.
User Recruitment System for Efficient Photo Collection in Mobile Crowdsensing.,Formal Attributes Traceability in Modular Language Development Frameworks.
User Recruitment System for Efficient Photo Collection in Mobile Crowdsensing.,CTL-Property Transformations Along an Incremental Design Process.
Agent Transparency and Reliability in Human-Robot Interaction: The Influence on User Confidence and Perceived Reliability.,Learning to Locate Relative Outliers.
A Usability Study of Low-Cost Wireless Brain-Computer Interface for Cursor Control Using Online Linear Model.,Learning with Blocks: Composite Likelihood and Contrastive Divergence.
A Usability Study of Low-Cost Wireless Brain-Computer Interface for Cursor Control Using Online Linear Model.,A study of model adaptation in iterative real-time optimization of processes with uncertainties.
A Usability Study of Low-Cost Wireless Brain-Computer Interface for Cursor Control Using Online Linear Model.,Automatic derivation of the irrationality of e.
A Usability Study of Low-Cost Wireless Brain-Computer Interface for Cursor Control Using Online Linear Model.,Alloy as a Refactoring Checker?
Demand-Driven Transparency for Monitoring Intelligent Agents.,The variety of variables in computer-aided real-time programming.
Demand-Driven Transparency for Monitoring Intelligent Agents.,PostHat and All That: Automating Abstract Interpretation.
Characteristics of Recovery Motion Resulting From Side Contact With a Physical Assistant Robot Worn During Gait.,Universal Approach to 
Musculoskeletal Model for Path Generation and Modification of an Ankle Rehabilitation Robot.,Fair Pi.
Musculoskeletal Model for Path Generation and Modification of an Ankle Rehabilitation Robot.,Process Realizability.
Analysis of Driving Patterns and On-Board Feedback-Based Training for Proactive Road Safety Monitoring.,"A Rule-Based, Integrated Modelling Approach for Object-Oriented Systems."
Human Threshold Model for Perceiving Changes in System Dynamics.,Particle Belief Propagation.
Human Threshold Model for Perceiving Changes in System Dynamics.,"Some Remarks on Synchronization, Games and Planar Automata."
Human Threshold Model for Perceiving Changes in System Dynamics.,Minimax Policies for Combinatorial Prediction Games.
Annotation Generation From IMU-Based Human Whole-Body Motions in Daily Life Behavior.,Compositional Constructor Interpretation over Coalgebraic Models for the pi-Calculus.
Annotation Generation From IMU-Based Human Whole-Body Motions in Daily Life Behavior.,A Branch-and-Price Algorithm for the Ring-Tree Facility Location Problem.
Annotation Generation From IMU-Based Human Whole-Body Motions in Daily Life Behavior.,Recognizing Graph Search Trees.
Annotation Generation From IMU-Based Human Whole-Body Motions in Daily Life Behavior.,A Metrized Duality Theorem for Markov Processes.
A Review of Shared Control for Automated Vehicles: Theory and Applications.,Investigating The Algebraic Structure of Dihomotopy Types.
A Review of Shared Control for Automated Vehicles: Theory and Applications.,Beware of the DAG!
State of the Art in Bionic Hands.,Hierarchy of asynchronous automata.
State of the Art in Bionic Hands.,On improving the online performance of production scheduling: Application to air separation units.
State of the Art in Bionic Hands.,Verifying Concurrent Data Structures by Simulation.
A Unifying Theory of Driver Perception and Steering Control on Straight and Winding Roads.,Group Nonnegative Matrix Factorization for EEG Classification.
A Unifying Theory of Driver Perception and Steering Control on Straight and Winding Roads.,Test Scenario Generation from Natural Language Requirements Descriptions based on Petri-Nets.
Review of Human-Machine Interfaces for Small Unmanned Systems With Robotic Manipulators.,Memory Requirements of Java Bytecode Verification on Limited Devices.
An Empirical Approach to Modeling User-System Interaction Conflicts in Smart Homes.,A Concurrent Object Calculus: Reduction and Typing.
An Empirical Approach to Modeling User-System Interaction Conflicts in Smart Homes.,Stochastic Object-Based Graph Grammars.
Automated Analysis of the Origin of Movement: An Approach Based on Cooperative Games on Graphs.,Time Domain Verification of Oscillator Circuit Properties.
Automated Analysis of the Origin of Movement: An Approach Based on Cooperative Games on Graphs.,Visualization of Spatial Data Structures on Different Levels of Abstraction.
Automated Analysis of the Origin of Movement: An Approach Based on Cooperative Games on Graphs.,"Extensions of Standard Weak Bisimulation Machinery: Finite-state General Processes, Refinable Actions, Maximal-progress and Time."
The HoloLens Augmented Reality System Provides Valid Measures of Gait Performance in Healthy Adults.,Automated Theorem Proving with Spider Diagrams.
Natural Human-Robot Interface Using Adaptive Tracking System with the Unscented Kalman Filter.,Guilt Without Fault: Accidental Agency in the Era of Autonomous Vehicles.
Natural Human-Robot Interface Using Adaptive Tracking System with the Unscented Kalman Filter.,SOL: A Verifiable Synchronous Language for Reactive Systems.
Natural Human-Robot Interface Using Adaptive Tracking System with the Unscented Kalman Filter.,A Model-Theoretic Description of Tree Adjoining Grammars.
Natural Human-Robot Interface Using Adaptive Tracking System with the Unscented Kalman Filter.,A Scalable Evidence Based Self-Managing Framework for Trust Management.
Brain-Computer Interface Software: A Review and Discussion.,Design and Implementation of the L+C Modeling Language.
Brain-Computer Interface Software: A Review and Discussion.,Parametrized quotation and self-reference.
Brain-Computer Interface Software: A Review and Discussion.,Sustainable utilization and storage of carbon dioxide: Analysis and design of an innovative supply chain.
Brain-Computer Interface Software: A Review and Discussion.,Multivariate Normal Approximation for the Stochastic Simulation Algorithm: Limit Theorem and Applications.
Development and Validation of a Scenario-Based Drilling Simulator for Training and Evaluating Human Factors.,A Tableau Method for the Lambek Calculus based on a Matrix Characterization.
Development and Validation of a Scenario-Based Drilling Simulator for Training and Evaluating Human Factors.,A Unified Algorithmic Approach for Efficient Online Label Ranking.
Development and Validation of a Scenario-Based Drilling Simulator for Training and Evaluating Human Factors.,Learning the Switching Rate by Discretising Bernoulli Sources Online.
Models of Trust in Human Control of Swarms With Varied Levels of Autonomy.,The Rademacher Complexity of Co-Regularized Kernel Classes.
Models of Trust in Human Control of Swarms With Varied Levels of Autonomy.,On improving the online performance of production scheduling: Application to air separation units.
Models of Trust in Human Control of Swarms With Varied Levels of Autonomy.,Bimonoidal Structure of Probability Monads.
An AI-Based Visual Aid With Integrated Reading Assistant for the Completely Blind.,jHoles: A Tool for Understanding Biological Complex Networks via Clique Weight Rank Persistent Homology.
An AI-Based Visual Aid With Integrated Reading Assistant for the Completely Blind.,Learning from Weak Teachers.
"Supporting Multitracking Performance With Novel Visual, Auditory, and Tactile Displays.",Stochastic Transcription Elongation via Rule Based Modelling.
"Supporting Multitracking Performance With Novel Visual, Auditory, and Tactile Displays.",On Paraconsistent Extensions of C
How Communicating Features can Help Pedestrian Safety in the Presence of Self-Driving Vehicles: Virtual Reality Experiment.,Performance of a Second Order Electrostatic Particle-in-Cell Algorithm on Modern Many-Core Architectures.
How Communicating Features can Help Pedestrian Safety in the Presence of Self-Driving Vehicles: Virtual Reality Experiment.,Maximum Entropy Correlated Equilibria.
Reciprocity and Its Neurological Correlates in Human-Agent Cooperation.,Self-adaptive deep learning for multimode process monitoring.
Reciprocity and Its Neurological Correlates in Human-Agent Cooperation.,Musculoskeletal Model for Path Generation and Modification of an Ankle Rehabilitation Robot.
Reciprocity and Its Neurological Correlates in Human-Agent Cooperation.,Directional Statistics on Permutations.
Reciprocity and Its Neurological Correlates in Human-Agent Cooperation.,Equity in AgeTech for Ageing Well in Technology-Driven Places: The Role of Social Determinants in Designing AI-based Assistive Technologies.
A New Mixed-Reality-Based Teleoperation System for Telepresence and Maneuverability Enhancement.,Reactive scheduling of crude oil using structure adapted genetic algorithm under multiple uncertainties.
A New Mixed-Reality-Based Teleoperation System for Telepresence and Maneuverability Enhancement.,Test Data Generation for Cyclic Executives with CBMC and Frama-C: A Case Study.
A Multiviewpoint Outdoor Dataset for Human Action Recognition.,Effective and Efficient Compilation of Run-Time Generics in Java.
A Multiviewpoint Outdoor Dataset for Human Action Recognition.,Some Applications of the Formalization of the Pumping Lemma for Context-Free Languages.
A Multiviewpoint Outdoor Dataset for Human Action Recognition.,Characterising E-projectives via Co-monads.
A Multiviewpoint Outdoor Dataset for Human Action Recognition.,Disjunctive model for the simultaneous optimization and heat integration with unclassified streams and area estimation.
A Novel Postprocessing Method for Robust Myoelectric Pattern-Recognition Control Through Movement Pattern Transition Detection.,Estimating Tree-Structured Covariance Matrices via Mixed-Integer Programming.
A Novel Postprocessing Method for Robust Myoelectric Pattern-Recognition Control Through Movement Pattern Transition Detection.,Rewriting Logic as a Framework for Generic Verification Tools.
A Novel Postprocessing Method for Robust Myoelectric Pattern-Recognition Control Through Movement Pattern Transition Detection.,Effectivity and Density in Domains: A Survey.
Two-Dimensional Fingertip Force Training With Improved Haptic Sensation via Stochastic Resonance.,Assessment of Cow's Body Condition Score Through Statistical Shape Analysis and Regression Machines.
Two-Dimensional Fingertip Force Training With Improved Haptic Sensation via Stochastic Resonance.,Optimization-based approach for maximizing profitability of bioethanol supply chain in Brazil.
Determination of the Gain for a Walking Speed Amplifying Belt Using Brain Activity.,Causality Versus True-Concurrency.
Determination of the Gain for a Walking Speed Amplifying Belt Using Brain Activity.,A Non-Topological View of Dcpos as Convergence Spaces (Extended Abstract).
Guest Editorial: Agent and System Transparency.,Tight Bounds on Proper Equivalence Query Learning of DNF.
Active Compliance Control Reduces Upper Body Effort in Exoskeleton-Supported Walking.,Graph-Based Tools (GraBaTs 2002).
Active Compliance Control Reduces Upper Body Effort in Exoskeleton-Supported Walking.,Formal Meta-level Analysis Framework for Quantum Programming Languages.
Active Compliance Control Reduces Upper Body Effort in Exoskeleton-Supported Walking.,On Bayesian Upper Confidence Bounds for Bandit Problems.
State-of-the-Art Robotic Devices for Wrist Rehabilitation: Design and Control Aspects.,Ethics of Autonomous Collective Decision-Making: The Caesar Framework.
State-of-the-Art Robotic Devices for Wrist Rehabilitation: Design and Control Aspects.,Complete Elgot Monads and Coalgebraic Resumptions.
State-of-the-Art Robotic Devices for Wrist Rehabilitation: Design and Control Aspects.,"Chromatographic studies of n-Propyl Propionate, Part II: Synthesis in a fixed bed adsorptive reactor, modelling and uncertainties determination."
State-of-the-Art Robotic Devices for Wrist Rehabilitation: Design and Control Aspects.,Aspects as Modular Language Extensions.
Agent Transparency: A Review of Current Theory and Evidence.,Trading networks of price-taking buyers and sellers.
Agent Transparency: A Review of Current Theory and Evidence.,First-order Semantics for Higher-order Processes.
Agent Transparency: A Review of Current Theory and Evidence.,Inferring Context-Free Grammars for Domain-Specific Languages.
Agent Transparency: A Review of Current Theory and Evidence.,Stochastic programming approach for the optimal tactical planning of the downstream oil supply chain.
An Ego-Vision System for Discovering Human Joint Attention.,Unsafe Floating-point to Unsigned Integer Casting Check for GPU Programs.
"Influence of Culture, Transparency, Trust, and Degree of Automation on Automation Use.",Classification of Imbalanced Marketing Data with Balanced Random Sets.
Techniques for Constructing Indoor Navigation Systems for the Visually Impaired: A Review.,Partial Traces on Additive Categories.
Techniques for Constructing Indoor Navigation Systems for the Visually Impaired: A Review.,Internal and external effects of social distancing in a pandemic.
Techniques for Constructing Indoor Navigation Systems for the Visually Impaired: A Review.,Distributional consequences of surging housing rents.
A Smartphone-Based Adaptive Recognition and Real-Time Monitoring System for Human Activities.,Encoding Catalytic P Systems in pi@.
A Smartphone-Based Adaptive Recognition and Real-Time Monitoring System for Human Activities.,Fault diagnosis based on variable-weighted separability-oriented subclass discriminant analysis.
A Smartphone-Based Adaptive Recognition and Real-Time Monitoring System for Human Activities.,Modal Logic for Rewriting Theories.
A Smartphone-Based Adaptive Recognition and Real-Time Monitoring System for Human Activities.,Into the Square: On the Complexity of Some Quadratic-time Solvable Problems.
Performance of a Steady-State Visual Evoked Potential and Eye Gaze Hybrid Brain-Computer Interface on Participants With and Without a Brain Injury.,Random Feature Maps for Dot Product Kernels.
Performance of a Steady-State Visual Evoked Potential and Eye Gaze Hybrid Brain-Computer Interface on Participants With and Without a Brain Injury.,Effective and Efficient Compilation of Run-Time Generics in Java.
Performance of a Steady-State Visual Evoked Potential and Eye Gaze Hybrid Brain-Computer Interface on Participants With and Without a Brain Injury.,A Two-Graph Guided Multi-task Lasso Approach for eQTL Mapping.
Performance of a Steady-State Visual Evoked Potential and Eye Gaze Hybrid Brain-Computer Interface on Participants With and Without a Brain Injury.,Regular Sets of Descendants by Leftmost Strategy.
Facial Expression Imitation Method for Humanoid Robot Based on Smooth-Constraint Reversed Mechanical Model (SRMM).,"A Generalisation of Stationary Distributions, and Probabilistic Program Algebra."
The Effect of Room Complexity on Physical Object Selection Performance in 3-D Mobile User Interfaces.,Epistemic Logics with Structured Knowledge.
Organizing Audible Alarm Sounds in the Hospital: A Card-Sorting Study.,Evaluation Method for Feature Rankings and their Aggregations for Biomarker Discovery.
Organizing Audible Alarm Sounds in the Hospital: A Card-Sorting Study.,Divergent risk-attitudes and endogenous collateral constraints.
Organizing Audible Alarm Sounds in the Hospital: A Card-Sorting Study.,Global Coordination Policies for Services.
Organizing Audible Alarm Sounds in the Hospital: A Card-Sorting Study.,Feature Ranking Using Linear SVM.
Physiological Synchrony Revealed by Delayed Coincidence Count: Application to a Cooperative Complex Environment.,Memory Requirements of Java Bytecode Verification on Limited Devices.
Physiological Synchrony Revealed by Delayed Coincidence Count: Application to a Cooperative Complex Environment.,Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.
Physiological Synchrony Revealed by Delayed Coincidence Count: Application to a Cooperative Complex Environment.,"On Adjacent-vertex-distinguishing Total Colourings of Powers of Cycles, Hypercubes and Lattice Graphs."
Physiological Synchrony Revealed by Delayed Coincidence Count: Application to a Cooperative Complex Environment.,The Descriptive Complexity of Decision Problems through Logics with Relational Fixed-Point and Capturing Results.
Finding a Secure Place: A Map-Based Crowdsourcing System for People With Autism.,Facilitating Authentic Reasoning About Complex Systems in Middle School Science Education.
3-D Interface for the P300 Speller BCI.,Barbs and Congruences for Safe Mobile Ambients.
3-D Interface for the P300 Speller BCI.,A Duality Between Ω-categories and Algebraic Ω-categories.
3-D Interface for the P300 Speller BCI.,Quantifier-free logic for multialgebraic theories.
3-D Interface for the P300 Speller BCI.,"Distributivity for endofunctors, pointed and co-pointed endofunctors, monads and comonads."
Estimating an LPV Model of Driver Neuromuscular Admittance Using Grip Force as Scheduling Variable.,"The Power of Writing, a Pebble Hierarchy and a Narrative for the Teaching of Automata Theory."
Estimating an LPV Model of Driver Neuromuscular Admittance Using Grip Force as Scheduling Variable.,Syntactic Unification as a Geometric Operation in Free Modules over certain Rings.
Hierarchical Eye-Tracking Data Analytics for Human Fatigue Detection at a Traffic Control Center.,On Semantics of Concurrency and Nondeterminism: Bisimulations and Temporal Logics.
Hierarchical Eye-Tracking Data Analytics for Human Fatigue Detection at a Traffic Control Center.,Additive Consolidation with Maximal Change.
Hierarchical Eye-Tracking Data Analytics for Human Fatigue Detection at a Traffic Control Center.,A Class of Reversible Primitive Recursive Functions.
Cross-Modality Matching for Evaluating User Experience of Emerging Mobile EEG Technology.,Cyclic scheduling for an ethylene cracking furnace system using diversity learning teaching-learning-based optimization.
A hybrid modeling approach integrating first-principles knowledge with statistical methods for fault detection in HVAC systems.,Modeling and control of cell wall thickness in batch delignification.
Self-adaptive deep learning for multimode process monitoring.,On Combining Graph-based Variance Reduction schemes.
Self-adaptive deep learning for multimode process monitoring.,Heuristics for Faster Error Detection With Automated Black Box Testing.
Self-adaptive deep learning for multimode process monitoring.,(Approximate) Subgradient Methods for Structured Prediction.
Self-adaptive deep learning for multimode process monitoring.,Survival of the Fattest: Evolutionary Trade-offs in Cellular Resource Storage.
Introducing approximate well dynamics into production optimization for operations scheduling.,XT: a bundle of program transformation tools.
Introducing approximate well dynamics into production optimization for operations scheduling.,Real-Time Systems Development with MASS.
Introducing approximate well dynamics into production optimization for operations scheduling.,Subgame-perfect cooperation in an extensive game.
Introducing approximate well dynamics into production optimization for operations scheduling.,Policy-Gradients for PSRs and POMDPs.
Control Lyapunov-Barrier function-based predictive control of nonlinear processes using machine learning modeling.,Sparse Probabilistic Principal Component Analysis.
Control Lyapunov-Barrier function-based predictive control of nonlinear processes using machine learning modeling.,"Ethical, Legal and Social Issues of Digital Phenotyping as a Future Solution for Present-Day Challenges: A Scoping Review."
An optimal control approach to scheduling and production in a process using decaying catalysts.,Integrated scheduling of vessel dispatching and port operations in the closed-loop shipping system for transporting petrochemicals.
An optimal control approach to scheduling and production in a process using decaying catalysts.,Metric Semantics and Full Abstractness for Action Refinement and Probabilistic Choice.
An optimal control approach to scheduling and production in a process using decaying catalysts.,A Hierarchical Framework for Component-based Real-time Systems.
Optimal estimation of physical properties of the products of an atmospheric distillation column using support vector regression.,Monoid-labeled transition systems.
Optimal estimation of physical properties of the products of an atmospheric distillation column using support vector regression.,"Chomsky-Schu""tzenberger Type Characterizations of Poly-Slender and Parikh Slender Context-Free Languages."
Optimal estimation of physical properties of the products of an atmospheric distillation column using support vector regression.,Convex envelopes of complexity controlling penalties: the case against premature envelopment.
Data-driven early warning model for screenout scenarios in shale gas fracturing operation.,A scalable stochastic programming approach for the design of flexible systems.
Data-driven early warning model for screenout scenarios in shale gas fracturing operation.,A New Perspective for Information Theoretic Feature Selection.
Data-driven early warning model for screenout scenarios in shale gas fracturing operation.,"A novel tool for the modeling, simulation and costing of membrane based gas separation processes using Aspen HYSYS: Optimization of the CO"
Novel approaches for geospatial risk analytics in the energy-water-food nexus using an EWF nexus node.,Product design: Impact of government policy and consumer preference on company profit and corporate social responsibility.
Novel approaches for geospatial risk analytics in the energy-water-food nexus using an EWF nexus node.,Fault detection based on augmented kernel Mahalanobis distance for nonlinear dynamic processes.
Sustainable planning in sugar-bioethanol supply chain under deep uncertainty: A case study of South African sugarcane industry.,Tree Morphisms and Bisimulations.
Sustainable planning in sugar-bioethanol supply chain under deep uncertainty: A case study of South African sugarcane industry.,On Interpolation Problem in Paraconsistent Extensions of the Minimal Logic.
Energy and exergy investigation of two modified single mixed refrigerant processes for natural gas liquefaction.,Lessons from a Bibliography Program's Reimplementation.
Energy and exergy investigation of two modified single mixed refrigerant processes for natural gas liquefaction.,Local Realizability Toposes and a Modal Logic for Computability.
Energy and exergy investigation of two modified single mixed refrigerant processes for natural gas liquefaction.,Specifying Coalgebras with Modal Logic.
Digital design of crystalline solids.,Recall Systems: Effcient Learning and Use of Category Indices.
Digital design of crystalline solids.,Grammatical Specification in ASL: Germanic Dependent Clause Order.
Digital design of crystalline solids.,Practical Extraction of Evidence Terms From Common-knowledge Reasoning.
Digital design of crystalline solids.,Innermost Termination of Rewrite Systems by Labeling.
Integrated optimization model for CCS hubs and pipeline network design.,Maximum Likelihood vs. Sequential Normalized Maximum Likelihood in On-line Density Estimation.
A comparative study of multi-objective optimization methodologies for molecular and process design.,Validating Component Integration with C-TILCO: A Case Study.
Dynamic modeling and design of a hybrid compressed air energy storage and wind turbine system for wind power fluctuation reduction.,Recovering Cyclic Causal Structure.
Dynamic modeling and design of a hybrid compressed air energy storage and wind turbine system for wind power fluctuation reduction.,Guarded Kleene Algebra with Tests: Automata Learning.
Dynamic modeling and design of a hybrid compressed air energy storage and wind turbine system for wind power fluctuation reduction.,On the Verification of Cryptographic Protocols - A Tale of Two Committees.
"Unification of closed-loop scheduling and control: State-space formulations, terminal constraints, and nominal theoretical properties.",Formal Methods: The Very Idea Some Thoughts About Why They Work When They Work.
Deterministic global process optimization: Accurate (single-species) properties via artificial neural networks.,Combining Decision Procedures by (Model-)Equality Propagation.
Coordinated dual-hormone artificial pancreas with parallel control structure.,An Operational Domain-theoretic Treatment of Recursive Types.
Modeling and control of cell wall thickness in batch delignification.,A Smartphone-Based Adaptive Recognition and Real-Time Monitoring System for Human Activities.
Modeling and control of cell wall thickness in batch delignification.,Reprint of: Heuristics with performance guarantees for the minimum number of matches problem in heat recovery network design.
Space-time dynamics of electricity markets incentivize technology decentralization.,Decision-making with partial information.
Space-time dynamics of electricity markets incentivize technology decentralization.,Fairness of Components in System Computations.
Space-time dynamics of electricity markets incentivize technology decentralization.,Reciprocity and Its Neurological Correlates in Human-Agent Cooperation.
Space-time dynamics of electricity markets incentivize technology decentralization.,From Reversible to Irreversible Computations.
The quest for digital health: From diseases to patients.,A Simple Criterion for Nodal 3-connectivity in Planar Graphs.
The quest for digital health: From diseases to patients.,Multi Scale Ethics - Why We Need to Consider the Ethics of AI in Healthcare at Different Scales.
The quest for digital health: From diseases to patients.,On automating the extraction of programs from proofs using product types.
The quest for digital health: From diseases to patients.,A Holistic Resource Management for Graphics Processing Units in Cloud Computing.
Distributed input observers to integrate satellite data with 3-D atmospheric models.,Fisher Consistency of Multicategory Support Vector Machines.
Distributed input observers to integrate satellite data with 3-D atmospheric models.,Spherical preferences.
Distributed input observers to integrate satellite data with 3-D atmospheric models.,Model Checking Downward Simulations.
The design and scheduling of chemical batch processes: Computational complexity studies.,Surrogate modeling of phase equilibrium calculations using adaptive sampling.
The design and scheduling of chemical batch processes: Computational complexity studies.,On the Relative Complexity of Labelled Modal Tableaux.
Agent-based conceptual framework for energy and material synergy patterns in a territory with non-cooperative governance.,Dissipativity learning control (DLC): A framework of input-output data-driven control.
Agent-based conceptual framework for energy and material synergy patterns in a territory with non-cooperative governance.,Refrigerant selection for different cryogenic temperatures.
Agent-based conceptual framework for energy and material synergy patterns in a territory with non-cooperative governance.,"Coinduction for recursive data types: partial orders, metric spaces and Omega-categories."
Towards the really optimal design of distillation systems: Simultaneous pressures optimization of distillation systems based on rigorous models.,How Many Argument Digits are Needed to Produce n Result Digits?
Techno-economic and life cycle analysis of different types of hydrolysis process for the production of p-Xylene.,A Comparative Evaluation of a Virtual Reality Table and a HoloLens-Based Augmented Reality System for Anatomy Training.
Using correlation based adaptive LASSO algorithm to develop QSPR of antitumour agents for DNA-drug binding prediction.,Performance Guarantees for Information Theoretic Active Inference.
Dynamic real-time optimization of batch processes using Pontryagin's minimum principle and set-membership adaptation.,Mixed-integer optimization of distillation sequences with Aspen Plus: A practical approach.
Dynamic real-time optimization of batch processes using Pontryagin's minimum principle and set-membership adaptation.,Gradual college admission.
Dynamic real-time optimization of batch processes using Pontryagin's minimum principle and set-membership adaptation.,Stochastic back-off-based robust process design for continuous crystallization of ibuprofen.
Learning and predicting operation strategies by sequence mining and deep learning.,Divergent risk-attitudes and endogenous collateral constraints.
Learning and predicting operation strategies by sequence mining and deep learning.,Towards a Rewriting Semantics for a Software Architecture Description Language.
Fault diagnosis based on variable-weighted separability-oriented subclass discriminant analysis.,Some axiomatic results in synthetic domain theory.
Refrigerant selection for different cryogenic temperatures.,Bifibrational Functorial Semantics of Parametric Polymorphism.
Refrigerant selection for different cryogenic temperatures.,Network Completion and Survey Sampling.
Refrigerant selection for different cryogenic temperatures.,Optimal Distributed Market-Based Planning for Multi-Agent Systems with Shared Resources.
Refrigerant selection for different cryogenic temperatures.,Graphs with Girth at Least 8 are b-continuous.
A systematic methodology for comparing the sustainability of process systems based on weighted performance indicators.,On-demand Evaluation by Program Transformation.
A systematic methodology for comparing the sustainability of process systems based on weighted performance indicators.,"Model Theoretic Syntax, Parsing: An Application to Temporal Logic."
A systematic methodology for comparing the sustainability of process systems based on weighted performance indicators.,Model-based Engineering of Embedded Systems Using the Hybrid Process Algebra Chi.
A systematic methodology for comparing the sustainability of process systems based on weighted performance indicators.,Organ donation with vouchers.
J-Park Simulator: An ontology-based platform for cross-domain scenarios in process industry.,Interfaces: A Game-Theoretic Framework for Reasoning About Component-Based Systems.
J-Park Simulator: An ontology-based platform for cross-domain scenarios in process industry.,Deciding and Axiomatizing ST Bisimulation for a Process Algebra with Recursion and Action Refinement.
Efficient online model-based design of experiments via parameter subset selection for batch dynamical systems.,Coalgebraic Minimization of Automata by Initiality and Finality.
Efficient online model-based design of experiments via parameter subset selection for batch dynamical systems.,Knowledge discovery and management on online social networks and media.
Efficient online model-based design of experiments via parameter subset selection for batch dynamical systems.,The Polarized λ-calculus.
Combining the advantages of discrete- and continuous-time scheduling models: Part 2. systematic methods for determining model parameters.,Fast Committee-Based Structure Learning.
Combining the advantages of discrete- and continuous-time scheduling models: Part 2. systematic methods for determining model parameters.,Estimating beta-mixing coefficients.
Combining the advantages of discrete- and continuous-time scheduling models: Part 2. systematic methods for determining model parameters.,Xor-Implications and E-Implications: Classes of Fuzzy Implications Based on Fuzzy Xor.
A novel algorithm for dead time estimation between soft sensor inputs and output.,Prototyping of hybrid systems - from HyCharts to Hybrid Data-Flow Graphs.
A novel algorithm for dead time estimation between soft sensor inputs and output.,Coalgebraic Reasoning about Classes in Object-Oriented Languages.
A novel algorithm for dead time estimation between soft sensor inputs and output.,Inference of Timed Transition Systems.
Feature space monitoring for smart manufacturing via statistics pattern analysis.,Synthesis of simultaneously heat integrated and thermally coupled nonsharp distillation sequences based on stochastic optimization.
Efficient nested modifier-adaptation methodology for dealing with process constraints in real-time optimization.,A Simple Criterion for Nodal 3-connectivity in Planar Graphs.
Efficient nested modifier-adaptation methodology for dealing with process constraints in real-time optimization.,On the Compact-regular Coreflection of a Stably Locally Compact Locale.
Computer-aided design of optimal environmentally benign solvent-based adhesive products.,A Mathematical Model of Dialog.
Computer-aided design of optimal environmentally benign solvent-based adhesive products.,Fisher Consistency of Multicategory Support Vector Machines.
Computer-aided design of optimal environmentally benign solvent-based adhesive products.,A Short Introduction to Clones.
An adaptive sequential wavelet-based algorithm developed for dynamic optimization problems.,Using ATL for Checking Models.
An adaptive sequential wavelet-based algorithm developed for dynamic optimization problems.,Implementing X.
An adaptive sequential wavelet-based algorithm developed for dynamic optimization problems.,3-D Interface for the P300 Speller BCI.
Strategic evaluation of different direct nucleation control approaches for controlling batch cooling crystallisation via simulation and experimental case studies.,Guarantees for Approximate Incremental SVMs.
Strategic evaluation of different direct nucleation control approaches for controlling batch cooling crystallisation via simulation and experimental case studies.,On the Representation of Semigroups and Other Congruences in the Lambda Calculus.
Strategic evaluation of different direct nucleation control approaches for controlling batch cooling crystallisation via simulation and experimental case studies.,Verification of Spatial and Temporal Modalities in Biochemical Systems.
Strategic evaluation of different direct nucleation control approaches for controlling batch cooling crystallisation via simulation and experimental case studies.,Matching typed and untyped realizability.
"Process control practice and education: Past, present and future.",Occurrence Counting Analysis for the pi-Calculus.
"Process control practice and education: Past, present and future.",A Logical Approach to Security in the Context of Ambient Calculus.
"A Total Site Synthesis approach for the selection, integration and planning of multiple-feedstock biorefineries.",Nonlinear acyclic causal models.
"A Total Site Synthesis approach for the selection, integration and planning of multiple-feedstock biorefineries.",Ending the Energy-Poverty Nexus: An Ethical Imperative for Just Transitions.
"A Total Site Synthesis approach for the selection, integration and planning of multiple-feedstock biorefineries.",Approximate inference using conditional entropy decompositions.
Reduced order models for dynamic molecular weight distribution in polymerization processes.,Epistemic Uncertainty Propagation in Power Models.
Reduced order models for dynamic molecular weight distribution in polymerization processes.,Compositional Constructor Interpretation over Coalgebraic Models for the pi-Calculus.
Synthesis of simultaneously heat integrated and thermally coupled nonsharp distillation sequences based on stochastic optimization.,Optimal design of intensified processes for DME synthesis.
Equation-oriented optimization of methanol distillation systems using pseudo-transient models.,How Communicating Features can Help Pedestrian Safety in the Presence of Self-Driving Vehicles: Virtual Reality Experiment.
Sustainable solutions by integrating process synthesis-intensification.,Distributivity for a monad and a comonad.
Sustainable solutions by integrating process synthesis-intensification.,Computing the Clique-width of Cactus Graphs.
Surrogate modeling of phase equilibrium calculations using adaptive sampling.,VPHL: A Verified Partial-Correctness Logic for Probabilistic Programs.
Surrogate modeling of phase equilibrium calculations using adaptive sampling.,Abstract Similarity Analysis.
A framework for optimizing oxygen vacancy formation in doped perovskites.,Monitoring and incentives under multiple-bank lending: The role of collusive threats.
A framework for optimizing oxygen vacancy formation in doped perovskites.,Type Soundness for Path Polymorphism.
A framework for optimizing oxygen vacancy formation in doped perovskites.,Towards a Hierarchy of Negative Test Operators for Generative Communication.
A framework for optimizing oxygen vacancy formation in doped perovskites.,Numerically-aided Deductive Safety Proof for a Powertrain Control System.
Simulations of an ASA flow crystallizer with a coupled stochastic-deterministic approach.,A Comparative Study of Industrial Static Analysis Tools.
Simulations of an ASA flow crystallizer with a coupled stochastic-deterministic approach.,Modeling Knowledge Worker Activity.
Modelling emerging pollutants in wastewater treatment: A Case study using the pharmaceutical 17α-ethinylestradiol.,Towards the Design of Complex Evolving Networks with High Robustness and Resilience.
